"",".metric",".estimator",".estimate"
"1","accuracy","binary",0.987654320987654
"2","kap","binary",0.913311036789298
"3","sens","binary",0.92
"4","spec","binary",0.993311036789298
"5","ppv","binary",0.92
"6","npv","binary",0.993311036789298
"7","mcc","binary",0.913311036789298
"8","j_index","binary",0.913311036789298
"9","bal_accuracy","binary",0.956655518394649
"10","detection_prevalence","binary",0.0771604938271605
"11","precision","binary",0.92
"12","recall","binary",0.92
"13","f_meas","binary",0.92
