"",".metric",".estimator",".estimate"
"1","accuracy","binary",0.969135802469136
"2","kap","binary",0.816845675522894
"3","sens","binary",1
"4","spec","binary",0.966555183946488
"5","ppv","binary",0.714285714285714
"6","npv","binary",1
"7","mcc","binary",0.830901053051311
"8","j_index","binary",0.966555183946488
"9","bal_accuracy","binary",0.983277591973244
"10","detection_prevalence","binary",0.108024691358025
"11","precision","binary",0.714285714285714
"12","recall","binary",1
"13","f_meas","binary",0.833333333333333
