"","importance","Ens_id","description","Category"
"ENSG00000196550",83.945097361218,"FAM72A","family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]","High"
"ENSG00000183474",50.1295631637731,"GTF2H2C","GTF2H2 family member C [Source:HGNC Symbol;Acc:HGNC:31394]","High"
"ENSG00000049540",35.6109882642104,"ELN","elastin [Source:HGNC Symbol;Acc:HGNC:3327]","Medium"
"ENSG00000185304",33.5435013738283,"RGPD2","RANBP2 like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32415]","Medium"
"ENSG00000074047",32.1437857966423,"GLI2","GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]","Medium"
"ENSG00000049130",29.6243390452609,"KITLG","KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]","Medium"
"ENSG00000148483",26.0109104767137,"TMEM236","transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]","Medium"
"ENSG00000169083",25.9842727365935,"AR","androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]","Medium"
"ENSG00000021645",15.0656776094798,"NRXN3","neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]","Small"
"ENSG00000164330",15.0488486666236,"EBF1","EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]","Small"
"ENSG00000173546",12.7503690213981,"CSPG4","chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]","Small"
"ENSG00000153283",9.27964693658692,"CD96","CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]","Small"
"ENSG00000107779",8.04027180872832,"BMPR1A","bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]","Small"
"ENSG00000146938",7.95824504645654,"NLGN4X","neuroligin 4 X-linked [Source:HGNC Symbol;Acc:HGNC:14287]","Small"
"ENSG00000172116",7.78071283881208,"CD8B","CD8 subunit beta [Source:HGNC Symbol;Acc:HGNC:1707]","Small"
"ENSG00000157985",7.29938229548457,"AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]","Small"
"ENSG00000012779",6.98310529137536,"ALOX5","arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]","Small"
"ENSG00000169397",6.92838672700146,"RNASE3","ribonuclease A family member 3 [Source:HGNC Symbol;Acc:HGNC:10046]","Small"
"ENSG00000150961",6.57114493776064,"SEC24D","SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]","Small"
"ENSG00000066923",6.31124870688262,"STAG3","STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]","Small"
"ENSG00000158517",6.26701138821617,"NCF1","neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]","Small"
"ENSG00000109321",5.9483869189889,"AREG","amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]","Small"
"ENSG00000144218",5.90348692169193,"AFF3","ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]","Small"
"ENSG00000114812",5.79724906614703,"VIPR1","vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]","Small"
"ENSG00000212464",5.47640522374622,"SNORA12","small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]","Small"
"ENSG00000162747",5.41244554748912,"FCGR3B","Fc gamma receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]","Small"
"ENSG00000137731",5.30324254920147,"FXYD2","FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]","Small"
"ENSG00000267041",5.2882718014876,"ZNF850","zinc finger protein 850 [Source:HGNC Symbol;Acc:HGNC:27994]","Small"
"ENSG00000166086",5.13040908793629,"JAM3","junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]","Small"
"ENSG00000206337",5.02250449172592,"HCP5","HLA complex P5 [Source:HGNC Symbol;Acc:HGNC:21659]","Small"
"ENSG00000229676",4.92026921616901,"ZNF492","zinc finger protein 492 [Source:HGNC Symbol;Acc:HGNC:23707]","Small"
"ENSG00000100342",4.797601509915,"APOL1","apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]","Small"
"ENSG00000153944",4.79710856138441,"MSI2","musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]","Small"
"ENSG00000076382",4.65479758532519,"SPAG5","sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]","Small"
"ENSG00000170180",4.61223753739326,"GYPA","glycophorin A (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4702]","Small"
"ENSG00000075884",4.60378419642393,"ARHGAP15","Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]","Small"
"ENSG00000169994",4.44329985869209,"MYO7B","myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]","Small"
