"",".metric",".estimator",".estimate"
"1","accuracy","binary",0.842592592592593
"2","kap","binary",0.295171472444975
"3","sens","binary",0.6
"4","spec","binary",0.862876254180602
"5","ppv","binary",0.267857142857143
"6","npv","binary",0.962686567164179
"7","mcc","binary",0.326669877582198
"8","j_index","binary",0.462876254180602
"9","bal_accuracy","binary",0.731438127090301
"10","detection_prevalence","binary",0.172839506172839
"11","precision","binary",0.267857142857143
"12","recall","binary",0.6
"13","f_meas","binary",0.37037037037037
