"",".metric",".estimator",".estimate"
"1","accuracy","binary",0.947530864197531
"2","kap","binary",0.638202837624803
"3","sens","binary",0.68
"4","spec","binary",0.969899665551839
"5","ppv","binary",0.653846153846154
"6","npv","binary",0.973154362416107
"7","mcc","binary",0.638347417806068
"8","j_index","binary",0.649899665551839
"9","bal_accuracy","binary",0.82494983277592
"10","detection_prevalence","binary",0.0802469135802469
"11","precision","binary",0.653846153846154
"12","recall","binary",0.68
"13","f_meas","binary",0.666666666666667
