"",".metric",".estimator",".estimate"
"1","accuracy","binary",0.777777777777778
"2","kap","binary",0.229946524064171
"3","sens","binary",0.68
"4","spec","binary",0.785953177257525
"5","ppv","binary",0.209876543209877
"6","npv","binary",0.967078189300412
"7","mcc","binary",0.287145642216496
"8","j_index","binary",0.465953177257525
"9","bal_accuracy","binary",0.732976588628763
"10","detection_prevalence","binary",0.25
"11","precision","binary",0.209876543209877
"12","recall","binary",0.68
"13","f_meas","binary",0.320754716981132
