"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.830097087378641
"2","kap","multiclass",0.732109682693022
"3","sens","macro",0.833818696547355
"4","spec","macro",0.936108121399094
"5","ppv","macro",0.768545751633987
"6","npv","macro",0.930110458773041
"7","mcc","multiclass",0.733766645609881
"8","j_index","macro",0.769926817946449
"9","bal_accuracy","macro",0.884963408973224
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.768545751633987
"12","recall","macro",0.833818696547355
"13","f_meas","macro",0.794504734108878
