"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.96045197740113
"2","kap","multiclass",0.907354095786443
"3","sens","macro",0.905820610687023
"4","spec","macro",0.977391409614223
"5","ppv","macro",0.928023269833615
"6","npv","macro",0.97581515914693
"7","mcc","multiclass",0.907544525150627
"8","j_index","macro",0.883212020301246
"9","bal_accuracy","macro",0.941606010150623
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.928023269833615
"12","recall","macro",0.905820610687023
"13","f_meas","macro",0.914651377738606
