"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.988235294117647
"2","kap","multiclass",0.969062080575081
"3","sens","macro",0.982385913724595
"4","spec","macro",0.991834252703818
"5","ppv","macro",0.986194097410827
"6","npv","macro",0.991873916538346
"7","mcc","multiclass",0.969084189950582
"8","j_index","macro",0.974220166428413
"9","bal_accuracy","macro",0.987110083214206
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.986194097410827
"12","recall","macro",0.982385913724595
"13","f_meas","macro",0.984160753952962
