"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.977401129943503
"2","kap","multiclass",0.94596657254064
"3","sens","macro",0.946008269720102
"4","spec","macro",0.982103295486015
"5","ppv","macro",0.981540389435126
"6","npv","macro",0.989626087982456
"7","mcc","multiclass",0.946313237299285
"8","j_index","macro",0.928111565206117
"9","bal_accuracy","macro",0.964055782603058
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.981540389435126
"12","recall","macro",0.946008269720102
"13","f_meas","macro",0.963109514774347
