"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.91044776119403
"2","kap","multiclass",0.727198697068404
"3","sens","macro",0.747148288973384
"4","spec","macro",0.919720953066486
"5","ppv","macro",0.843158831241806
"6","npv","macro",0.964597463468431
"7","mcc","multiclass",0.738142970035148
"8","j_index","macro",0.66686924203987
"9","bal_accuracy","macro",0.833434621019935
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.843158831241806
"12","recall","macro",0.747148288973384
"13","f_meas","macro",0.781893318658025
