"","Feature","Gain","Cover","Frequency","description","Importance"
"1","EBF1",0.100769161849883,0.0509753031154094,0.0327218641546852,"EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]",0.100769161849883
"2","PRAME",0.075230228505348,0.0321494504041827,0.0277640059494298,"PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]",0.075230228505348
"3","SNORA12",0.0602684143509565,0.0363955780301061,0.0247892910262766,"small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]",0.0602684143509565
"4","SLC4A1",0.0483454591500036,0.0151215998196074,0.00743678730788299,"solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]",0.0483454591500036
"5","FAM72A",0.0463560804930455,0.0487963773174986,0.0262766484878532,"family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]",0.0463560804930455
"6","FAM72D",0.0395253544672673,0.0456555565570396,0.0262766484878532,"family with sequence similarity 72 member D [Source:HGNC Symbol;Acc:HGNC:33593]",0.0395253544672673
"7","DDR2",0.0381221386767772,0.013609397550137,0.0109072880515617,"discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]",0.0381221386767772
"8","MYO7B",0.0377299470175064,0.0437909691454954,0.0322260783341596,"myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]",0.0377299470175064
"9","JAM3",0.0357453899391122,0.0256107894619843,0.00941993058998513,"junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]",0.0357453899391122
"10","GTF2H2C",0.0353149118181734,0.0145460566564717,0.00892414476945959,"GTF2H2 family member C [Source:HGNC Symbol;Acc:HGNC:31394]",0.0353149118181734
"11","AFF3",0.0324322234283939,0.0149558521711307,0.00743678730788299,"ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]",0.0324322234283939
"12","GRAP",0.0289597418462574,0.0294617781655775,0.0173525037183937,"GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]",0.0289597418462574
"13","HCP5",0.0260912187152404,0.014158027206293,0.0104115022310362,"HLA complex P5 [Source:HGNC Symbol;Acc:HGNC:21659]",0.0260912187152404
"14","DIXDC1",0.0241767575397027,0.0136130584666409,0.0104115022310362,"DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]",0.0241767575397027
"15","AGAP1",0.0240374841299067,0.0210840906724895,0.0128904313336639,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]",0.0240374841299067
"16","STAG3",0.0230834005455381,0.0151137738603923,0.0153693604362915,"STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]",0.0230834005455381
"17","ARHGAP15",0.0224008160903553,0.0138508629236429,0.0143777887952405,"Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]",0.0224008160903553
"18","NCKAP5",0.0217687916596652,0.0401204206917225,0.0292513634110064,"NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]",0.0217687916596652
"19","RGPD2",0.0194354720680509,0.0265222108654893,0.0203272186415469,"RANBP2 like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32415]",0.0194354720680509
"20","SPAG5",0.0146954277618955,0.0164119745549471,0.0118988596926128,"sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]",0.0146954277618955
"21","MSI2",0.0145440737855181,0.0145372566072411,0.00793257312840853,"musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]",0.0145440737855181
"22","CD96",0.0144022648043862,0.021519882849213,0.0242935052057511,"CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]",0.0144022648043862
"23","ARHGAP11A",0.00996738166616587,0.00690918677960941,0.00793257312840853,"Rho GTPase activating protein 11A [Source:HGNC Symbol;Acc:HGNC:15783]",0.00996738166616587
"24","TMEM236",0.00931783617134296,0.0196289405320725,0.0267724343083788,"transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]",0.00931783617134296
"25","ALOX5",0.00894982477848314,0.0214381977841169,0.0173525037183937,"arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]",0.00894982477848314
"26","ELN",0.0086778157066369,0.00641537115374114,0.00941993058998513,"elastin [Source:HGNC Symbol;Acc:HGNC:3327]",0.0086778157066369
