"","Feature","Gain","Cover","Frequency","description","Importance"
"1","EBF1",0.352148299358154,0.132887825800576,0.0478413068844807,"EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]",0.352148299358154
"2","RAB6C",0.13477690658568,0.0855393430558915,0.0385064177362894,"RAB6C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16525]",0.13477690658568
"3","NCKAP5",0.0293144516379436,0.0375712454197345,0.0182808245818748,"NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]",0.0293144516379436
"4","RGPD2",0.0236604326115014,0.0305643705756173,0.015169194865811,"RANBP2 like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32415]",0.0236604326115014
"5","MYO7B",0.0235355541298999,0.0326447049272891,0.0213924542979385,"myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]",0.0235355541298999
"6","BMPR1A",0.0233690797590585,0.0304990840075375,0.0217814080124465,"bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]",0.0233690797590585
"7","FAM72A",0.022753903394267,0.036879128147395,0.0427849085958771,"family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]",0.022753903394267
"8","DEFA4",0.0167356705988008,0.0257238983945806,0.0217814080124465,"defensin alpha 4 [Source:HGNC Symbol;Acc:HGNC:2763]",0.0167356705988008
"9","CD96",0.0160514083565368,0.0147036816290585,0.014780241151303,"CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]",0.0160514083565368
"10","TMEM236",0.015642080443243,0.0223880159929732,0.0283936211590821,"transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]",0.015642080443243
"11","FAM72D",0.0148185504164296,0.0204406037979007,0.0163360560093349,"family with sequence similarity 72 member D [Source:HGNC Symbol;Acc:HGNC:33593]",0.0148185504164296
"12","AR",0.0144858772479044,0.0176469451768604,0.0217814080124465,"androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]",0.0144858772479044
