"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.854368932038835
"2","kap","multiclass",0.762791233255287
"3","sens","macro",0.868927845528455
"4","spec","macro",0.937169063576417
"5","ppv","macro",0.83699437163396
"6","npv","macro",0.940900149233483
"7","mcc","multiclass",0.763625511662211
"8","j_index","macro",0.806096909104872
"9","bal_accuracy","macro",0.903048454552436
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.83699437163396
"12","recall","macro",0.868927845528455
"13","f_meas","macro",0.84869771601541
