"",".metric",".estimator",".estimate"
"1","accuracy","binary",0.993827160493827
"2","kap","binary",0.958188153310105
"3","sens","binary",1
"4","spec","binary",0.993311036789298
"5","ppv","binary",0.925925925925926
"6","npv","binary",1
"7","mcc","binary",0.959026819995964
"8","j_index","binary",0.993311036789298
"9","bal_accuracy","binary",0.996655518394649
"10","detection_prevalence","binary",0.0833333333333333
"11","precision","binary",0.925925925925926
"12","recall","binary",1
"13","f_meas","binary",0.961538461538461
