"",".metric",".estimator",".estimate"
"1","accuracy","binary",0.990740740740741
"2","kap","binary",0.933769419460343
"3","sens","binary",0.92
"4","spec","binary",0.996655518394649
"5","ppv","binary",0.958333333333333
"6","npv","binary",0.993333333333333
"7","mcc","binary",0.933997056565084
"8","j_index","binary",0.916655518394649
"9","bal_accuracy","binary",0.958327759197324
"10","detection_prevalence","binary",0.0740740740740741
"11","precision","binary",0.958333333333333
"12","recall","binary",0.92
"13","f_meas","binary",0.938775510204082
