"","Feature","Gain","Cover","Frequency","description","Importance"
"1","NMNAT3",0.430024355354135,0.229975861925931,0.0869565217391304,"nicotinamide nucleotide adenylyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:20989]",0.430024355354135
"2","HSD17B1",0.249225263237253,0.221577323356873,0.130434782608696,"hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]",0.249225263237253
"3","LIPG",0.118223300308495,0.10967670644686,0.0434782608695652,"lipase G, endothelial type [Source:HGNC Symbol;Acc:HGNC:6623]",0.118223300308495
"4","FLRT2",0.0570868175864461,0.0745646511177819,0.0434782608695652,"fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]",0.0570868175864461
"5","KIAA0087",0.03161719266352,0.0511804419616805,0.0434782608695652,"KIAA0087 lncRNA [Source:HGNC Symbol;Acc:HGNC:22191]",0.03161719266352
"6","FOXO1",0.0241256248675804,0.0430819607947865,0.0434782608695652,"forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]",0.0241256248675804
"7","FGF14",0.0175369782522635,0.036296335165931,0.0434782608695652,"fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]",0.0175369782522635
"8","TTC23",0.0141820810096889,0.0406512972384656,0.0869565217391304,"tetratricopeptide repeat domain 23 [Source:HGNC Symbol;Acc:HGNC:25730]",0.0141820810096889
"9","MACROD2",0.0091186724634412,0.0252253359229667,0.0434782608695652,"mono-ADP ribosylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:16126]",0.0091186724634412
"10","MME",0.0081100374462115,0.0220352640112427,0.0434782608695652,"membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]",0.0081100374462115
"11","SERAC1",0.00681698993177055,0.0198550004265388,0.0434782608695652,"serine active site containing 1 [Source:HGNC Symbol;Acc:HGNC:21061]",0.00681698993177055
"12","SCARNA12",0.00580446919298935,0.0184384327037784,0.0434782608695652,"small Cajal body-specific RNA 12 [Source:HGNC Symbol;Acc:HGNC:32569]",0.00580446919298935
"13","MANEAL",0.00513638622333213,0.0176301325439957,0.0434782608695652,"mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452]",0.00513638622333213
"14","TGFB2",0.00456485419821924,0.0169868921056991,0.0434782608695652,"transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]",0.00456485419821924
"15","EGFR",0.0042883153999413,0.0160906423799364,0.0434782608695652,"epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]",0.0042883153999413
"16","BCYRN1",0.00415750105557017,0.015296879837027,0.0434782608695652,"brain cytoplasmic RNA 1 [Source:HGNC Symbol;Acc:HGNC:1022]",0.00415750105557017
"17","EIF5AL1",0.0037840982229879,0.0141802596993444,0.0434782608695652,"eukaryotic translation initiation factor 5A like 1 [Source:HGNC Symbol;Acc:HGNC:17419]",0.0037840982229879
"18","CPT1A",0.00345750766970817,0.0138889845706777,0.0434782608695652,"carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]",0.00345750766970817
"19","CHAC1",0.00273955491644611,0.0133675977904839,0.0434782608695652,"ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]",0.00273955491644611
