"",".metric",".estimator",".estimate"
"1","accuracy","binary",0.978395061728395
"2","kap","binary",0.83298969072165
"3","sens","binary",0.76
"4","spec","binary",0.996655518394649
"5","ppv","binary",0.95
"6","npv","binary",0.980263157894737
"7","mcc","binary",0.838980781651335
"8","j_index","binary",0.756655518394649
"9","bal_accuracy","binary",0.878327759197324
"10","detection_prevalence","binary",0.0617283950617284
"11","precision","binary",0.95
"12","recall","binary",0.76
"13","f_meas","binary",0.844444444444444
