"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.958702064896755
"2","kap","multiclass",0.899674459899379
"3","sens","macro",0.949332986832987
"4","spec","macro",0.98639538844781
"5","ppv","macro",0.900417394838447
"6","npv","macro",0.966732097272991
"7","mcc","multiclass",0.902586424651713
"8","j_index","macro",0.935728375280797
"9","bal_accuracy","macro",0.967864187640398
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.900417394838448
"12","recall","macro",0.949332986832987
"13","f_meas","macro",0.919193078093306
