"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.994100294985251
"2","kap","multiclass",0.984936011375755
"3","sens","macro",0.992281704781705
"4","spec","macro",0.996034160986693
"5","ppv","macro",0.99010989010989
"6","npv","macro",0.996010360529724
"7","mcc","multiclass",0.984957915131519
"8","j_index","macro",0.988315865768397
"9","bal_accuracy","macro",0.994157932884199
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.99010989010989
"12","recall","macro",0.992281704781705
"13","f_meas","macro",0.99106834945876
