"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.994100294985251
"2","kap","multiclass",0.984932663673941
"3","sens","macro",0.992281704781705
"4","spec","macro",0.996007628468438
"5","ppv","macro",0.992281704781705
"6","npv","macro",0.996007628468438
"7","mcc","multiclass",0.984932663673941
"8","j_index","macro",0.988289333250143
"9","bal_accuracy","macro",0.994144666625072
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.992281704781705
"12","recall","macro",0.992281704781705
"13","f_meas","macro",0.992281704781705
