"","Feature","Gain","Cover","Frequency","description","Importance"
"1","FBLIM1",0.114894453858905,0.0245809901484898,0.00595238095238095,"filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]",0.114894453858905
"2","SV2C",0.114028684790803,0.0742156938089457,0.0357142857142857,"synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:HGNC:30670]",0.114028684790803
"3","NDST3",0.110942479448757,0.0379826311131262,0.0208333333333333,"N-deacetylase and N-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:7682]",0.110942479448757
"4","PAX5",0.0991695230178171,0.0524423515737416,0.0267857142857143,"paired box 5 [Source:HGNC Symbol;Acc:HGNC:8619]",0.0991695230178171
"5","HSD17B1",0.048606873796212,0.0130913012633899,0.00595238095238095,"hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]",0.048606873796212
"6","PNMA2",0.0351606704505429,0.0455184282188578,0.0208333333333333,"PNMA family member 2 [Source:HGNC Symbol;Acc:HGNC:9159]",0.0351606704505429
"7","TCL1A",0.0266525544203952,0.0281030670558062,0.0178571428571429,"TCL1 family AKT coactivator A [Source:HGNC Symbol;Acc:HGNC:11648]",0.0266525544203952
"8","FAM111B",0.0218199939578645,0.0235052737839103,0.0119047619047619,"FAM111 trypsin like peptidase B [Source:HGNC Symbol;Acc:HGNC:24200]",0.0218199939578645
"9","RBBP8",0.0200139303391504,0.00244525164739274,0.00595238095238095,"RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]",0.0200139303391504
"10","CAPN3",0.0181405294495134,0.0275846728629037,0.0178571428571429,"calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]",0.0181405294495134
"11","CD38",0.0179574430611284,0.0158690305731144,0.0208333333333333,"CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]",0.0179574430611284
"12","UAP1",0.0161059413833232,0.00695663496862021,0.0327380952380952,"UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]",0.0161059413833232
"13","BRCA2",0.0160227594985637,0.0299022449581923,0.00892857142857143,"BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]",0.0160227594985637
"14","S100A1",0.016014011659106,0.023796000897402,0.0148809523809524,"S100 calcium binding protein A1 [Source:HGNC Symbol;Acc:HGNC:10486]",0.016014011659106
"15","ECM2",0.0149859186836799,0.0134429097671561,0.0148809523809524,"extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154]",0.0149859186836799
"16","DPEP1",0.0147496906512485,0.00155109852035069,0.00297619047619048,"dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]",0.0147496906512485
"17","SH2D4B",0.0133225573782391,0.0150405419461633,0.00892857142857143,"SH2 domain containing 4B [Source:HGNC Symbol;Acc:HGNC:31440]",0.0133225573782391
"18","CLIP4",0.0129724796285745,0.0138028134152726,0.00297619047619048,"CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]",0.0129724796285745
"19","CD79B",0.0123962776582005,0.0151503785093509,0.00595238095238095,"CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]",0.0123962776582005
"20","SCARNA5",0.012002394211458,0.00458426323075699,0.00892857142857143,"small Cajal body-specific RNA 5 [Source:HGNC Symbol;Acc:HGNC:32561]",0.012002394211458
"21","DCBLD2",0.0101830836269228,0.00173783833381208,0.00297619047619048,"discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]",0.0101830836269228
"22","CLSPN",0.00973803794392181,0.0259047715146176,0.0208333333333333,"claspin [Source:HGNC Symbol;Acc:HGNC:19715]",0.00973803794392181
"23","ZNF709",0.0086384327576821,0.000970606987091787,0.00297619047619048,"zinc finger protein 709 [Source:HGNC Symbol;Acc:HGNC:20629]",0.0086384327576821
"24","PORCN",0.00843977087179483,0.0145839263261516,0.00297619047619048,"porcupine O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:17652]",0.00843977087179483
"25","APCDD1",0.00737867218068099,0.0104894836597444,0.00595238095238095,"APC down-regulated 1 [Source:HGNC Symbol;Acc:HGNC:15718]",0.00737867218068099
"26","AASS",0.00666115504107399,0.00385014495304002,0.00892857142857143,"aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]",0.00666115504107399
"27","NMNAT3",0.00656935208207992,0.00351867672101619,0.00297619047619048,"nicotinamide nucleotide adenylyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:20989]",0.00656935208207992
"28","TUBA8",0.00593059147407282,0.0067844853577687,0.00595238095238095,"tubulin alpha 8 [Source:HGNC Symbol;Acc:HGNC:12410]",0.00593059147407282
"29","SP140",0.00560955750734245,0.00461477183375029,0.0119047619047619,"SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]",0.00560955750734245
"30","LCN10",0.00513287143245076,0.00562743695232434,0.00595238095238095,"lipocalin 10 [Source:HGNC Symbol;Acc:HGNC:20892]",0.00513287143245076
"31","MAP1LC3A",0.00495205642749072,0.0155099769715729,0.00297619047619048,"microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]",0.00495205642749072
"32","VKORC1",0.00489808561419764,0.00045158564516539,0.00297619047619048,"vitamin K epoxide reductase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23663]",0.00489808561419764
"33","VPREB3",0.00475492611487352,0.00872951974804429,0.00297619047619048,"V-set pre-B cell surrogate light chain 3 [Source:HGNC Symbol;Acc:HGNC:12710]",0.00475492611487352
"34","IGF2BP3",0.00447009764665671,0.00429116413579784,0.0148809523809524,"insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]",0.00447009764665671
"35","RNU4ATAC",0.00438049385647275,0.00248769645419674,0.00297619047619048,"RNA, U4atac small nuclear [Source:HGNC Symbol;Acc:HGNC:34016]",0.00438049385647275
"36","TMSB15A",0.00430030602081619,0.00102097624124349,0.00297619047619048,"thymosin beta 15A [Source:HGNC Symbol;Acc:HGNC:30744]",0.00430030602081619
"37","UMODL1",0.00421495406090437,0.00166330177218745,0.00297619047619048,"uromodulin like 1 [Source:HGNC Symbol;Acc:HGNC:12560]",0.00421495406090437
"38","TRPV1",0.00397046291013491,0.00406031177847847,0.0148809523809524,"transient receptor potential cation channel subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:12716]",0.00397046291013491
"39","NOS2",0.00388262396201283,0.0075302909769767,0.0148809523809524,"nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]",0.00388262396201283
"40","VASN",0.00381887508205897,0.0135279351964763,0.00297619047619048,"vasorin [Source:HGNC Symbol;Acc:HGNC:18517]",0.00381887508205897
"41","ITGA11",0.0036889729391479,0.000886768147692285,0.00297619047619048,"integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]",0.0036889729391479
"42","GPRIN1",0.00346557624885492,0.00681037263142609,0.00297619047619048,"G protein regulated inducer of neurite outgrowth 1 [Source:HGNC Symbol;Acc:HGNC:24835]",0.00346557624885492
"43","SLC25A29",0.00337240380982696,0.0135661824988579,0.00297619047619048,"solute carrier family 25 member 29 [Source:HGNC Symbol;Acc:HGNC:20116]",0.00337240380982696
"44","VRK1",0.00301997285082496,0.000937782426612348,0.00297619047619048,"VRK serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:12718]",0.00301997285082496
"45","ZNF74",0.002984558595897,0.00046809169816521,0.00297619047619048,"zinc finger protein 74 [Source:HGNC Symbol;Acc:HGNC:13144]",0.002984558595897
"46","MYO3A",0.00280232813253319,0.00134857921801739,0.00297619047619048,"myosin IIIA [Source:HGNC Symbol;Acc:HGNC:7601]",0.00280232813253319
"47","LAIR2",0.00276535944503263,0.00287466497808683,0.00595238095238095,"leukocyte associated immunoglobulin like receptor 2 [Source:HGNC Symbol;Acc:HGNC:6478]",0.00276535944503263
"48","CBY1",0.00276502175079059,0.000556555511954654,0.00297619047619048,"chibby family member 1, beta catenin antagonist [Source:HGNC Symbol;Acc:HGNC:1307]",0.00276502175079059
"49","C3orf18",0.00268054000296403,0.00110472280585031,0.00297619047619048,"chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837]",0.00268054000296403
"50","SSTR2",0.00264761949013117,0.002220675374079,0.00297619047619048,"somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]",0.00264761949013117
"51","SNHG3",0.00259095517561059,0.00273342422712157,0.0119047619047619,"small nucleolar RNA host gene 3 [Source:HGNC Symbol;Acc:HGNC:10118]",0.00259095517561059
"52","AGAP5",0.00245811483302893,0.00231549151841542,0.00595238095238095,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5 [Source:HGNC Symbol;Acc:HGNC:23467]",0.00245811483302893
"53","PCYOX1",0.00237915178841178,0.00031482563929425,0.00297619047619048,"prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588]",0.00237915178841178
"54","YPEL1",0.00230813287095632,0.000274878218796324,0.00297619047619048,"yippee like 1 [Source:HGNC Symbol;Acc:HGNC:12845]",0.00230813287095632
"55","SOCS2",0.00223738073195207,0.000799280908792109,0.00297619047619048,"suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]",0.00223738073195207
"56","SLC27A3",0.00219909633573154,0.00449624146715135,0.0119047619047619,"solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]",0.00219909633573154
"57","ZNF736",0.00209149370221144,0.00142045738680509,0.00297619047619048,"zinc finger protein 736 [Source:HGNC Symbol;Acc:HGNC:32467]",0.00209149370221144
