"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.997050147492625
"2","kap","multiclass",0.992428810720268
"3","sens","macro",0.993243243243243
"4","spec","macro",0.996835443037975
"5","ppv","macro",0.99904214559387
"6","npv","macro",0.999174917491749
"7","mcc","multiclass",0.992463396295161
"8","j_index","macro",0.990078686281218
"9","bal_accuracy","macro",0.995039343140609
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.99904214559387
"12","recall","macro",0.993243243243243
"13","f_meas","macro",0.996095496016617
