"","importance","Ens_id","description","Category"
"ENSG00000204001",15.7895299142308,"LCN8","lipocalin 8 [Source:HGNC Symbol;Acc:HGNC:27038]","High"
"ENSG00000133878",13.3595061771643,"DUSP26","dual specificity phosphatase 26 [Source:HGNC Symbol;Acc:HGNC:28161]","High"
"ENSG00000179796",12.1674809871078,"LRRC3B","leucine rich repeat containing 3B [Source:HGNC Symbol;Acc:HGNC:28105]","High"
"ENSG00000117143",10.3148235541163,"UAP1","UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]","High"
"ENSG00000267206",9.70055669815485,"LCN6","lipocalin 6 [Source:HGNC Symbol;Acc:HGNC:17337]","High"
"ENSG00000259112",6.37056157468325,"NDUFC2-KCTD14","NDUFC2-KCTD14 readthrough [Source:HGNC Symbol;Acc:HGNC:42956]","Medium"
"ENSG00000130037",6.37054726089314,"KCNA5","potassium voltage-gated channel subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:6224]","Medium"
"ENSG00000170745",5.68707670908061,"KCNS3","potassium voltage-gated channel modifier subfamily S member 3 [Source:HGNC Symbol;Acc:HGNC:6302]","Medium"
"ENSG00000213231",5.57514901340953,"TCL1B","TCL1 family AKT coactivator B [Source:HGNC Symbol;Acc:HGNC:11649]","Medium"
"ENSG00000207067",5.18833305626181,"SNORA72","small nucleolar RNA, H/ACA box 72 [Source:HGNC Symbol;Acc:HGNC:10234]","Medium"
"ENSG00000135333",4.97724877177256,"EPHA7","EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]","Medium"
"ENSG00000255152",4.8111677710706,"MSH5-SAPCD1","MSH5-SAPCD1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41994]","Medium"
"ENSG00000102312",4.63646856570095,"PORCN","porcupine O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:17652]","Medium"
"ENSG00000163492",4.61104531673299,"CCDC141","coiled-coil domain containing 141 [Source:HGNC Symbol;Acc:HGNC:26821]","Medium"
"ENSG00000122188",3.5968869894234,"LAX1","lymphocyte transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26005]","Medium"
"ENSG00000128510",2.9391507551908,"CPA4","carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]","Small"
"ENSG00000249884",2.6732851003967,"RNF103-CHMP3","RNF103-CHMP3 readthrough [Source:HGNC Symbol;Acc:HGNC:38847]","Small"
"ENSG00000262664",2.42993789838255,"OVCA2","OVCA2 serine hydrolase domain containing [Source:HGNC Symbol;Acc:HGNC:24203]","Small"
"ENSG00000086967",2.13978370788341,"MYBPC2","myosin binding protein C2 [Source:HGNC Symbol;Acc:HGNC:7550]","Small"
"ENSG00000170365",2.09860018800546,"SMAD1","SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]","Small"
"ENSG00000026036",2.00361020096951,"RTEL1-TNFRSF6B","RTEL1-TNFRSF6B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44095]","Small"
"ENSG00000128805",1.98037480534425,"ARHGAP22","Rho GTPase activating protein 22 [Source:HGNC Symbol;Acc:HGNC:30320]","Small"
"ENSG00000251992",1.97267273532158,"SCARNA17","small Cajal body-specific RNA 17 [Source:HGNC Symbol;Acc:HGNC:32574]","Small"
"ENSG00000183378",1.87602088646557,"OVCH2","ovochymase 2 [Source:HGNC Symbol;Acc:HGNC:29970]","Small"
"ENSG00000255072",1.87242971752569,"PIGY","phosphatidylinositol glycan anchor biosynthesis class Y [Source:HGNC Symbol;Acc:HGNC:28213]","Small"
