"","Feature","Gain","Cover","Frequency","description","Importance"
"1","LCN8",0.124158090801922,0.0648640666136045,0.0252631578947368,"lipocalin 8 [Source:HGNC Symbol;Acc:HGNC:27038]",0.124158090801922
"2","DUSP26",0.0965844419380359,0.0536123420410564,0.0357894736842105,"dual specificity phosphatase 26 [Source:HGNC Symbol;Acc:HGNC:28161]",0.0965844419380359
"3","UAP1",0.0545815450072773,0.0559816448337418,0.0336842105263158,"UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]",0.0545815450072773
"4","LCN6",0.0451529109780063,0.0183209784615773,0.00631578947368421,"lipocalin 6 [Source:HGNC Symbol;Acc:HGNC:17337]",0.0451529109780063
"5","KCNS3",0.0324751430832271,0.0415542928231689,0.0126315789473684,"potassium voltage-gated channel modifier subfamily S member 3 [Source:HGNC Symbol;Acc:HGNC:6302]",0.0324751430832271
"6","SNORA72",0.0313466484262987,0.0147712745172704,0.0126315789473684,"small nucleolar RNA, H/ACA box 72 [Source:HGNC Symbol;Acc:HGNC:10234]",0.0313466484262987
"7","CCDC141",0.0310167261508825,0.0348641552661728,0.0189473684210526,"coiled-coil domain containing 141 [Source:HGNC Symbol;Acc:HGNC:26821]",0.0310167261508825
"8","MSH5-SAPCD1",0.0254406467707884,0.040783007085368,0.0378947368421053,"MSH5-SAPCD1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41994]",0.0254406467707884
"9","UMODL1",0.0231873356350367,0.0113116552719214,0.00842105263157895,"uromodulin like 1 [Source:HGNC Symbol;Acc:HGNC:12560]",0.0231873356350367
"10","BSPRY",0.0211869646958413,0.00171940764220792,0.00210526315789474,"B-box and SPRY domain containing [Source:HGNC Symbol;Acc:HGNC:18232]",0.0211869646958413
"11","OVCA2",0.019851607928864,0.00992424209071024,0.0105263157894737,"OVCA2 serine hydrolase domain containing [Source:HGNC Symbol;Acc:HGNC:24203]",0.019851607928864
"12","KCNA5",0.0177214728404037,0.00910035926215228,0.0105263157894737,"potassium voltage-gated channel subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:6224]",0.0177214728404037
"13","EPB41L1",0.0171792462964354,0.0110072792809204,0.00210526315789474,"erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378]",0.0171792462964354
"14","LRRC3B",0.0170403060155616,0.0214113736258342,0.0231578947368421,"leucine rich repeat containing 3B [Source:HGNC Symbol;Acc:HGNC:28105]",0.0170403060155616
"15","SLC35E3",0.0141120803139581,0.00425453025952732,0.00842105263157895,"solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]",0.0141120803139581
"16","SAP25",0.0140401691422524,0.00622562154002742,0.0252631578947368,"Sin3A associated protein 25 [Source:HGNC Symbol;Acc:HGNC:41908]",0.0140401691422524
"17","SNORD10",0.0137087704452864,0.00162273003535067,0.00631578947368421,"small nucleolar RNA, C/D box 10 [Source:HGNC Symbol;Acc:HGNC:32706]",0.0137087704452864
"18","ZCCHC7",0.0135229795317454,0.0239063122532158,0.0126315789473684,"zinc finger CCHC-type containing 7 [Source:HGNC Symbol;Acc:HGNC:26209]",0.0135229795317454
"19","PIGY",0.0131953523622123,0.00464001165161113,0.0105263157894737,"phosphatidylinositol glycan anchor biosynthesis class Y [Source:HGNC Symbol;Acc:HGNC:28213]",0.0131953523622123
"20","LAX1",0.0116040725121174,0.00547254676406549,0.0168421052631579,"lymphocyte transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26005]",0.0116040725121174
"21","PORCN",0.0115849283890859,0.0165229000639069,0.0105263157894737,"porcupine O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:17652]",0.0115849283890859
"22","SCARNA12",0.0115789958783673,0.00187935839360913,0.00631578947368421,"small Cajal body-specific RNA 12 [Source:HGNC Symbol;Acc:HGNC:32569]",0.0115789958783673
"23","RNF103-CHMP3",0.0111987615342958,0.0164938967037662,0.0126315789473684,"RNF103-CHMP3 readthrough [Source:HGNC Symbol;Acc:HGNC:38847]",0.0111987615342958
"24","NDUFC2-KCTD14",0.0106556916274365,0.018935125081059,0.0126315789473684,"NDUFC2-KCTD14 readthrough [Source:HGNC Symbol;Acc:HGNC:42956]",0.0106556916274365
"25","SCARNA17",0.0105399341692405,0.00403570855892465,0.00842105263157895,"small Cajal body-specific RNA 17 [Source:HGNC Symbol;Acc:HGNC:32574]",0.0105399341692405
"26","UNC13D",0.010207193173322,0.00133781418709408,0.00210526315789474,"unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]",0.010207193173322
"27","CLEC4E",0.00991152688220709,0.00198757706400892,0.00210526315789474,"C-type lectin domain family 4 member E [Source:HGNC Symbol;Acc:HGNC:14555]",0.00991152688220709
