"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.970414201183432
"2","kap","multiclass",0.923122412773507
"3","sens","macro",0.948493135993136
"4","spec","macro",0.975364657557213
"5","ppv","macro",0.969908507604563
"6","npv","macro",0.984281045751634
"7","mcc","multiclass",0.923655618089812
"8","j_index","macro",0.92385779355035
"9","bal_accuracy","macro",0.961928896775175
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.969908507604563
"12","recall","macro",0.948493135993136
"13","f_meas","macro",0.958446022086996
