feature,value
FAM72D,1.7945230888991268
TMEM236,0.5923659914361736
FAM72A,0.5298062633060239
EBF1,0.507969281772163
KITLG,0.3493077026097321
FAM72B,0.3432642627073212
CD44,0.3323548802248905
ASPM,0.3141908015027368
SEC24D,0.3024683756239575
GLI2,0.27658518770126844
OBSCN,0.22644273431663134
MYO7B,0.219301117275573
KIF26B,0.21318185410570878
NRXN3,0.21062330868026596
CORO1A,0.21028458579597664
JAM3,0.20914127937763746
APOE,0.1837722551946077
SPAG5,0.18312405736922668
GRAPL,0.1829287564553366
CD96,0.17842803510374453
GRAP,0.16672690272148402
FCGR3A,0.16623392359702133
STAG3,0.1604565353938407
CD33,0.15675766795325133
FCGR3B,0.14846601862163267
