SLC4A1,ALOX5,DDX11,NRXN3,CD44,KITLG,ASPM,STAG3,FCGR2B,GLI2,ARHGAP15,SPAG5,ICAM1,APOL1,CORO1A,CD33,ZNF85,NSUN5P2,BMPR1A,AREG,VNN2,KLHL24,VIPR1,LCT,LEPR,NEK2,PCDHB14,KIF18A,RIBC2,APOE,FXYD2,CELSR2,AFF3,GZMA,SCML4,NLGN4X,TMEM236,FCGR1A,DIXDC1,SEC24D,CD96,MSI2,GRAP,OBSCN,AGAP1,NCF1,DDR2,FCGR3B,KIF26B,EBF1,GALNT10,DEFA4,GKAP1,NCF1C,JAM3,PRKCB,AR,RNASE3,HIC2,MYO7B,GYPA,CD8B,CSPG4,NCKAP5,TIGIT,NCF1B,GTF2H2C,FMNL1,RGPD2,PRAME,PCDHB13,FAM72B,GRAPL,FAM72A,ZNF138,ARHGAP11A,FCGR3A,MICA,LILRB3,HCP5,SNORA12,DDX12P,FAM72D,RPL23AP53,HAR1A,ZNF492,FCGR2C,GYPB,ZNF850,Cell_type
1.0484594,2.0216675,1.6715622,1.1223277,2.362521,0.037291445,2.4984796,2.3315077,0.53270245,-0.012426971,2.1255639,1.9760985,0.77119243,1.0547101,2.2627747,0.50716585,1.6095976,0.8466206,0.23378792,0.0854611,1.2283225,2.3127604,0.4460133,0.35085496,0.56684166,1.4873809,0.14624365,1.674731,0.9329974,0.14619589,0.05928559,1.3849176,2.3754041,0.939836,1.640957,0.18150315,1.6521429,0.22810453,0.42329836,1.2715536,1.6214594,2.779345,1.5745411,1.4442805,0.2797858,1.3108519,0.08897936,0.713965,1.0273709,2.731547,0.9822429,1.4369607,1.2037306,1.02788,0.26939282,2.6342645,0.099472545,0.52806365,1.4567832,1.1809316,0.49129036,0.836865,0.053312488,0.21201618,0.80177075,1.0350784,0.5905165,1.8571084,0.19197087,0.40571922,0.05009001,1.056107,0.1680613,1.1229416,1.4574897,2.1271112,1.331886,1.0870861,0.39789197,2.0089023,0.11586017,1.0696578,0.7242601,1.1979576,0.600068,0.08229623,0.321289,0.06267692,1.316927,B
0.23292828,1.8520981,1.7268918,0.30042294,2.267135,0.2816049,2.23465,2.1193912,0.5551656,-4.8353202e-05,2.2518547,1.8697721,1.0951382,1.4828072,2.439534,0.3767375,1.4379665,0.8765581,0.55199134,0.39372447,1.2854878,2.1115775,0.565669,0.1283701,1.1116446,1.4700373,0.08553503,1.5821941,0.73786986,1.2296772,0.19371447,0.98770225,2.158484,2.148058,1.8628532,0.103536256,0.4221878,0.5393818,1.0431424,1.4565777,2.3951945,2.5066934,1.602094,1.4128029,0.92954695,1.6520216,0.18760122,0.2620602,0.39372757,2.2818155,1.634453,0.19175135,1.2360691,1.1763822,0.36658627,2.7117891,-0.018285722,0.31215373,1.2037481,1.2990931,0.10359605,1.7550896,0.25509158,0.90296704,1.5516201,1.0505067,0.5509609,1.8189577,0.020585058,0.68382347,0.047437187,1.0825483,0.26980504,1.1797118,1.6286626,2.0581326,1.8762263,0.9271413,0.1750553,2.2167578,0.13626093,0.9169141,0.86383814,0.77466583,0.43359336,0.17837432,0.3090198,0.054255236,1.2211232,B
0.20099545,1.9810845,1.783197,0.29638013,2.2753582,0.31411505,2.281268,2.0313215,0.6103255,0.008777113,2.257808,2.001044,1.204423,1.5051899,2.4235148,0.46296307,1.4427319,0.87615544,0.5594873,0.30814913,1.2814662,2.172775,0.54151833,0.12851036,1.1151567,1.5634053,0.123014994,1.6096809,0.7090102,1.247126,0.12273332,0.9578073,2.2931516,2.1004486,1.9967403,0.22602913,0.4257628,0.6953173,1.0701855,1.4654598,2.3930652,2.5246859,1.5311202,1.4104275,0.7144036,1.6356634,0.22013718,0.2645082,0.41504815,2.2795947,1.631521,0.10868277,1.1849654,1.1840315,0.32566825,2.7708669,0.08801521,0.28496885,1.2410103,1.1571349,0.005050375,1.7104479,0.2672515,0.8771955,1.5372982,0.9215002,0.5771805,1.8088244,0.009035838,0.7228419,0.10530015,1.0548058,0.3379284,1.2635379,1.6473774,2.1790378,1.8784728,0.88190275,0.19443128,2.111962,0.1593194,0.96233475,0.8725081,0.83478385,0.3158321,0.30980685,0.25010154,0.078749314,1.1780411,B
2.4508646,1.6433064,1.7041173,0.6233154,1.573593,0.016781615,2.087156,3.143037,0.41324532,-0.034676634,2.0200195,2.0514271,0.99347275,1.1541239,2.3173523,0.2764785,1.6292565,1.2159877,0.21516727,0.14379987,0.524746,2.1995728,0.7746321,0.37940916,0.9158484,1.2753018,0.17383067,1.3416575,0.78472805,0.22273365,0.12230868,1.3293487,2.087352,0.65482086,2.2234662,0.08045665,0.79981476,0.101355284,0.23666689,1.1947284,2.435093,2.4460127,1.7317888,1.378073,0.71305025,0.965545,0.09358308,0.3558624,1.3320308,2.4375517,1.9143142,-0.028421145,1.2656052,0.9072133,0.2208964,2.680197,0.037941277,0.5256454,1.3469774,1.4491818,1.3097308,0.77129453,0.0054681962,1.357811,0.5849993,0.7981415,0.43939602,1.9862276,0.084838256,0.3182107,0.14054003,0.85962564,0.5487866,0.8594777,1.6170187,1.751445,0.7633332,1.0087025,0.5719436,2.2150967,0.8775391,1.2037742,0.8872442,1.0142995,0.9234766,0.65194863,0.2072379,0.8852214,1.3372269,B
1.1671661,2.0920794,1.7093662,0.8972101,2.6695545,0.0147184525,2.2271662,1.5638822,0.18989922,-0.040636547,1.9622993,1.9282826,1.4739661,0.99090636,2.332992,0.5232865,1.483129,0.59272933,0.18093437,0.057993047,0.86210805,2.252554,0.83365047,0.5683585,0.8037465,1.2792494,0.9300982,1.5379112,0.45884547,0.45513493,0.1637962,1.5599055,2.0981565,0.8890302,1.1579231,0.08095101,1.2810603,0.22179632,0.44622815,1.5328487,1.7827536,2.459872,1.5621307,1.4426004,0.27422118,0.98556125,0.037126236,0.38452163,1.1008124,2.4708738,1.7278413,0.9700007,1.169176,0.702165,0.22747323,2.6557512,0.0006397225,0.520128,1.4835026,1.4111053,0.66194105,0.44462872,0.33387542,0.22540568,0.30841768,0.7066592,0.4907278,2.1182373,0.13235816,0.9331719,0.81093985,0.62888926,0.63976246,0.77515733,1.5769827,1.9443434,1.3161834,0.9550389,0.57735205,1.88387,0.0721542,1.2614564,0.48483077,0.82451355,0.45382786,0.30169865,0.32831213,0.18535092,1.4302093,B
0.53021586,2.3219059,1.7781819,0.48382896,1.9092419,0.014491225,2.4334743,2.0189867,0.41165987,-0.02476444,2.1595502,1.9626433,1.1756061,0.9940901,2.3415356,0.33780244,1.5434037,0.86541986,0.19763489,0.07135209,1.310707,2.328847,0.3145027,0.15174356,0.6299541,1.5163726,0.33974522,1.6979882,0.8922011,0.32236335,0.25642195,1.4911417,2.510084,1.0638993,1.3592813,0.006095684,0.5590391,0.28041717,0.6671097,1.3493648,1.0548954,2.6308637,1.645043,1.472676,0.3786177,1.5756229,0.03146439,0.17937174,0.77033603,2.6929183,1.4800847,0.8934507,1.2427177,1.2431841,0.117840536,2.7996335,0.1019619,0.36717725,1.3320833,1.3534635,0.19761969,0.6188944,0.0012197559,0.7271852,0.75396866,1.2132272,0.5380881,1.7592438,0.19344324,0.31942523,0.2222862,1.0218828,0.4134814,1.1445127,1.6674637,2.0422943,1.008756,1.1770142,0.3228041,2.4624104,0.24483135,1.2163885,0.8473944,1.030119,0.36288595,0.9656124,0.32827744,0.07180901,1.3422968,B
0.41288006,2.4285715,1.7709408,0.49685425,1.8630652,-0.030599533,2.39004,2.1133654,0.3813119,0.006995418,2.1470394,1.9705213,1.1573491,1.025885,2.2329721,0.34891027,1.4758937,0.935278,0.18464985,0.1699503,1.4333336,2.3063471,0.31953484,0.15344527,0.55258787,1.5685574,0.3309982,1.6098052,0.8209738,0.26523033,0.116066985,1.3625002,2.500539,1.0614442,1.378661,0.074669935,0.3234154,0.2900169,0.76575387,1.3790314,1.1373693,2.631392,1.7267935,1.5205853,0.22139145,1.526393,0.005897665,0.188685,0.68677914,2.4721308,1.4489887,0.97873104,1.2364432,1.3519127,0.042097602,2.799416,0.095893234,0.4270558,1.3118583,1.300283,0.17690285,0.80204546,0.050407864,0.69264585,0.82250524,1.258109,0.57620895,1.8027929,0.11102001,0.1790808,0.35785565,1.0320841,0.57070124,1.1911211,1.6206282,2.0410078,0.92646354,1.2553219,0.25872993,2.692045,0.24687546,1.2333345,0.8524912,1.0173922,0.27823508,1.09685,0.3261673,0.13034599,1.333995,B
0.40944338,2.367462,1.7850207,0.5611759,1.8256642,0.0025602148,2.3949122,1.8408718,0.39794326,0.019099051,2.1148033,1.9781042,1.091945,1.0152557,2.2804754,0.37155345,1.5640528,0.8431698,0.19937988,0.08843618,1.3075566,2.4247286,0.23714922,0.15331772,0.53596747,1.4452881,0.3706991,1.6968255,0.8431232,0.3337113,0.22914936,1.3273234,2.5011744,1.0784012,1.458677,0.2567864,0.42176792,0.2366273,0.65909255,1.374733,1.0927819,2.6144686,1.6389472,1.5571201,0.17319764,1.5644417,0.018163944,0.18469173,0.7556499,2.5292654,1.4984485,0.75474745,1.2337264,1.2424462,0.08731029,2.7890568,0.05460894,0.37894648,1.3444958,1.3202884,0.26956815,0.71647507,0.099501096,0.845761,0.77577883,1.1161157,0.5146448,1.6892564,0.08530773,0.3541983,0.1378575,0.9682666,0.5456815,1.2426705,1.5989922,2.061586,1.0304238,1.1618928,0.21926183,2.761556,0.20875746,1.143249,0.79899687,0.92864555,0.16660276,0.94968486,0.2992326,0.020501126,1.3227595,B
1.3267856,2.1139228,1.7028346,0.881876,2.674112,0.011159612,2.170399,1.6087976,0.33390364,0.029493628,1.9325436,1.9541633,1.5009918,1.0568144,2.3596969,0.56214476,1.4633868,0.60036445,0.09640604,0.052039616,0.84808165,2.171626,0.81725574,0.598201,0.7132156,1.280614,0.90764576,1.5112376,0.4192365,0.40686607,0.070487015,1.5726637,2.1199884,0.8859072,1.2129136,0.079931416,1.3272387,0.22820812,0.47484046,1.5280913,1.7467253,2.449309,1.6315051,1.5426844,0.12679608,1.0501112,-0.009175872,0.3047039,1.0140684,2.3721194,1.7404652,0.98419404,1.1804287,0.6831564,0.31812006,2.6324606,0.06923146,0.48915544,1.4988589,1.2618688,0.6211393,0.50572807,0.27761108,0.18319261,0.5003266,0.7515214,0.5110111,2.1843865,0.08927567,0.78438026,0.70982575,0.62279,0.6173317,0.7500012,1.5748383,1.8909103,1.3011508,0.9191827,0.48367903,1.9390092,0.15182403,1.2906528,0.5262643,0.8959362,0.54394555,0.3256413,0.2873243,0.23262325,1.4532248,B
1.5077547,2.0883846,1.7075286,0.88572174,2.6727934,-0.012335693,2.1723244,1.5992601,0.30266705,-0.0329343,1.970034,1.948924,1.5021535,0.9921681,2.3454916,0.53794116,1.5091817,0.675183,0.19367154,-0.0006426042,0.87865806,2.22065,0.81885403,0.56806314,0.82138366,1.2989835,0.8231226,1.5530003,0.42468187,0.3729157,0.09998778,1.6154068,2.0933554,0.92234683,1.2052311,0.07918409,1.3038177,0.21485344,0.3978651,1.4959475,1.841774,2.447305,1.6247586,1.4856827,0.23005272,0.9820832,-0.020109242,0.43517703,1.1933755,2.3747578,1.7927647,0.9537564,1.2094655,0.70930797,0.23372725,2.6160514,-0.08263689,0.44599253,1.4957298,1.2167121,0.64468,0.46852744,0.37157857,0.16194199,0.47248498,0.754354,0.52321625,2.1445413,0.13417107,0.8843067,0.7405289,0.6801047,0.5523916,0.7418505,1.5490959,1.8904835,1.2722396,0.9343629,0.53082055,2.017906,0.1318956,1.2212423,0.5371464,0.8207086,0.5067672,0.24436346,0.3709711,0.26271185,1.4627055,B
