feature,value
FGF14,1.105004083683992
GPR78,1.0556979459188969
NPY,0.6925513243216174
KCNE4,0.6164754480852183
EGFR,0.39355542237726937
TCL1A,0.37548408836973396
GPX8,0.3602739265302428
NKAIN4,0.280207485053916
NTN4,0.2773354930397861
COL8A1,0.25980570761163546
MYO18B,0.23361967890956017
SLIT3,0.22486993110303774
POU4F1,0.20609104505644468
POSTN,0.19463359515358009
KRT19,0.1887415639673585
LCN6,0.1787378843520793
IGLL1,0.176521204538361
SHANK3,0.16404769480374157
COL4A2,0.15990403317334018
SLC22A16,0.1594872342924699
MMP2,0.1472093095777506
KCNK17,0.14685901242802443
TAL1,0.12742238916675297
HBG2,0.12163102951795683
CALN1,0.10012248457036002
