"","logFC","logCPM","F","PValue","FDR","class","ensembl_id"
"ENSG00000004939",9.83842759566337,7.72861664790002,340.026473906674,1.74212150025899e-63,2.23377159954156e-62,"+","ENSG00000004939"
"ENSG00000170180",9.75674501209325,4.87654533706612,310.770536709571,5.79618601842719e-59,6.39008579227793e-58,"+","ENSG00000170180"
"ENSG00000164821",9.63925132435649,2.85696619475821,145.028183521344,8.44249331832392e-31,3.48884692033666e-30,"+","ENSG00000164821"
"ENSG00000169397",7.62075236054983,1.85931427949619,149.221307709894,1.4222211963087e-31,6.04478946718036e-31,"+","ENSG00000169397"
"ENSG00000250361",7.43768595137592,2.38021538032493,231.7195941427,4.12790081291608e-46,2.92059110950922e-45,"+","ENSG00000250361"
"ENSG00000137731",7.00014974049837,3.18779871526369,139.647931042793,8.39947701311193e-30,3.33613754888707e-29,"+","ENSG00000137731"
"ENSG00000021645",6.01118738012026,4.5804502238895,213.099815442151,6.15725284920864e-43,3.91074463883168e-42,"+","ENSG00000021645"
"ENSG00000154016",5.65932371231658,5.8543888416072,1080.14807930809,2.66054313529918e-150,5.39425120681909e-148,"+","ENSG00000154016"
"ENSG00000158517",5.55241816092696,5.64575795030576,253.947414960186,7.99787148550863e-50,6.44598635999752e-49,"+","ENSG00000158517"
"ENSG00000169994",5.49982161479087,6.77451813281495,153.68843358538,2.15199765115077e-32,9.44665816012599e-32,"+","ENSG00000169994"
"ENSG00000148483",5.41341667405711,3.86647709967469,156.285735205516,7.20845816408159e-33,3.21764544675345e-32,"+","ENSG00000148483"
"ENSG00000166501",5.36339039196056,8.76778674891012,1031.91856317251,8.47260086460813e-146,1.50603381944048e-143,"+","ENSG00000166501"
"ENSG00000146938",5.29502300946976,4.432186649444,86.7184559092064,1.19525824241603e-19,3.21510591906931e-19,"+","ENSG00000146938"
"ENSG00000165178",4.85249829221884,4.17292696161593,216.387244799142,1.67777814596713e-43,1.08745500609738e-42,"+","ENSG00000165178"
"ENSG00000189152",4.73042157361647,2.64831752810343,260.981401327115,5.55537720327112e-51,4.68094640192507e-50,"+","ENSG00000189152"
"ENSG00000115850",4.34472481831861,1.18744057077392,204.639344697387,1.78345927566008e-41,1.07788391061785e-40,"+","ENSG00000115850"
"ENSG00000105383",4.31605824330728,2.99959342539182,168.483206262491,4.41542766624408e-35,2.12123618649327e-34,"+","ENSG00000105383"
"ENSG00000187372",4.31283928179294,2.83701428648709,104.213359759565,4.47452201192293e-23,1.36711555513802e-22,"+","ENSG00000187372"
"ENSG00000182487",4.24759208030567,3.98267413608916,181.219780776649,2.31721253401138e-37,1.21782704906163e-36,"+","ENSG00000182487"
"ENSG00000075884",4.11475561316263,6.71516274174456,805.696808467898,5.97080258208847e-123,5.09717988849868e-121,"+","ENSG00000075884"
"ENSG00000162747",4.09998436110271,2.47743555193191,80.3396069335745,2.21607240289407e-18,5.70550704364156e-18,"+","ENSG00000162747"
"ENSG00000196550",4.07219644196111,2.39912281608061,278.886757228527,6.78066885123139e-54,6.30271912704717e-53,"+","ENSG00000196550"
"ENSG00000012779",4.01480824525807,7.08109906009134,155.61236035019,9.5688790650008e-33,4.24643552487861e-32,"+","ENSG00000012779"
"ENSG00000150337",3.96701157626636,1.45004811124967,95.0006829276656,2.79286537933432e-21,7.99122848120003e-21,"+","ENSG00000150337"
"ENSG00000229676",3.82337753982109,4.16346395673594,326.129817490711,2.36703231419804e-61,2.81269334331811e-60,"+","ENSG00000229676"
"ENSG00000146285",3.78943511166802,3.83949480263578,192.595466832459,2.2610126212909e-39,1.27228533277843e-38,"+","ENSG00000146285"
"ENSG00000212464",3.74951737773126,3.61308308090978,98.3619086968006,6.14763411657563e-22,1.79909112080932e-21,"+","ENSG00000212464"
"ENSG00000109321",3.73947627125331,3.63393869399555,59.1075750105801,4.4065815857357e-14,9.56503891878663e-14,"+","ENSG00000109321"
"ENSG00000153944",3.7009491026844,8.67456789446525,1072.51331788737,1.34903313037937e-149,2.69308521535427e-147,"+","ENSG00000153944"
"ENSG00000185304",3.64642778899586,4.83701763236399,79.014187592723,4.07737517169394e-18,1.03761561537361e-17,"+","ENSG00000185304"
"ENSG00000066923",3.606006177237,6.83733000975008,161.975042321451,6.63825504988143e-34,3.06868534119207e-33,"+","ENSG00000066923"
"ENSG00000215784",3.56495491940383,1.67020153692178,166.730998960985,9.14261656638083e-35,4.33605966978646e-34,"+","ENSG00000215784"
"ENSG00000066279",3.55000960212031,6.88728729135639,386.255615863547,2.13769502861798e-70,3.48476516222951e-69,"+","ENSG00000066279"
"ENSG00000120327",3.46682253049538,2.55879634278773,100.793215500292,2.06491337568695e-22,6.1483056362813e-22,"+","ENSG00000120327"
"ENSG00000188610",3.43700035039576,2.52487439481314,360.075604520595,1.62015737871228e-66,2.31532622755182e-65,"+","ENSG00000188610"
"ENSG00000145649",3.338873559047,4.16414531473454,102.779163248625,8.49022381763671e-23,2.56625073975434e-22,"+","ENSG00000145649"
"ENSG00000128408",3.21240689059861,1.43174104231184,172.836199809462,7.28208068825935e-36,3.60795261591651e-35,"+","ENSG00000128408"
"ENSG00000162849",3.1608451440256,3.93926628234157,56.1800939766621,1.76506581438166e-13,3.74178957807817e-13,"+","ENSG00000162849"
"ENSG00000112303",3.03002019940954,3.71980353841286,98.6274674843579,5.45617861104135e-22,1.59854083668712e-21,"+","ENSG00000112303"
"ENSG00000076382",2.93858257766855,6.22332704898427,678.90010426817,1.10524620808253e-108,5.90192378439459e-107,"+","ENSG00000076382"
"ENSG00000176771",2.91411461186113,2.70352805944733,32.3343490249105,1.82312110111424e-08,3.09887600315148e-08,"+","ENSG00000176771"
"ENSG00000153283",2.90141227527934,6.55360855271459,119.752518630318,4.64496283959565e-26,1.60002754994938e-25,"+","ENSG00000153283"
"ENSG00000114812",2.90114247947919,2.08731128973006,113.392097833719,7.6152994691379e-25,2.49661763293414e-24,"+","ENSG00000114812"
"ENSG00000267041",2.89102470516921,4.93078798771653,514.384453947973,3.24720698403024e-88,9.46870962354527e-87,"+","ENSG00000267041"
"ENSG00000164330",2.84493716255153,7.39062405671373,115.476987460536,3.03754534562324e-25,1.01012784225544e-24,"+","ENSG00000164330"
"ENSG00000153165",2.76463733394852,4.03044094689737,42.0098799972325,1.59229352027811e-10,2.96904738024554e-10,"+","ENSG00000153165"
"ENSG00000117650",2.74730119994411,4.01336664288098,332.863544041142,2.17404307852071e-62,2.67396995136349e-61,"+","ENSG00000117650"
"ENSG00000214826",2.7344034018566,4.82052795659416,220.572392064442,3.22547679018954e-44,2.14524791540233e-43,"+","ENSG00000214826"
"ENSG00000154358",2.73168575582271,6.80376760351039,194.311273508466,1.1300494517885e-39,6.45401482676389e-39,"+","ENSG00000154358"
"ENSG00000176681",2.53092909385273,4.63988032706945,123.478098020811,9.1124256867572e-27,3.23775563284122e-26,"+","ENSG00000176681"
"ENSG00000102879",2.50738880603133,8.06928438708236,326.047276023429,2.4375518152698e-61,2.89384010566706e-60,"+","ENSG00000102879"
"ENSG00000144218",2.35579033214164,7.48722390508007,214.51302212546,3.51903009240708e-43,2.25718904988009e-42,"+","ENSG00000144218"
"ENSG00000244682",2.32992695753669,2.42571573594305,57.6432499663914,8.8151956586625e-14,1.89192819826008e-13,"+","ENSG00000244682"
"ENSG00000121621",2.28522995606533,4.57929956776496,346.357938529462,1.89641082210133e-64,2.49572280198649e-63,"+","ENSG00000121621"
"ENSG00000205583",2.14894486354036,3.8590021915883,163.520040672817,3.48236559778115e-34,1.6254379854967e-33,"+","ENSG00000205583"
"ENSG00000013573",2.12319274966678,6.5200222749581,231.539415504309,4.42749293277287e-46,3.1291475106569e-45,"+","ENSG00000013573"
"ENSG00000143126",2.09870351719123,4.51924334333574,104.676385159123,3.63950105258703e-23,1.11566656410039e-22,"+","ENSG00000143126"
"ENSG00000165113",2.04251503752932,4.05886995767282,389.874938306543,6.3158086238998e-71,1.04666580719954e-69,"+","ENSG00000165113"
"ENSG00000169083",1.99745384238881,1.67188649549418,15.212320080543,0.000104192294354449,0.000146051551425228,"+","ENSG00000169083"
"ENSG00000184922",1.98510085739833,7.62135842069998,169.570001030809,2.8132833353628e-35,1.36264145426158e-34,"+","ENSG00000184922"
"ENSG00000204577",1.97951141667441,1.76865047525064,63.8686158195887,4.67035740284579e-15,1.05285888914745e-14,"+","ENSG00000204577"
"ENSG00000176809",1.9408068019691,4.69170396174063,113.789761128264,6.38964432473442e-25,2.10010194421869e-24,"+","ENSG00000176809"
"ENSG00000169635",1.92962426629117,4.94401142440213,401.991064189932,1.09544374651719e-72,1.90542601270872e-71,"+","ENSG00000169635"
"ENSG00000106133",1.92032518636631,3.89878211138647,132.871743625552,1.5470313699339e-28,5.89034009866851e-28,"+","ENSG00000106133"
"ENSG00000198826",1.91154073167595,5.96703709299885,228.897028885487,1.2388848558732e-45,8.61971575861162e-45,"+","ENSG00000198826"
"ENSG00000114796",1.90519016069886,8.08748649546056,320.808823720818,1.57779767970065e-60,1.83454325195301e-59,"+","ENSG00000114796"
"ENSG00000105750",1.89130233130698,4.80369596592927,300.215565448837,2.65681468358756e-57,2.78022801082518e-56,"+","ENSG00000105750"
"ENSG00000130203",1.84317646506436,2.64460361617886,51.1834511615545,1.91166461935296e-12,3.87590001573812e-12,"+","ENSG00000130203"
"ENSG00000203747",1.80645868504378,4.313263867565,39.4569139939003,5.51736791008063e-10,1.0058073335376e-09,"+","ENSG00000203747"
"ENSG00000051596",1.80439763245719,5.17230628949572,365.76627871438,2.28438269489897e-67,3.35318437205984e-66,"+","ENSG00000051596"
"ENSG00000175322",1.76258005130363,4.32964299276819,225.634362691506,4.43024781681391e-45,3.03200926534691e-44,"+","ENSG00000175322"
