"","logFC","logCPM","F","PValue","FDR","class","ensembl_id"
"ENSG00000188536",14.878633130247,11.0960911927061,195.924701548139,5.89321741753523e-40,3.3956655954679e-39,"+","ENSG00000188536"
"ENSG00000206172",14.3675669089814,10.621516156717,173.060782589737,6.63699599171336e-36,3.29085441301003e-35,"+","ENSG00000206172"
"ENSG00000244734",14.0484933643589,11.8615123571814,213.983492254239,4.33931425493657e-43,2.77374097399295e-42,"+","ENSG00000244734"
"ENSG00000239002",13.584865682803,9.76104532109798,337.969586145326,3.59038362932483e-63,4.54525053406039e-62,"+","ENSG00000239002"
"ENSG00000128322",12.3482138909157,7.59711341169888,522.798284510282,2.5325034097713e-89,7.64227075469591e-88,"+","ENSG00000128322"
"ENSG00000213934",11.8830525242472,5.70817875841008,116.475873395222,1.95715499447556e-25,6.5656781820876e-25,"+","ENSG00000213934"
"ENSG00000172995",11.8160201370737,7.50657371150075,937.062815435612,1.38913220030015e-136,1.85828653928812e-134,"+","ENSG00000172995"
"ENSG00000158578",11.6808406050687,7.03882707291144,337.42042263336,4.35601118099718e-63,5.4824055368205e-62,"+","ENSG00000158578"
"ENSG00000169877",11.6350275540985,5.2439944067833,344.130325590073,4.13220544757799e-64,5.37269517913547e-63,"+","ENSG00000169877"
"ENSG00000196565",11.5727247355133,7.8653329153834,145.559547141966,6.73366647459675e-31,2.79156728991589e-30,"+","ENSG00000196565"
"ENSG00000112077",11.3464617170148,4.40742653901612,399.58869569692,2.43946969039491e-72,4.1982173345576e-71,"+","ENSG00000112077"
"ENSG00000122025",11.3460324116237,8.09840243225514,691.003710814585,4.2600267695665e-110,2.38267704146099e-108,"+","ENSG00000122025"
"ENSG00000223609",11.342282522667,5.27455405135869,243.795970645729,3.8775929921172e-48,2.95279616582821e-47,"+","ENSG00000223609"
"ENSG00000107447",11.1579762696776,9.89796619587003,850.649830348522,9.73867804144595e-128,9.72069894352328e-126,"+","ENSG00000107447"
"ENSG00000100721",11.1440769706754,7.4143237723935,405.558462303732,3.34625835481647e-73,5.93183721476756e-72,"+","ENSG00000100721"
"ENSG00000133742",11.0131454340352,7.31660355960686,363.649265909322,4.72913846770152e-67,6.89497761313427e-66,"+","ENSG00000133742"
"ENSG00000206177",11.0061922069068,3.94726877557328,240.210456765056,1.54141918432045e-47,1.14555872484205e-46,"+","ENSG00000206177"
"ENSG00000169575",10.9664753322047,6.57935727236659,443.182387571533,1.52993242300965e-78,3.24916581357991e-77,"+","ENSG00000169575"
"ENSG00000005381",10.790224542771,7.79582998926396,387.546179619927,1.38339256385776e-70,2.26939341449031e-69,"+","ENSG00000005381"
"ENSG00000122585",10.3649804203054,4.63107956806771,192.646430822852,2.21487211365055e-39,1.24686249660432e-38,"+","ENSG00000122585"
"ENSG00000152192",10.3201395822816,6.12397651429029,252.278889420977,1.50966943530695e-49,1.206248189196e-48,"+","ENSG00000152192"
