,0
0,nell2
1,crtam
2,gzmk
3,s100b
4,gzmh
5,themis
6,slc4a10
7,cd8b
8,zbtb20-as1
9,tigit
10,gzmk
11,sytl2
12,gzma
13,tsr1
14,pvrig
15,vipr1
16,tshz2
17,tpd52
18,sp140
19,scml4
20,gzmb
21,serpina1
22,sh2d1b
23,klrc1
24,fgl2
25,fcgr3a
26,slco4c1
27,uts2
28,tbx21
29,pdgfd
30,tspan13
31,glipr1l2
32,hhex
33,tcea3
34,klhl32
35,tlr5
36,bmpr1a
37,tnfrsf9
38,commd10
39,dzip3
40,uchl3
41,oxnad1
42,e2f2
43,kifap3
44,tmbim4
45,faah2
46,arhgap15
47,zdhhc4
48,tmem42
49,ubxn2b
50,tmem128
51,plag1
52,dsc2
53,galnt2
54,clic5
55,rbm11
56,bcas1
57,sord
58,tnk1
59,ntng1
60,wnk3
61,kcna2
62,acvr1c
63,ryk
64,stac3
65,tspan15
66,prkch
67,vnn2
68,nudt19
69,smyd2
70,schip1
71,znf641
72,scn3b
73,spon2
74,tnfrsf10d
75,diras1
76,cd96
77,pdcd4
78,zbtb7b
79,tnfrsf1b
80,mzb1
81,serpinb8
82,myh10
83,sntb1
84,tspan10
85,uvrag
86,tcfl5
87,ids
88,sytl3
89,elf4
90,il10ra
91,cd44
92,zmynd19
93,thoc3
94,znf416
95,il17d
96,fam174b
97,trim24
98,kbtbd4
99,e2f6
100,cep170p1
101,sdccag8
102,znf625
103,ppfibp1
104,fkbp1b
105,cep350
106,cep170
