,0
0,nell2
1,crtam
2,gzmk
3,s100b
4,gzmh
5,themis
6,slc4a10
7,cd8b
8,zbtb20-as1
9,tigit
10,gzmk
11,sytl2
12,gzma
13,tsr1
14,pvrig
15,vipr1
16,tshz2
17,tpd52
18,sp140
19,scml4
20,gzmb
21,serpina1
22,sh2d1b
23,klrc1
24,fgl2
25,fcgr3a
26,slco4c1
27,uts2
28,tbx21
29,pdgfd
30,tspan13
31,glipr1l2
32,hhex
33,tcea3
34,klhl32
35,tlr5
36,bmpr1a
37,tnfrsf9
38,commd10
39,dzip3
40,uchl3
41,oxnad1
42,e2f2
43,kifap3
44,tmbim4
45,faah2
46,arhgap15
47,zdhhc4
48,tmem42
49,ubxn2b
50,tmem128
51,plag1
52,dsc2
53,galnt2
54,clic5
55,rbm11
56,bcas1
57,sord
58,tnk1
59,ntng1
60,wnk3
61,kcna2
62,acvr1c
63,ryk
64,stac3
65,tspan15
66,prkch
67,vnn2
68,nudt19
69,smyd2
70,schip1
71,znf641
72,scn3b
73,spon2
74,tnfrsf10d
75,diras1
76,cd96
77,pdcd4
78,zbtb7b
79,tnfrsf1b
80,mzb1
81,serpinb8
82,myh10
83,sntb1
84,tspan10
85,uvrag
86,tcfl5
87,ids
88,sytl3
89,elf4
90,il10ra
91,cd44
92,zmynd19
93,thoc3
94,znf416
95,il17d
96,fam174b
97,trim24
98,kbtbd4
99,e2f6
100,cep170p1
101,sdccag8
102,znf625
103,ppfibp1
104,fkbp1b
105,cep350
106,cep170
107,plekhm1
108,prr14
109,gga3
110,fmnl1
111,rab32
112,smarca1
113,wdr17
114,tmtc2
115,tex9
116,scn9a
117,ltbp1
118,hoxb3
119,dpy19l2
120,osbpl5
121,croccp3
122,croccp2
123,spon2
124,hook2
125,prss27
126,lss
127,crocc
128,cep250
129,ptprcap
130,epb41l2
131,odf2
132,exoc4
133,dnmt1
134,cdk5rap2
135,lrrc37a3
136,kansl1
137,nbr2
138,lrrc37a2
139,stx16
140,lrrc37a
141,lrig2
142,arl17a
143,gigyf2
144,gpr89b
145,pms2
146,iws1
147,ninj1
148,ercc5
149,setd1a
150,znf592
151,srcap
152,pom121
153,ppip5k1
154,hspbap1
155,catsperg
156,polg2
157,strc
158,catsper2
159,rad54l2
160,pogz
161,znf587
162,pdpr
163,pomzp3
164,plekhm1
165,ube2q1
166,pms2cl
167,cox20
168,s1pr2
169,ccz1b
170,tnk2
171,snx29p1
172,sdhap1
173,znf850
174,srebf2
175,trappc9
176,pi4kap2
177,trrap
178,pi4ka
179,rgpd3
180,snora22
181,zc3h11a
182,ranbp2
183,hspa7
184,kcnc3
185,snx29p1
186,fcgr2c
187,herc2p9
188,ppip5k1
189,trrap
190,ube4b
191,mtor
192,znf69
193,herc2
194,wash3p
195,wash7p
196,wash2p
197,kcnc3
198,rhpn2
199,tnxb
200,fam153a
201,tro
202,znf827
203,rab3ip
204,zc3h12b
205,nbea
