,0
0,znf492
1,orc6
2,prr11
3,znf157
4,znf850
5,agap1
6,ldlrad3
7,satb2
8,evc
9,mbtps1
10,rbfox2
11,fjx1
12,limch1
13,kctd17
14,ptprm
15,gata6
16,ror2
17,adcy1
18,b3gat1
19,rgmb
20,lnx1
21,dennd1b
22,nuak1
23,bend7
24,dock1
25,ldlrad3
26,satb2
27,evc
28,mbtps1
29,rbfox2
30,fjx1
31,limch1
32,kctd17
33,ptprm
34,gata6
35,ror2
36,adcy1
37,b3gat1
38,rgmb
39,lnx1
40,dennd1b
41,nuak1
42,bend7
43,dock1
44,mmp28
45,mrc1
46,srgap2
47,cd24
48,aspm
49,kif14
50,bub1b
51,cenpe
52,kif18a
53,nuf2
54,cenpf
55,mki67
56,cit
57,kif14
58,bub1b
59,cenpe
60,kif18a
61,nuf2
62,cenpf
63,mki67
64,cit
65,esm1
66,gzmk
67,sytl2
68,adam23
69,fgfbp2
70,gzma
71,pi4ka
72,srebf2
73,myo9b
74,abcc1
75,trappc9
76,pi4kap2
77,phka2
78,trrap
79,nomo1
80,myo9b
81,srebf2
82,abcc1
83,trappc9
84,pi4kap2
85,phka2
86,trrap
87,nomo1
88,ebf1
89,sh2d4b
90,blnk
91,cd22
92,pax5
93,auts2
94,znf608
95,nav1
96,pou2af1
97,chd7
98,lamc1
99,cd22
100,blnk
101,sh2d4b
102,pax5
103,auts2
104,znf608
105,nav1
106,pou2af1
107,chd7
108,lamc1
109,zmynd19
110,rufy1
111,thoc3
112,arhgap42
113,znf354c
114,fmnl2
115,procr
116,znf667
117,cdkn2c
118,pbx4
119,pard3
120,crispld1
121,znf354c
122,fmnl2
123,procr
124,cdkn2c
125,znf667
126,pbx4
127,pard3
128,crispld1
129,gigyf2
130,gpr89b
131,pms2
132,iws1
133,ninj1
134,abhd14b
135,ercc5
136,arl17a
137,kansl1
138,nbr2
139,lrrc37a2
140,lrrc37a3
141,stx16
142,lrrc37a
143,lrig2
144,nbr2
145,kansl1
146,lrrc37a2
147,lrrc37a3
148,stx16
149,lrrc37a
150,lrig2
151,cacnb2
152,stag3
153,prcd
154,pcbd1
155,tg
156,ints3
157,terf2
158,scn3b
159,cdkl1
160,cacnb2
161,prcd
162,pcbd1
163,tg
164,ints3
165,terf2
166,scn3b
167,cdkl1
168,prss27
169,slc29a4
170,pcdh10
171,cxadr
172,fam171a2
173,rnd2
174,vrk2
175,plekhh1
176,znf219
177,arhgap39
178,sbk1
179,fblim1
180,reep2
181,phldb3
182,tmem213
183,prss27
184,pcdh10
185,cxadr
186,fam171a2
187,rnd2
188,vrk2
189,plekhh1
190,znf219
191,arhgap39
