,0
0,nell2
1,crtam
2,gzmk
3,s100b
4,gzmh
5,themis
6,slc4a10
7,klrc1
8,gzmm
9,s1pr5
10,cd8b
11,zbtb20-as1
12,tigit
13,gzmk
14,sytl2
15,reep5
16,gzmb
17,gzmh
18,samd3
19,gzma
20,tsr1
21,ucp2
22,pvrig
23,vipr1
24,tshz2
25,tpd52
26,sp140
27,tnfrsf13b
28,smap2
29,scml4
30,gzmb
31,serpina1
32,sh2d1b
33,klrc1
34,fgl2
35,scimp
36,fcgr3a
37,slco4c1
38,uts2
39,tbx21
40,prss23
41,tfcp2l1
42,tmem64
43,slc46a1
44,procr
45,znf777
46,zswim1
47,pdgfd
48,tspan13
49,glipr1l2
50,hhex
51,tcea3
52,klhl32
53,tlr5
54,slc16a4
55,bmpr1a
56,vcam1
57,tnfrsf9
58,commd10
59,dzip3
60,uchl3
61,oxnad1
62,e2f2
63,kifap3
64,tmbim4
65,faah2
66,kank2
67,slc39a10
68,arhgap15
69,zdhhc4
70,tmem42
71,ubxn2b
72,tmem128
73,plag1
74,dsc2
75,galnt2
76,clic5
77,rbm11
78,bcas1
79,sord
80,tnk1
81,ntng1
82,wnk3
83,kcna2
84,bmp8b
85,capn8
86,cds1
87,gprc5b
88,me3
89,grk4
90,ncam2
91,acvr1c
92,ryk
93,stac3
94,tspan15
95,tmem30b
96,prkch
97,znf726
98,vnn2
99,nudt19
100,smyd2
101,schip1
102,znf641
103,scn3b
104,spon2
105,tnfrsf10d
106,diras1
107,wdr35
108,p2rx5
109,cd96
110,slc4a2
111,pdcd4
112,zbtb7b
113,tnfrsf1b
114,mzb1
115,serpinb8
116,myh10
117,sntb1
118,tspan10
119,uvrag
120,tcfl5
121,ids
122,sytl3
123,elf4
124,il10ra
125,pabpc1
126,rffl
127,runx2
128,cd44
129,zmynd19
130,tuba8
131,thoc3
132,znf416
133,il17d
134,fam174b
135,trim24
136,kbtbd4
137,fam210a
138,zdhhc3
139,slc8a3
140,rragc
141,znf627
142,tbc1d20
143,vgll4
144,e2f6
145,cep170p1
146,sdccag8
147,znf625
148,ppfibp1
149,fkbp1b
150,cep350
151,shoc2
152,nin
153,hectd1
154,top2b
155,cep170
156,plekhm1
157,prr14
158,gga3
159,itgax
160,nbeal2
161,foxp4
162,tgfb1
163,mgrn1
164,kdm6b
165,phf12
166,fmnl1
167,rab32
168,smarca1
169,wdr17
170,tmtc2
171,tex9
172,scn9a
173,ltbp1
174,vwde
175,ppp1r18
176,hoxb3
177,neil2
178,map9
179,med12l
180,dpy19l2
181,osbpl5
182,croccp3
183,croccp2
184,spon2
185,hook2
186,prss27
187,lss
188,plec
189,rptor
190,crocc
191,cep250
192,ptprcap
193,epb41l2
194,odf2
195,exoc4
196,dnmt1
197,cep152
198,zmynd8
199,cdk5rap2
200,kansl1
201,nbr2
202,lrrc37a2
203,lrrc37a3
204,stx16
205,lrrc37a
206,lrig2
207,psmb1
208,arl17a
209,gigyf2
210,gpr89b
211,pms2
212,iws1
213,ninj1
214,xkr8
215,psmd9
216,znf224
217,kif27
218,ercc5
219,setd1a
220,znf592
221,srcap
222,yy1ap1
223,znf384
224,pom121
225,ppip5k1
226,hspbap1
227,catsperg
228,polg2
229,strc
230,znf439
231,sgk2
232,celf6
233,herc2p9
234,prpf40b
235,catsper2
236,rad54l2
237,pogz
238,znf587
239,srrm2
240,ranbp10
241,smg7
242,pdpr
243,pomzp3
244,znf592
245,plekhm1
246,ube2q1
247,pms2cl
248,cox20
249,s1pr2
250,rbbp8
251,ptpn11
252,psmc3ip
253,ccz1b
254,tnk2
255,snx29p1
256,sdhap1
257,znf98
258,znf850
259,srebf2
260,trappc9
261,pi4kap2
262,trrap
263,snrnp200
264,syngap1
265,rai1
266,pi4ka
267,rgpd3
268,snora22
269,zc3h11a
270,tab2
271,rgpd2
272,ranbp2
273,hspa7
274,kcnc3
275,snx29p1
276,tmem25
277,lrrk2
278,itgax
279,fcgr2c
280,herc2p9
281,ppip5k1
282,trrap
283,ube4b
284,mtor
285,znf69
286,nsd1
287,macf1
288,herc2p3
289,herc2
290,wash3p
291,wash7p
292,wash2p
293,kcnc3
294,rhpn2
295,tnxb
296,loxl2
297,sptbn4
298,vipr1
299,fdft1
300,fam153a
301,tro
302,znf827
303,rab3ip
304,zc3h12b
305,neto1
306,sptlc3
307,nbea
308,lgals8-as1
309,sertad1
310,tubb4b
311,rasl11a
312,ptch2
313,sema3b
314,vps36
315,snai1
316,tubb3
317,gadd45g
318,rab34
319,tusc1
320,itpripl2
321,tfeb
322,zp3
323,st7-as1
324,lrp3
325,tlr2
326,echdc3
327,rnf103-chmp3
328,nbpf14
329,pom121c
330,taf15
331,nbpf9
332,spin2a
333,nbpf10
334,elmo2
335,zcchc12
336,thbs1
337,nfil3
338,map2k1
339,ch25h
340,pdgfc
341,met
342,il1r2
343,pfkfb2
344,zbtb16
345,cth
346,myo1d
347,dcbld1
348,areg
349,slc23a1
350,slc35f2
351,lrrc37a3
352,tnk2
353,wdr90
354,tert
355,trabd
356,sppl2b
357,ect2
358,blm
359,cdca2
360,smc2
361,kif14
362,kif23
363,ccp110
364,kif11
365,arhgap11a
366,ncf1c
367,stag3
368,lrrc37a
369,polr2j2
370,ryr3
371,itpr3
372,prkcg
373,grapl
374,kcnj15
375,ffar2
376,lrrk2
377,mgam
378,fpr2
379,steap4
380,vnn2
381,ptgs2
382,fpr1
383,siglec5
384,fcgr3b
385,nbpf14
386,prh1
387,srgap2
388,scarna17
389,znf625-znf20
390,slc5a3
391,rbm8a
392,rnf115
393,taf15
394,ncoa4
395,snord20
396,snord4a
397,gtf2i
398,znf850
399,znf90
400,znf829
401,znf695
402,znf845
403,znf726
404,znf682
405,znf844
406,znf492
407,parpbp
408,smc4
409,nuf2
410,ttk
411,wee1
412,ndc80
413,kif18a
414,sptan1
415,pcnt
416,vav2
417,plekhg4
418,vangl2
419,plcg1
420,tbk1
421,obscn
422,znf354c
423,fmnl2
424,procr
425,znf667
426,cdkn2c
427,pbx4
428,pard3
429,pcdh9
430,crispld1
431,axl
432,klhl14
433,ptgir
434,klf4
435,arhgap42
436,rps19bp1
437,sptan1
438,qrich2
439,nbpf1
440,ddx12p
441,lig1
442,gbap1
443,rad54l
444,fanca
445,wdr62
446,ift122
447,dnmt1
448,ddx11
449,ldlrad3
450,satb2
451,evc
452,mbtps1
453,rbfox2
454,fjx1
455,limch1
456,kctd17
457,ptprm
458,gata6
459,ror2
460,b3gat1
461,rgmb
462,lnx1
463,dennd1b
464,nuak1
465,bend7
466,dock1
467,gldc
468,ptprg
469,p2rx4
470,mpped2
471,agap1
472,tmem183a
473,mst1p2
474,snora5a
475,wash2p
476,rnf123
477,wash3p
478,ywhab
479,mst1
480,nbpf9
481,ppt2-egfl8
482,snord4a
483,snord20
484,nbpf14
485,mafk
486,ppp1r37
487,stk35
488,ufsp2
489,hic2
490,tbc1d8b
491,sh3pxd2a
492,zbtb10
493,socs2
494,trib1
495,slc39a11
496,nudt4
497,trim34
498,snord35b
499,gtf2ird2b
500,mycbp
501,znf559-znf177
502,gtf2h2c
503,pkd1p1
504,tsc2
505,slc12a4
506,snora71b
507,zdhhc8
508,prr12
509,telo2
510,tubgcp6
511,pkd1
512,snord15b
513,snora5a
514,snord17
515,snora54
516,snora23
517,snord89
518,snora5c
519,snora12
520,mmrn1
521,tfpi
522,loxl3
523,egf
524,vstm1
525,dgkg
526,svopl
527,vsig4
528,rasgrp4
529,tcn2
530,irf5
531,dnase1l3
532,tmem51
533,spp1
534,cd33
535,tmem191c
536,ywhab
537,tpm2
538,polr2j4
539,pi4kap2
540,sdhap1
541,spry2
542,pbld
543,lysmd2
544,myh3
545,tomm5
546,gtf2ird2
547,tcf7l2
548,ganc
549,mef2a
550,cnih4
551,ormdl2
552,prdm15
553,dip2b
554,zdhhc23
555,wdfy4
556,zmiz1
557,batf
558,edaradd
559,cd38
560,homer2
561,rere
562,aff3
563,fcgr2a
564,tyrobp
565,pygl
566,nlrc4
567,stac3
568,piwil4
569,marco
570,myof
571,igsf6
572,flvcr2
573,sdsl
574,siglec9
575,fcgr1a
576,or13a1
577,lilrb2
578,wdfy3
579,arhgap24
580,tbl1x
581,slc27a3
582,ptp4a3
583,nlrp12
584,osbpl10
585,dstn
586,ncf2
587,prex1
588,mme
589,cd96
590,alox5
591,pkd1p1
592,nomo3
593,ncf1
594,padi2
595,nav2
596,pfkfb4
597,tmem63c
598,myo7a
599,dnajc18
600,nid2
601,pld1
602,oxer1
603,pak1
604,rab4a
605,slc44a3
606,fermt1
607,cltcl1
608,nbpf10
609,nbpf14
610,msh5-sapcd1
611,nbpf9
612,ppt2-egfl8
613,fam156a
614,trim47
615,smad6
616,ptprd
617,mfap4
618,tnfrsf8
619,mecom
620,zdhhc15
621,slc6a20
622,mcm6
623,xg
624,slc35f3
625,lct
626,znf850
627,nuf2
628,tmpo
629,tpx2
630,nek2
631,vrk2
632,znf219
633,tmem213
634,sptbn2
635,slc29a4
636,rp9p
637,siglec15
638,stard8
639,prkar2b
640,tnni2
641,pdk4
642,myrip
643,ngfr
644,fkbp9
645,ptpn3
646,vipr2
647,pcbp3
648,sardh
649,pld6
650,fxyd6
651,fxyd2
652,ncf1c
653,ncf1b
654,spi1
655,ncf1
656,nt5dc2
657,krba1
658,gprin1
659,irs1
660,klhl25
661,wasf1
662,sema6c
663,mgat5b
664,fgfr1op2
665,kif1c
666,phf2
667,ppfia4
668,plekhg4b
669,celsr2
670,lrrc37a2
671,lrrc37a3
672,zfyve26
673,lrrc37a
674,cdo1
675,sh3bp4
676,fam124a
677,gatm
678,kcnj12
679,eda
680,plekha6
681,grik3
682,fam171b
683,mpped2
684,fli1
685,wnt16
686,mertk
687,ptgfrn
688,ldlrad3
689,ar
690,smc1b
691,slc25a26
692,znf826p
693,ribc2
694,stag3l3
695,tpm2
696,stag3l1
697,srd5a1
698,stil
699,spag5
700,wdr62
701,sugp2
702,fanca
703,stag3l1
704,pcnt
705,lig1
706,dnmt1
707,ddx12p
708,ptgr1
709,thsd4
710,sorcs2
711,spred1
712,pyhin1
713,ophn1
714,tg
715,terf2
716,tmed6
717,stag3
718,rnf5
719,pfdn6
720,fam72d
721,ssbp2
722,neu3
723,sv2a
724,myb
725,usp49
726,wnt10a
727,mtfp1
728,zdhhc23
729,znf496
730,msi2
731,unc5b
732,lgi4
733,myo7a
734,tmem63c
735,miox
736,lrrc2
737,nfatc4
738,prox1
739,ntsr1
740,hr
741,kif14
742,bub1b
743,cenpe
744,kif18a
745,nuf2
746,cenpf
747,mki67
748,cit
749,aspm
750,fam72d
751,hmmr
752,tubg1
753,kif4a
754,top2a
755,mcm8
756,fam72b
