,0
0,nell2
1,crtam
2,gzmk
3,s100b
4,gzmh
5,themis
6,slc4a10
7,klrc1
8,gzmm
9,s1pr5
10,cd8b
11,zbtb20-as1
12,tigit
13,gzmk
14,sytl2
15,reep5
16,gzmb
17,gzmh
18,samd3
19,gzma
20,tsr1
21,ucp2
22,pvrig
23,vipr1
24,tshz2
25,tpd52
26,sp140
27,tnfrsf13b
28,smap2
29,scml4
30,gzmb
31,serpina1
32,sh2d1b
33,klrc1
34,fgl2
35,scimp
36,fcgr3a
37,slco4c1
38,uts2
39,tbx21
40,prss23
41,tfcp2l1
42,tmem64
43,slc46a1
44,procr
45,znf777
46,zswim1
47,pdgfd
48,tspan13
49,glipr1l2
50,hhex
51,tcea3
52,klhl32
53,tlr5
54,slc16a4
55,bmpr1a
56,vcam1
57,tnfrsf9
58,commd10
59,dzip3
60,uchl3
61,oxnad1
62,e2f2
63,kifap3
64,tmbim4
65,faah2
66,kank2
67,slc39a10
68,arhgap15
69,zdhhc4
70,tmem42
71,ubxn2b
72,tmem128
73,plag1
74,dsc2
75,galnt2
76,clic5
77,rbm11
78,bcas1
79,sord
80,tnk1
81,ntng1
82,wnk3
83,kcna2
84,bmp8b
85,capn8
86,cds1
87,gprc5b
88,me3
89,grk4
90,ncam2
91,acvr1c
92,ryk
93,stac3
94,tspan15
95,tmem30b
96,prkch
97,znf726
98,vnn2
