"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.800970873786408
"2","kap","multiclass",0.676671005282903
"3","sens","macro",0.792872650723261
"4","spec","macro",0.917091459768154
"5","ppv","macro",0.762674825174825
"6","npv","macro",0.919759479096362
"7","mcc","multiclass",0.677209367183942
"8","j_index","macro",0.709964110491415
"9","bal_accuracy","macro",0.854982055245707
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.762674825174825
"12","recall","macro",0.792872650723261
"13","f_meas","macro",0.774281832298137
