"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1","TRUE","0.00429145260574987","165","9","3","0.333333333333333","0.0181818181818182","GO:0035265","GO:BP","organ growth","21031","9234","c(""GO:0032501"", ""GO:0048589"")"
"2","query_1","TRUE","0.00429145260574987","934","6","4","0.666666666666667","0.00428265524625268","GO:0030334","GO:BP","regulation of cell migration","21031","7017","c(""GO:0016477"", ""GO:2000145"")"
"3","query_1","TRUE","0.00429145260574987","65","3","2","0.666666666666667","0.0307692307692308","GO:0014910","GO:BP","regulation of smooth muscle cell migration","21031","4841","c(""GO:0014909"", ""GO:0030334"")"
"4","query_1","TRUE","0.00429145260574987","72","3","2","0.666666666666667","0.0277777777777778","GO:0014909","GO:BP","smooth muscle cell migration","21031","4840","GO:0014812"
"5","query_1","TRUE","0.00429145260574987","86","3","2","0.666666666666667","0.0232558139534884","GO:0014812","GO:BP","muscle cell migration","21031","4750","GO:0016477"
"6","query_1","TRUE","0.00429145260574987","85","3","2","0.666666666666667","0.0235294117647059","GO:0048661","GO:BP","positive regulation of smooth muscle cell proliferation","21031","13344","c(""GO:0008284"", ""GO:0048659"", ""GO:0048660"")"
"7","query_1","TRUE","0.00429145260574987","69","3","2","0.666666666666667","0.0289855072463768","GO:0045669","GO:BP","positive regulation of osteoblast differentiation","21031","11916","c(""GO:0001649"", ""GO:0045597"", ""GO:0045667"")"
"8","query_1","TRUE","0.00429145260574987","19","6","2","0.333333333333333","0.105263157894737","GO:0002693","GO:BP","positive regulation of cellular extravasation","21031","1218","c(""GO:0002687"", ""GO:0002691"", ""GO:0045123"")"
"9","query_1","TRUE","0.00429145260574987","80","3","2","0.666666666666667","0.025","GO:0030500","GO:BP","regulation of bone mineralization","21031","7058","c(""GO:0030278"", ""GO:0030282"", ""GO:0070167"")"
"10","query_1","TRUE","0.00429145260574987","61","3","2","0.666666666666667","0.0327868852459016","GO:1904705","GO:BP","regulation of vascular associated smooth muscle cell proliferation","21031","24671","c(""GO:0048660"", ""GO:1990874"")"
"11","query_1","TRUE","0.00429145260574987","41","6","2","0.333333333333333","0.0487804878048781","GO:0002691","GO:BP","regulation of cellular extravasation","21031","1216","c(""GO:0002685"", ""GO:0045123"")"
"12","query_1","TRUE","0.00429145260574987","38","3","2","0.666666666666667","0.0526315789473684","GO:1904707","GO:BP","positive regulation of vascular associated smooth muscle cell proliferation","21031","24673","c(""GO:0048661"", ""GO:1904705"", ""GO:1990874"")"
