"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Leptin And Adiponectin WP3934","1/10",0.00598509351248777,0.0599152427840885,0,0,201.808080808081,1032.95129457314,"LEPR"
"2","Bone Morphogenic Protein Signaling And Regulation WP1425","1/12",0.00717817071488185,0.0599152427840885,0,0,165.099173553719,815.046857216495,"BMPR1A"
"3","6Q16 Copy Number Variation WP5400","1/14",0.00836993582094223,0.0599152427840885,0,0,139.685314685315,668.130094535827,"LEPR"
"4","Canonical And Non Canonical TGF B Signaling WP3874","1/17",0.0101551258956082,0.0599152427840885,0,0,113.477272727273,520.835340825484,"BMPR1A"
"5","Platelet Mediated Interactions With Vascular And Circulating Cells WP4462","1/17",0.0101551258956082,0.0599152427840885,0,0,113.477272727273,520.835340825484,"ICAM1"
"6","Cells And Molecules Involved In Local Acute Inflammatory Response WP4493","1/17",0.0101551258956082,0.0599152427840885,0,0,113.477272727273,520.835340825484,"ICAM1"
"7","Leptin Insulin Signaling Overlap WP3935","1/17",0.0101551258956082,0.0599152427840885,0,0,113.477272727273,520.835340825484,"LEPR"
"8","Endochondral Ossification WP474","2/63",0.000631530857207931,0.0124201068584226,0,0,65.3344262295082,481.34248369256,"DDR2;BMPR1A"
"9","Endochondral Ossification With Skeletal Dysplasias WP4808","2/63",0.000631530857207931,0.0124201068584226,0,0,65.3344262295082,481.34248369256,"DDR2;BMPR1A"
"10","IL1 And Megakaryocytes In Obesity WP2865","1/24",0.014309122256811,0.0698147814151281,0,0,78.9130434782609,335.132491976304,"ICAM1"
"11","Interactions Of Natural Killer Cells In Pancreatic Cancer WP5092","1/28",0.0166756552976705,0.0698147814151281,0,0,67.2087542087542,275.139560217608,"MICA"
"12","IL 24 Signaling Pathway WP5413","3/232",0.000313739586452822,0.0124201068584226,0,0,28.7612809315866,232.015736366547,"MICA;CD44;ICAM1"
"13","CAMKK2 Pathway WP4874","1/33",0.0196264984148836,0.0698147814151281,0,0,56.6931818181818,222.853792137084,"ICAM1"
"14","Photodynamic Therapy Induced NF kB Survival Signaling WP3617","1/35",0.0208045614562384,0.0698147814151281,0,0,53.3529411764706,206.613693828948,"ICAM1"
"15","miRNA Role In Immune Response In Sepsis WP4329","1/37",0.0219813268798695,0.0698147814151281,0,0,50.3838383838384,192.343425025939,"ICAM1"
"16","Type II Interferon Signaling WP619","1/37",0.0219813268798695,0.0698147814151281,0,0,50.3838383838384,192.343425025939,"ICAM1"
