"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1","TRUE","6.29109498562548e-23","1512","367","91","0.247956403269755","0.0601851851851852","GO:0007155","GO:BP","cell adhesion","21031","2750","GO:0009987"
"2","query_1","TRUE","6.63992919325383e-23","2684","314","113","0.359872611464968","0.0421013412816692","GO:0009653","GO:BP","anatomical structure morphogenesis","21031","3608","c(""GO:0032502"", ""GO:0048856"")"
"3","query_1","TRUE","9.22316761608134e-21","1130","314","69","0.219745222929936","0.0610619469026549","GO:0072359","GO:BP","circulatory system development","21031","17886","GO:0048731"
"4","query_1","TRUE","9.96866351786342e-20","3973","314","135","0.429936305732484","0.0339793606846212","GO:0048731","GO:BP","system development","21031","13413","c(""GO:0007275"", ""GO:0048856"")"
"5","query_1","TRUE","1.06558103329437e-19","5899","695","315","0.453237410071942","0.0533988811662994","GO:0048856","GO:BP","anatomical structure development","21031","13525","GO:0032502"
"6","query_1","TRUE","3.6086391399523e-19","6453","695","334","0.480575539568345","0.0517588718425539","GO:0032502","GO:BP","developmental process","21031","7884","GO:0008150"
"7","query_1","TRUE","1.07508221913363e-17","4643","314","144","0.45859872611465","0.0310144303252208","GO:0007275","GO:BP","multicellular organism development","21031","2835","c(""GO:0032501"", ""GO:0048856"")"
"8","query_1","TRUE","1.01674212424921e-16","1496","703","121","0.172119487908962","0.0808823529411765","GO:0016477","GO:BP","cell migration","21031","5292","GO:0048870"
"9","query_1","TRUE","2.62335363816179e-15","324","417","38","0.0911270983213429","0.117283950617284","GO:0030198","GO:BP","extracellular matrix organization","21031","6944","c(""GO:0043062"", ""GO:0045229"")"
"10","query_1","TRUE","2.91794529023938e-15","325","417","38","0.0911270983213429","0.116923076923077","GO:0043062","GO:BP","extracellular structure organization","21031","10859","GO:0016043"
"11","query_1","TRUE","3.24429887440068e-15","326","417","38","0.0911270983213429","0.116564417177914","GO:0045229","GO:BP","external encapsulating structure organization","21031","11733","GO:0016043"
"12","query_1","TRUE","3.75392952070152e-15","7669","315","191","0.606349206349206","0.0249054635545703","GO:0032501","GO:BP","multicellular organismal process","21031","7883","GO:0008150"
"13","query_1","TRUE","6.46961105173778e-15","752","314","49","0.156050955414013","0.0651595744680851","GO:0001944","GO:BP","vasculature development","21031","560","c(""GO:0048731"", ""GO:0072359"")"
"14","query_1","TRUE","1.82702401858931e-14","4366","695","240","0.345323741007194","0.0549702244617499","GO:0030154","GO:BP","cell differentiation","21031","6924","GO:0048869"
"15","query_1","TRUE","1.88100581596584e-14","4367","695","240","0.345323741007194","0.0549576368216167","GO:0048869","GO:BP","cellular developmental process","21031","13537","c(""GO:0009987"", ""GO:0032502"")"
"16","query_1","TRUE","2.62727230378335e-14","1183","314","61","0.194267515923567","0.05156382079459","GO:0048646","GO:BP","anatomical structure formation involved in morphogenesis","21031","13329","c(""GO:0009653"", ""GO:0032502"")"
"17","query_1","TRUE","5.10630136924469e-14","2010","683","137","0.200585651537335","0.0681592039800995","GO:0009888","GO:BP","tissue development","21031","3786","GO:0048856"
"18","query_1","TRUE","7.81107673239557e-14","1709","703","125","0.177809388335704","0.0731421884142774","GO:0048870","GO:BP","cell motility","21031","13538","GO:0009987"
"19","query_1","TRUE","1.1195452523061e-13","2455","671","154","0.229508196721311","0.0627291242362525","GO:0050793","GO:BP","regulation of developmental process","21031","13690","c(""GO:0032502"", ""GO:0050789"")"
"20","query_1","TRUE","1.69993032368051e-13","2955","694","179","0.257925072046109","0.060575296108291","GO:0051239","GO:BP","regulation of multicellular organismal process","21031","14037","c(""GO:0032501"", ""GO:0050789"")"
"21","query_1","TRUE","2.08388181211123e-13","8976","470","289","0.614893617021277","0.0321969696969697","GO:0050896","GO:BP","response to stimulus","21031","13774","GO:0008150"
"22","query_1","TRUE","4.73748343846313e-13","842","312","49","0.157051282051282","0.0581947743467933","GO:0097435","GO:BP","supramolecular fiber organization","21031","19199","GO:0016043"
"23","query_1","TRUE","6.64536070023877e-13","3039","700","182","0.26","0.0598881210924646","GO:0048513","GO:BP","animal organ development","21031","13223","GO:0048856"
"24","query_1","TRUE","9.04163107492004e-13","721","314","45","0.143312101910828","0.0624133148404993","GO:0001568","GO:BP","blood vessel development","21031","358","c(""GO:0001944"", ""GO:0048856"")"
"25","query_1","TRUE","9.52154780726532e-13","351","386","35","0.0906735751295337","0.0997150997150997","GO:0031589","GO:BP","cell-substrate adhesion","21031","7495","GO:0007155"
"26","query_1","TRUE","3.89742409408066e-12","625","314","41","0.130573248407643","0.0656","GO:0048514","GO:BP","blood vessel morphogenesis","21031","13224","c(""GO:0001568"", ""GO:0035239"")"
"27","query_1","TRUE","9.50009689128289e-12","678","644","63","0.0978260869565217","0.0929203539823009","GO:0061061","GO:BP","muscle structure development","21031","15656","GO:0048856"
"28","query_1","TRUE","1.0971721812681e-11","872","314","48","0.152866242038217","0.055045871559633","GO:0035239","GO:BP","tube morphogenesis","21031","9225","c(""GO:0009653"", ""GO:0035295"")"
"29","query_1","TRUE","1.34189056674118e-11","2799","712","170","0.23876404494382","0.060735977134691","GO:0007166","GO:BP","cell surface receptor signaling pathway","21031","2761","GO:0007165"
"30","query_1","TRUE","1.46512435618929e-11","1091","314","54","0.171974522292994","0.0494958753437214","GO:0035295","GO:BP","tube development","21031","9257","c(""GO:0007275"", ""GO:0048856"")"
"31","query_1","TRUE","4.29894716981013e-11","934","472","62","0.13135593220339","0.0663811563169165","GO:0030334","GO:BP","regulation of cell migration","21031","7017","c(""GO:0016477"", ""GO:2000145"")"
"32","query_1","TRUE","7.0666936448681e-11","805","689","71","0.103047895500726","0.0881987577639751","GO:0030029","GO:BP","actin filament-based process","21031","6890","GO:0009987"
"33","query_1","TRUE","1.82056428275815e-10","7394","472","244","0.516949152542373","0.0329997295104138","GO:0051716","GO:BP","cellular response to stimulus","21031","14364","c(""GO:0009987"", ""GO:0050896"")"
"34","query_1","TRUE","2.21585772353241e-10","6250","695","297","0.427338129496403","0.04752","GO:0048518","GO:BP","positive regulation of biological process","21031","13226","c(""GO:0008150"", ""GO:0050789"")"
"35","query_1","TRUE","2.96784577951787e-10","65","683","19","0.0278184480234261","0.292307692307692","GO:0030199","GO:BP","collagen fibril organization","21031","6945","c(""GO:0030198"", ""GO:0097435"")"
"36","query_1","TRUE","3.17344367681247e-10","778","702","69","0.0982905982905983","0.0886889460154242","GO:0030155","GO:BP","regulation of cell adhesion","21031","6925","c(""GO:0007155"", ""GO:0050794"")"
"37","query_1","TRUE","7.32971313079835e-10","996","677","78","0.115214180206795","0.0783132530120482","GO:2000145","GO:BP","regulation of cell motility","21031","26166","c(""GO:0040012"", ""GO:0048870"", ""GO:0050794"")"
"38","query_1","TRUE","7.3494095099958e-10","2683","697","157","0.225251076040172","0.0585165859112933","GO:0070887","GO:BP","cellular response to chemical stimulus","21031","16854","c(""GO:0042221"", ""GO:0051716"")"
"39","query_1","TRUE","1.05712862505335e-09","967","702","78","0.111111111111111","0.0806618407445708","GO:0007167","GO:BP","enzyme-linked receptor protein signaling pathway","21031","2762","GO:0007166"
"40","query_1","TRUE","1.15334126462861e-09","1411","671","97","0.144560357675112","0.0687455705173636","GO:2000026","GO:BP","regulation of multicellular organismal development","21031","26054","c(""GO:0007275"", ""GO:0050793"", ""GO:0051239"")"
"41","query_1","TRUE","1.35312978340398e-09","5717","389","171","0.439588688946015","0.0299107923736225","GO:0048522","GO:BP","positive regulation of cellular process","21031","13230","c(""GO:0009987"", ""GO:0048518"", ""GO:0050794"")"
"42","query_1","TRUE","2.18387341868111e-09","2637","658","147","0.223404255319149","0.055745164960182","GO:0010033","GO:BP","response to organic substance","21031","3883","GO:0042221"
"43","query_1","TRUE","3.44126745512271e-09","538","314","34","0.10828025477707","0.0631970260223048","GO:0001525","GO:BP","angiogenesis","21031","335","c(""GO:0048514"", ""GO:0048646"")"
"44","query_1","TRUE","4.53669264628682e-09","1038","472","62","0.13135593220339","0.0597302504816956","GO:0040012","GO:BP","regulation of locomotion","21031","10241","c(""GO:0040011"", ""GO:0050789"")"
"45","query_1","TRUE","5.80603206978884e-09","395","644","42","0.0652173913043478","0.106329113924051","GO:0042692","GO:BP","muscle cell differentiation","21031","10651","c(""GO:0030154"", ""GO:0061061"")"
"46","query_1","TRUE","6.2543921258552e-09","3939","613","185","0.301794453507341","0.046966235085047","GO:0048583","GO:BP","regulation of response to stimulus","21031","13279","c(""GO:0050789"", ""GO:0050896"")"
"47","query_1","TRUE","6.60284417061131e-09","717","686","62","0.0903790087463557","0.0864714086471409","GO:0030036","GO:BP","actin cytoskeleton organization","21031","6897","c(""GO:0007010"", ""GO:0030029"")"
"48","query_1","TRUE","8.5156731490111e-09","3010","611","151","0.247135842880524","0.0501661129568106","GO:0009966","GO:BP","regulation of signal transduction","21031","3842","c(""GO:0007165"", ""GO:0010646"", ""GO:0023051"", ""GO:0048583"")"
"49","query_1","TRUE","9.14824457680476e-09","235","366","24","0.0655737704918033","0.102127659574468","GO:0007160","GO:BP","cell-matrix adhesion","21031","2755","GO:0031589"
"50","query_1","TRUE","1.11452371765894e-08","3437","611","166","0.271685761047463","0.0482979342449811","GO:0023051","GO:BP","regulation of signaling","21031","6876","c(""GO:0023052"", ""GO:0050789"")"
"51","query_1","TRUE","1.15622075501431e-08","1234","357","57","0.159663865546218","0.0461912479740681","GO:0040011","GO:BP","locomotion","21031","10240","GO:0008150"
"52","query_1","TRUE","1.20599926919078e-08","2668","352","92","0.261363636363636","0.0344827586206897","GO:0035556","GO:BP","intracellular signal transduction","21031","9405","GO:0007165"
"53","query_1","TRUE","1.28864669392486e-08","3443","611","166","0.271685761047463","0.0482137670636073","GO:0010646","GO:BP","regulation of cell communication","21031","4342","c(""GO:0007154"", ""GO:0050794"")"
"54","query_1","TRUE","1.29310832845444e-08","1116","677","81","0.119645494830133","0.0725806451612903","GO:0051130","GO:BP","positive regulation of cellular component organization","21031","13955","c(""GO:0016043"", ""GO:0048522"", ""GO:0051128"")"
"55","query_1","TRUE","2.05991601786018e-08","6447","472","214","0.453389830508475","0.0331937335194664","GO:0023052","GO:BP","signaling","21031","6877","GO:0050789"
"56","query_1","TRUE","2.18487360506828e-08","1576","670","101","0.150746268656716","0.0640862944162437","GO:0045595","GO:BP","regulation of cell differentiation","21031","11842","c(""GO:0030154"", ""GO:0050793"", ""GO:0050794"")"
"57","query_1","TRUE","2.7619495361398e-08","1861","352","72","0.204545454545455","0.0386888769478775","GO:0141124","GO:BP","intracellular signaling cassette","21031","20599","GO:0035556"
"58","query_1","TRUE","2.77712713783529e-08","1971","671","118","0.175856929955291","0.0598680872653475","GO:0071310","GO:BP","cellular response to organic substance","21031","17066","c(""GO:0010033"", ""GO:0070887"")"
"59","query_1","TRUE","2.87481223965164e-08","1637","703","107","0.152204836415363","0.0653634697617593","GO:0051240","GO:BP","positive regulation of multicellular organismal process","21031","14038","c(""GO:0032501"", ""GO:0048518"", ""GO:0051239"")"
"60","query_1","TRUE","3.22548084932671e-08","599","306","34","0.111111111111111","0.0567612687813022","GO:0007507","GO:BP","heart development","21031","3027","c(""GO:0048513"", ""GO:0072359"")"
