"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Extracellular Matrix Assembly (GO:0085029)","9/17",1.90379908150882e-09,1.3926290281237e-06,0,0,30.3167832167832,608.743254411326,"EFEMP2;TGFB1;TNXB;HAS1;HAS3;MYH11;QSOX1;GAS6;FBLN5"
"2","Elastic Fiber Assembly (GO:0048251)","4/6",2.41020879496231e-05,0.00352613546702986,0,0,53.5388888888889,569.290360313682,"EFEMP2;TNXB;MYH11;FBLN5"
"3","Regulation Of Circadian Sleep/Wake Cycle (GO:0042749)","3/5",0.000447287758433806,0.0204494372058956,0,0,40.0984743411928,309.251801113761,"PER3;NR1D1;PTGDS"
"4","Heparan Sulfate Proteoglycan Catabolic Process (GO:0030200)","3/5",0.000447287758433806,0.0204494372058956,0,0,40.0984743411928,309.251801113761,"NAGLU;GPC1;SGSH"
"5","Regulation Of Blood Vessel Remodeling (GO:0060312)","3/5",0.000447287758433806,0.0204494372058956,0,0,40.0984743411928,309.251801113761,"CST3;TGFB1;TMBIM1"
"6","Collagen Fibril Organization (GO:0030199)","13/42",1.59360601950379e-09,1.3926290281237e-06,0,0,12.1349725980891,245.82137330486,"COL11A1;COL12A1;LOXL4;PLOD3;LOXL1;LOXL2;COL1A1;COL1A2;LOX;COL5A3;COL5A2;SERPINH1;CYP1B1"
"7","Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912)","6/14",5.16057972915917e-06,0.00137271420795634,0,0,20.1267409470752,245.032235481034,"IGFBP5;LRP1;IGFBP3;TPM1;SLIT2;PRKG1"
"8","Endodermal Cell Differentiation (GO:0035987)","10/31",8.08160151104285e-08,3.94112767021856e-05,0,0,12.8418033880219,209.720655679062,"ITGB5;COL4A2;COL11A1;COL12A1;COL6A1;FN1;COL8A1;ITGA7;ITGAV;LAMB1"
"9","Negative Regulation Of Plasminogen Activation (GO:0010757)","3/6",0.000870476700355527,0.0299648802969444,0,0,26.7309292649098,188.358679507541,"SERPINE2;PLAU;THBS1"
"10","Proteoglycan Catabolic Process (GO:0030167)","3/6",0.000870476700355527,0.0299648802969444,0,0,26.7309292649098,188.358679507541,"NAGLU;GPC1;SGSH"
"11","Embryonic Eye Morphogenesis (GO:0048048)","4/9",0.000185523788333074,0.0122129786215818,0,0,21.4122222222222,183.980824661573,"MFAP5;RARG;EFEMP1;FBN1"
"12","Quinone Metabolic Process (GO:1901661)","4/9",0.000185523788333074,0.0122129786215818,0,0,21.4122222222222,183.980824661573,"VKORC1;NQO1;NQO2;AIFM2"
"13","Protein Oxidation (GO:0018158)","4/10",0.000300354414355973,0.0162747595630662,0,0,17.8425925925926,144.713192950461,"LOX;LOXL4;LOXL1;LOXL2"
"14","Contractile Actin Filament Bundle Assembly (GO:0030038)","5/14",9.34737436109497e-05,0.00882271528405287,0,0,14.8871889970638,138.120808366619,"ITGB1;FAM171A1;ITGB5;ZYX;TNFAIP1"
"15","Stress Fiber Assembly (GO:0043149)","5/14",9.34737436109497e-05,0.00882271528405287,0,0,14.8871889970638,138.120808366619,"ITGB1;FAM171A1;ITGB5;ZYX;TNFAIP1"
"16","Positive Regulation Of Fibroblast Migration (GO:0010763)","3/7",0.00148237126633153,0.0421108575270491,0,0,20.0471567267684,130.589429540077,"ITGB1;TGFB1;THBS1"
"17","Regulation Of Smooth Muscle Cell Migration (GO:0014910)","6/19",3.99193720451344e-05,0.0050784383740897,0,0,12.3824726805228,125.417717514477,"IGFBP5;LRP1;PLAU;IGFBP3;SLIT2;S100A11"
"18","Nitric Oxide Biosynthetic Process (GO:0006809)","5/15",0.000136042140007735,0.0111424395885134,0,0,13.3977746870654,119.274303670341,"NQO1;ARG2;CYB5R3;GCH1;CYP1B1"
"19","Endoderm Formation (GO:0001706)","9/35",3.07804365072405e-06,0.0010007061913354,0,0,9.31952662721893,118.276128622923,"ITGB5;COL4A2;COL12A1;COL6A1;FN1;COL8A1;ITGA7;ITGAV;LAMB1"
"20","Extracellular Matrix Organization (GO:0030198)","27/176",2.20544786531195e-10,3.22657022695138e-07,0,0,4.9726921706643,110.567414231117,"COL11A1;COL12A1;LOXL4;PLOD3;LOXL1;LOXL2;ADAMTS5;MMP24;FLRT2;CTSK;HAS1;SERPINH1;HAS3;CYP1B1;QSOX1;TGFB1;COL1A1;CCDC80;COL1A2;COL4A2;LOX;COL4A1;COL5A3;COL5A2;COL8A1;TGFBI;GAS6"
"21","Regulation Of Plasminogen Activation (GO:0010755)","5/16",0.000192001714488299,0.0122129786215818,0,0,12.1791629788848,104.2293529704,"SERPINE2;PLAU;CTSZ;THBS1;S100A10"
"22","Reverse Cholesterol Transport (GO:0043691)","5/16",0.000192001714488299,0.0122129786215818,0,0,12.1791629788848,104.2293529704,"APOM;ABCA5;LCAT;CLU;CES1"
"23","Nitric Oxide Metabolic Process (GO:0046209)","5/16",0.000192001714488299,0.0122129786215818,0,0,12.1791629788848,104.2293529704,"NQO1;ARG2;CYB5R3;GCH1;CYP1B1"
"24","UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)","3/8",0.00230813250090908,0.0549072820947966,0,0,16.0368932038835,97.3650546795587,"GFPT2;PGM3;UAP1"
"25","Regulation Of Vesicle Fusion (GO:0031338)","3/8",0.00230813250090908,0.0549072820947966,0,0,16.0368932038835,97.3650546795587,"ANXA1;ANXA2;STXBP1"
"26","Skin Morphogenesis (GO:0043589)","3/8",0.00230813250090908,0.0549072820947966,0,0,16.0368932038835,97.3650546795587,"COL1A1;ERRFI1;COL1A2"
"27","Negative Regulation Of Platelet Aggregation (GO:0090331)","3/8",0.00230813250090908,0.0549072820947966,0,0,16.0368932038835,97.3650546795587,"C1QTNF1;SERPINE2;PRKG1"
"28","Endothelial Cell Migration (GO:0043542)","9/40",1.01363021736825e-05,0.00200839374676851,0,0,7.8143469433792,89.8602020255556,"DPP4;STAT1;TNFSF12;GIPC1;PXN;ID1;CYP1B1;TNFRSF25;LOXL2"
"29","Heterotypic Cell-Cell Adhesion (GO:0034113)","7/29",6.15280661552866e-05,0.00642968291322745,0,0,8.54431342715861,82.8458093282194,"ITGB1;DSP;VCAM1;NINJ1;ITGA7;ITGAV;PARVA"
"30","Regulation Of Circadian Sleep/Wake Cycle, Sleep (GO:0045187)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"PER3;PTGDS"
"31","Regulation Of Glomerular Filtration (GO:0003093)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"F2R;GAS6"
"32","Aromatic Compound Biosynthetic Process (GO:0019438)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"GCH1;PSAT1"
"33","Regulation Of Plasma Membrane Repair (GO:1905684)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"ANXA2;S100A10"
"34","Regulation Of Superoxide Metabolic Process (GO:0090322)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"GCH1;FBLN5"
"35","fatty-acyl-CoA Catabolic Process (GO:0036115)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"NUDT19;FITM2"
"36","Ventricular Compact Myocardium Morphogenesis (GO:0003223)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"DSP;TGFBR3"
"37","Interleukin-27-Mediated Signaling Pathway (GO:0070106)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"STAT1;OASL"
"38","Negative Regulation Of Actin Filament Depolymerization (GO:0030835)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"LIMA1;PLEKHH2"
"39","Negative Regulation Of Cellular Extravasation (GO:0002692)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"CXCL12;ENC1"
"40","Negative Regulation Of Monocyte Chemotaxis (GO:0090027)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"SLIT2;NBL1"
"41","Positive Regulation Of T-helper 1 Cell Cytokine Production (GO:2000556)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"IL1R1;IL18R1"
"42","Positive Regulation Of Gap Junction Assembly (GO:1903598)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"CAV1;IRX3"
"43","Positive Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035360)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"PTGIS;GPS2"
"44","Positive Regulation Of Vesicle Fusion (GO:0031340)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"ANXA1;ANXA2"
"45","Protein Import (GO:0017038)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"PRF1;CLU"
"46","Regulation Of T-helper 1 Cell Cytokine Production (GO:2000554)","2/5",0.0121671663658283,0.135365508693588,0,0,17.7959372114497,78.4625405214345,"IL1R1;IL18R1"
"47","Regulation Of Cell Migration (GO:0030334)","46/434",7.34867006855743e-11,2.1502208620599e-07,0,0,3.30280083933948,77.0672795598976,"SEMA5A;ITGB1;IFITM1;CD151;TNXB;SERPINE2;CSF1;TRADD;TNC;CIB1;THBS1;CXCL16;FGF5;PLAU;DPYSL3;PLXNA2;CYP1B1;FLNA;PLXNA1;FYN;SLIT2;EPHB2;PLXNA4;SASH1;ACVR1;ACE;JAG1;ANXA1;TGFB1;IGFBP5;APLP2;CAV1;F2R;TPM1;SEMA4C;SEMA4F;LAMB1;RHOC;COL1A1;CXCL12;MYO1C;DAAM2;CDH11;CASS4;EPHA1;VCL"
"48","Regulation Of Cellular Response To Oxidative Stress (GO:1900407)","3/9",0.00336944197609508,0.0692418765115194,0,0,13.3633841886269,76.0778548843838,"GCH1;AIFM2;FBLN5"
"49","Amino Sugar Biosynthetic Process (GO:0046349)","3/9",0.00336944197609508,0.0692418765115194,0,0,13.3633841886269,76.0778548843838,"GFPT2;PGM3;UAP1"
"50","Negative Regulation Of Bone Resorption (GO:0045779)","3/9",0.00336944197609508,0.0692418765115194,0,0,13.3633841886269,76.0778548843838,"TMEM119;GPR137;GPR137B"
