"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Insulin-Like Growth Factor II Binding (GO:0031995)","3/6",0.000870476700355527,0.0465705034690207,0,0,26.7309292649098,188.358679507541,"IGFBP5;IGFBP4;IGFBP3"
"2","Filamin Binding (GO:0031005)","4/10",0.000300354414355973,0.0321379223360891,0,0,17.8425925925926,144.713192950461,"DPYSL4;FBLIM1;SYNPO2;DPYSL3"
"3","Insulin-Like Growth Factor I Binding (GO:0031994)","4/12",0.000668095148557556,0.0397145449420325,0,0,13.3805555555556,97.826311530536,"IGFBP5;IGFBP4;IGFBP3;ITGAV"
"4","Type II Transforming Growth Factor Beta Receptor Binding (GO:0005114)","3/8",0.00230813250090908,0.0726382875286094,0,0,16.0368932038835,97.3650546795587,"TGFBR3;TGFB1;BAMBI"
"5","Sterol Esterase Activity (GO:0004771)","2/5",0.0121671663658283,0.185983828734805,0,0,17.7959372114497,78.4625405214345,"LCAT;CES1"
"6","Cytochrome-B5 Reductase Activity, Acting On NAD(P)H (GO:0004128)","2/5",0.0121671663658283,0.185983828734805,0,0,17.7959372114497,78.4625405214345,"NQO1;CYB5R3"
"7","Dihydropyrimidinase Activity (GO:0004157)","2/5",0.0121671663658283,0.185983828734805,0,0,17.7959372114497,78.4625405214345,"DPYSL4;DPYSL3"
"8","High-Density Lipoprotein Particle Binding (GO:0008035)","2/5",0.0121671663658283,0.185983828734805,0,0,17.7959372114497,78.4625405214345,"PLTP;APOL2"
"9","Intramolecular Transferase Activity, Phosphotransferases (GO:0016868)","3/9",0.00336944197609508,0.081938702600494,0,0,13.3633841886269,76.0778548843838,"PMM1;PGAM1;PGM3"
"10","Phospholipase Inhibitor Activity (GO:0004859)","3/9",0.00336944197609508,0.081938702600494,0,0,13.3633841886269,76.0778548843838,"ANXA1;ANXA2;ANXA5"
"11","Muscle Alpha-Actinin Binding (GO:0051371)","4/14",0.00127511510403521,0.0568488817215698,0,0,10.7033333333333,71.3347071758814,"PDLIM2;PALLD;SYNPO2;PDLIM5"
"12","Actin Binding (GO:0003779)","24/183",5.11615266628434e-08,2.73714167646212e-05,0,0,4.1222641509434,69.2057166368209,"ITGB1;SPTBN5;PLEKHH2;SYNPO2;TPM1;FHL3;PARVA;EPS8;CNN2;LIMA1;PDLIM2;MAP1B;GIPC1;MYO6;KCNMA1;COTL1;PHACTR2;EPS8L2;SYNPO;PFN1;PDLIM5;GBP1;VCL;PFN2"
"13","Fibroblast Growth Factor Binding (GO:0017134)","5/20",0.000604231891747853,0.0397145449420325,0,0,8.92953175707,66.1816934802305,"GPC1;ITGAV;THBS1;FGFRL1;FGFR2"
"14","Insulin-Like Growth Factor Binding (GO:0005520)","4/15",0.00168932546052302,0.0645563658128438,0,0,9.72979797979798,62.1094450633921,"IGFBP5;IGFBP4;IGFBP3;ITGAV"
"15","Oxidoreductase Activity, Acting On NAD(P)H, Quinone Or Similar Compound As Acceptor (GO:0016655)","4/15",0.00168932546052302,0.0645563658128438,0,0,9.72979797979798,62.1094450633921,"NQO1;NQO2;AIFM2;AKR1C1"
"16","Platelet-Derived Growth Factor Binding (GO:0048407)","3/10",0.00468477083891637,0.104431349950844,0,0,11.4537348920151,61.4314001490276,"COL1A2;COL4A1;COL6A1"
"17","Semaphorin Receptor Activity (GO:0017154)","3/10",0.00468477083891637,0.104431349950844,0,0,11.4537348920151,61.4314001490276,"PLXNA2;PLXNA1;PLXNA4"
"18","1-Phosphatidylinositol-4-Phosphate 5-Kinase Activity (GO:0016308)","2/6",0.0178155298790205,0.226935916316094,0,0,13.3462603878116,53.7545292593099,"PIP4K2A;PIP4K2C"
"19","Aminophospholipid Flippase Activity (GO:0015247)","2/6",0.0178155298790205,0.226935916316094,0,0,13.3462603878116,53.7545292593099,"TMEM30B;ATP8B1"
"20","Cell-Matrix Adhesion Mediator Activity (GO:0098634)","2/6",0.0178155298790205,0.226935916316094,0,0,13.3462603878116,53.7545292593099,"ITGB1;ITGA10"
"21","Nitric-Oxide Synthase Binding (GO:0050998)","2/6",0.0178155298790205,0.226935916316094,0,0,13.3462603878116,53.7545292593099,"CAV1;SNTA1"
"22","Oxysterol Binding (GO:0008142)","2/6",0.0178155298790205,0.226935916316094,0,0,13.3462603878116,53.7545292593099,"INSIG2;RORA"
"23","Primary Amine Oxidase Activity (GO:0008131)","2/6",0.0178155298790205,0.226935916316094,0,0,13.3462603878116,53.7545292593099,"IL4I1;VCAM1"
"24","Cadherin Binding Involved In Cell-Cell Adhesion (GO:0098641)","4/17",0.00278059359816527,0.0782956618430748,0,0,8.23205128205128,48.4463696730496,"KRT18;ANXA2;PDLIM5;S100A11"
"25","Calcium-Release Channel Activity (GO:0015278)","4/17",0.00278059359816527,0.0782956618430748,0,0,8.23205128205128,48.4463696730496,"RASA3;CLU;MCOLN2;TPCN1"
"26","Phosphatidylinositol-3-Phosphate Binding (GO:0032266)","7/40",0.000520106229020044,0.0397145449420325,0,0,5.69295465111365,43.0471483929024,"ZFYVE28;JPH2;PLEKHF1;SNX21;WIPI1;PLEKHA4;BBS5"
"27","Oxidoreductase Activity, Acting On The CH-NH2 Group Of Donors, Oxygen As Acceptor (GO:0016641)","2/7",0.0243488114053928,0.28318726308446,0,0,10.6764542936288,39.665934296811,"VCAM1;RNLS"
