"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","miRNA Targets In ECM And Membrane Receptors WP2911","12/22",2.14562293236729e-12,5.56789150949312e-10,0,0,32.4707865168539,872.411817893835,"TNXB;COL1A2;ITGB5;COL4A2;COL4A1;COL5A3;COL6A2;COL6A1;COL5A2;FN1;COL6A3;THBS1"
"2","Focal Adhesion WP306","35/199",6.84036315770854e-15,3.55014847885073e-12,0,0,5.91985557010868,193.081627866974,"ITGB1;LAMA5;TNXB;ITGB5;SHC1;PXN;TNC;THBS1;MYL12A;CCND1;CAPN2;FLNA;ITGAV;FYN;FLNC;ITGA3;ACTN1;CAV1;FN1;PARVA;LAMB1;COL1A1;COL1A2;COL4A2;COL4A1;ITGA10;COL5A3;COL6A2;COL5A2;ZYX;ITGA7;MYL9;DOCK1;VCL;BIRC3"
"3","Cell Interactions Of The Pancreatic Cancer Microenvironment WP5284","8/26",2.48347417485107e-06,0.000214820516124618,0,0,11.9540657976412,154.277405191702,"NRP1;LAG3;IFITM2;TGFB1;CXCL12;CSF1;BAG3;FAS"
"4","Burn Wound Healing WP5055","15/74",5.20318812913438e-08,9.00151546340247e-06,0,0,6.89094212426191,115.570810170375,"FLG;TAGLN;IL15;FST;TNC;COL1A1;LGALS1;COL1A2;CXCL12;S100A6;SERPINH1;TIMP1;S100A11;FGFR2;FBN1"
"5","Primary Focal Segmental Glomerulosclerosis FSGS WP2572","14/72",2.4998086108321e-07,2.59480133804372e-05,0,0,6.53355998057309,99.3224044519976,"ITGB1;LAMA5;CD151;JAG1;TGFB1;ITGA3;PARVA;MYO1E;PLCE1;ITGAV;FYN;VIM;SYNPO;VCL"
"6","Canonical And Non Canonical TGF B Signaling WP3874","5/17",0.00026393016977891,0.00856123488220338,0,0,11.1636532220677,91.9865600543025,"TGFB1;LOX;LOXL4;LOXL1;LOXL2"
"7","Mammary Gland Development Pathway Puberty Stage 2 Of 4 WP2814","4/13",0.000937502019927156,0.0194625419336878,0,0,11.8932098765432,82.9229278607935,"CCND1;FN1;VIM;TIMP1"
"8","Interactions Between LOXL4 And Oxidative Stress Pathway WP3670","5/18",0.000354606299010471,0.00944991928547389,0,0,10.3043757355301,81.863137769407,"NQO1;TGFB1;ANXA5;FN1;LOXL4"
"9","MFAP5 Effect On Permeability And Motility Of Endothelial Cells Via Cytoskeleton Rearrangement WP4560","5/18",0.000354606299010471,0.00944991928547389,0,0,10.3043757355301,81.863137769407,"MFAP5;ACTN1;PXN;ITGAV;VCL"
"10","11P11 2 Copy Number Variation Syndrome WP5348","11/56",4.36537511314261e-06,0.000323661383388717,0,0,6.59314321333957,81.3712973424907,"ITGB1;EXT1;IGSF8;CD63;CD4;CD151;ITGA3;TSPAN18;SLC35C1;TIMP1;B4GALT4"
"11","Conversion Of Angiotensinogen To Angiotensin II WP4818","2/5",0.0121671663658283,0.100234275299443,0,0,17.7959372114497,78.4625405214345,"ACE;CTSD"
"12","Inflammatory Response Pathway WP453","7/30",7.77636439955876e-05,0.00366903011215545,0,0,8.17239706506579,77.3258851436965,"COL1A1;LAMA5;CD40;COL1A2;FN1;LAMB1;THBS1"
"13","Benzo A Pyrene Metabolism WP696","3/9",0.00336944197609508,0.0437185096398337,0,0,13.3633841886269,76.0778548843838,"AKR1C1;EPHX1;CYP1B1"
"14","Transcriptional Activation By NRF2 In Response To Phytochemicals WP3","4/15",0.00168932546052302,0.028282577871337,0,0,9.72979797979798,62.1094450633921,"NQO1;CEBPB;MAF;EPHB2"
"15","Benzene Metabolism WP3891","2/6",0.0178155298790205,0.123283466762822,0,0,13.3462603878116,53.7545292593099,"NQO1;EPHX1"
"16","NRF2 ARE Regulation WP4357","5/23",0.00119857087299651,0.0222163672530424,0,0,7.44011744707155,50.0468827833561,"NQO1;CEBPB;MAF;FYN;EPHB2"
"17","Prostaglandin Synthesis And Regulation WP98","8/45",0.000186565300874334,0.00744826085798302,0,0,5.80975388796618,49.8867835953009,"PTGIS;ANXA1;ANXA2;AKR1C1;ANXA5;S100A6;PTGDS;S100A10"
"18","TGF Beta Signaling In Thyroid Cells For Epithelial Mesenchymal Transition WP3859","4/17",0.00278059359816527,0.040086891040216,0,0,8.23205128205128,48.4463696730496,"ID1;TNC;FN1;VIM"
"19","miR 509 3P Alteration Of YAP1 ECM Axis WP3967","4/17",0.00278059359816527,0.040086891040216,0,0,8.23205128205128,48.4463696730496,"COL1A1;SPARC;FN1;TEAD2"
"20","Glycosaminoglycan Degradation WP4815","4/17",0.00278059359816527,0.040086891040216,0,0,8.23205128205128,48.4463696730496,"HGSNAT;NAGLU;IDS;SGSH"
