"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Regulation Of Endodeoxyribonuclease Activity (GO:0032071)","2/7",0.000369703180709368,0.0658995991028453,0,0,95.9518072289157,758.288910185303,"DDX11;GZMA"
"2","Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988)","2/9",0.000630282836882989,0.0687008292202458,0,0,68.5301204819277,505.021887723885,"SPAG5;NEK2"
"3","Superoxide Anion Generation (GO:0042554)","3/19",6.8340656208303e-05,0.0446947891602302,0,0,45.500762195122,436.398069986898,"NCF1;NCF1B;NCF1C"
"4","Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)","2/10",0.000785679499210031,0.0734049132119086,0,0,59.960843373494,428.657767411021,"NCF1;AREG"
"5","Neuron Cell-Cell Adhesion (GO:0007158)","2/14",0.00157136499382216,0.126933625473932,0,0,39.9658634538153,258.012045504171,"NLGN4X;NRXN3"
"6","Negative Regulation Of Excitatory Postsynaptic Potential (GO:0090394)","1/5",0.0210720750045875,0.218202224273374,0,0,59.2589285714286,228.728002100453,"NLGN4X"
"7","Glycosylceramide Catabolic Process (GO:0046477)","1/5",0.0210720750045875,0.218202224273374,0,0,59.2589285714286,228.728002100453,"LCT"
"8","Glycosylceramide Metabolic Process (GO:0006677)","1/5",0.0210720750045875,0.218202224273374,0,0,59.2589285714286,228.728002100453,"LCT"
"9","Induction Of Bacterial Agglutination (GO:0043152)","1/5",0.0210720750045875,0.218202224273374,0,0,59.2589285714286,228.728002100453,"RNASE3"
"10","Regulation Of Neutrophil Activation (GO:1902563)","1/5",0.0210720750045875,0.218202224273374,0,0,59.2589285714286,228.728002100453,"FCGR2B"
"11","Lipoprotein Metabolic Process (GO:0042157)","1/5",0.0210720750045875,0.218202224273374,0,0,59.2589285714286,228.728002100453,"APOE"
"12","Natural Killer Cell Degranulation (GO:0043320)","1/5",0.0210720750045875,0.218202224273374,0,0,59.2589285714286,228.728002100453,"FCGR3A"
"13","Negative Regulation Of B Cell Receptor Signaling Pathway (GO:0050859)","1/5",0.0210720750045875,0.218202224273374,0,0,59.2589285714286,228.728002100453,"FCGR2B"
"14","Regulation Of B Cell Receptor Signaling Pathway (GO:0050855)","2/16",0.00206072627351913,0.126933625473932,0,0,34.2530120481928,211.844493948458,"PRKCB;FCGR2B"
"15","Negative Regulation Of Leukocyte Activation (GO:0002695)","2/17",0.00232905734814555,0.126933625473932,0,0,31.9678714859438,193.798560853098,"FCGR2B;CD33"
"16","NLS-bearing Protein Import Into Nucleus (GO:0006607)","2/17",0.00232905734814555,0.126933625473932,0,0,31.9678714859438,193.798560853098,"RANBP2;RGPD3"
"17","Microtubule Depolymerization (GO:0007019)","2/17",0.00232905734814555,0.126933625473932,0,0,31.9678714859438,193.798560853098,"KIF18A;NCKAP5"
"18","Superoxide Metabolic Process (GO:0006801)","3/34",0.00040305565200517,0.0658995991028453,0,0,23.4665617623918,183.424876073034,"NCF1;NCF1B;NCF1C"
"19","Sterol Catabolic Process (GO:0016127)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"APOE"
"20","Positive Regulation Of Humoral Immune Response (GO:0002922)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"FCGR2B"
"21","G-quadruplex DNA Unwinding (GO:0044806)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"DDX11"
"22","Positive Regulation Of Receptor Catabolic Process (GO:2000646)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"APOE"
"23","Positive Regulation Of Spindle Assembly (GO:1905832)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"SPAG5"
"24","Positive Regulation Of Steroid Metabolic Process (GO:0045940)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"APOE"
"25","Positive Regulation Of B Cell Receptor Signaling Pathway (GO:0050861)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"PRKCB"
"26","Mitotic Nuclear Membrane Disassembly (GO:0007077)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"PRKCB"
"27","Cholesterol Catabolic Process (GO:0006707)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"APOE"
"28","Positive Regulation Of Amyloid-Beta Clearance (GO:1900223)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"APOE"
"29","Negative Regulation Of Acute Inflammatory Response (GO:0002674)","1/6",0.02523354305099,0.218202224273374,0,0,47.4047619047619,174.429665770154,"FCGR2B"
"30","Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098)","3/38",0.000561292857606892,0.0687008292202458,0,0,20.780487804878,155.547515420194,"NCF1;FCGR1A;AREG"
"31","Innate Immune Response In Mucosa (GO:0002227)","2/21",0.00355691083155873,0.166158548845672,0,0,25.2327203551046,142.283849535201,"DEFA4;RNASE3"
"32","Regulation Of Extent Of Cell Growth (GO:0061387)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"APOE"
"33","Translocation Of Molecules Into Host (GO:0044417)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"THOC3"
"34","Very-Low-Density Lipoprotein Particle Remodeling (GO:0034372)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"APOE"
"35","Viral mRNA Export From Host Cell Nucleus (GO:0046784)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"THOC3"
"36","Immunological Synapse Formation (GO:0001771)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"CORO1A"
"37","Postsynaptic Membrane Assembly (GO:0097104)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"NLGN4X"
"38","Lipoxygenase Pathway (GO:0019372)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"ALOX5"
"39","Nucleolar Chromatin Organization (GO:1990700)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"DDX11"
"40","Positive Regulation Of CoA-transferase Activity (GO:1905920)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"APOE"
"41","Regulation Of Cdc42 Protein Signal Transduction (GO:0032489)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"APOE"
"42","Regulation Of CoA-transferase Activity (GO:1905918)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"APOE"
"43","Negative Regulation Of T Cell Mediated Cytotoxicity (GO:0001915)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"FCGR2B"
"44","Negative Regulation Of Actin Nucleation (GO:0051126)","1/7",0.0293775292387814,0.218202224273374,0,0,39.5019841269841,139.344244792858,"CORO1A"
"45","Natural Killer Cell Activation Involved In Immune Response (GO:0002323)","2/22",0.00390184190945646,0.168453921213368,0,0,23.9698795180723,132.944299842391,"FCGR3A;CORO1A"
"46","Negative Regulation Of Lymphocyte Activation (GO:0051250)","2/23",0.00426169712968506,0.168453921213368,0,0,22.8273092369478,124.593458299227,"FCGR2B;TIGIT"
"47","Fc-gamma Receptor Signaling Pathway (GO:0038094)","2/24",0.00463634645541379,0.168453921213368,0,0,21.7886089813801,117.088250637802,"FCGR3A;FCGR2B"
"48","Natural Killer Cell Mediated Cytotoxicity (GO:0042267)","2/24",0.00463634645541379,0.168453921213368,0,0,21.7886089813801,117.088250637802,"FCGR3A;CORO1A"
"49","Regulation Of Dendritic Cell Antigen Processing And Presentation (GO:0002604)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"FCGR2B"
"50","Regulation Of Dendritic Spine Maintenance (GO:1902950)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"FCGR2B"
"51","Negative Regulation Of Leukocyte Degranulation (GO:0043301)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"FCGR2B"
"52","Negative Regulation Of Long-Term Synaptic Potentiation (GO:1900272)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"APOE"
"53","Triglyceride-Rich Lipoprotein Particle Remodeling (GO:0034370)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"APOE"
"54","Negative Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002701)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"FCGR2B"
"55","Alcohol Catabolic Process (GO:0046164)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"APOE"
"56","Regulation Of Mitotic Centrosome Separation (GO:0046602)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"NEK2"
"57","Nuclear Membrane Disassembly (GO:0051081)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"PRKCB"
"58","Presynaptic Membrane Assembly (GO:0097105)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"NLGN4X"
"59","Regulation Of Sister Chromatid Cohesion (GO:0007063)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"DDX11"
"60","Cellular Response To Hydroxyurea (GO:0072711)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"DDX11"
"61","Positive Regulation Of Chromatin Binding (GO:0035563)","1/8",0.0335041058162561,0.218202224273374,0,0,33.8571428571429,114.981812396816,"DDX11"
"62","Regulation Of Immune Response (GO:0050776)","4/77",0.000324656674153549,0.0658995991028453,0,0,13.4226281075596,107.820512861653,"FCGR3A;FCGR3B;FCGR1A;FCGR2B"
