"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Superoxide-Generating NADPH Oxidase Activator Activity (GO:0016176)","2/9",0.000630282836882989,0.0623980008514159,0,0,68.5301204819277,505.021887723885,"NCF1B;NCF1C"
"2","Phosphatidylcholine-Sterol O-acyltransferase Activator Activity (GO:0060228)","1/5",0.0210720750045875,0.238845670975132,0,0,59.2589285714286,228.728002100453,"APOE"
"3","Beta-Glucosidase Activity (GO:0008422)","1/5",0.0210720750045875,0.238845670975132,0,0,59.2589285714286,228.728002100453,"LCT"
"4","Ankyrin Binding (GO:0030506)","2/18",0.00261297509077715,0.124385101461135,0,0,29.9683734939759,178.229883520411,"OBSCN;SLC4A1"
"5","Glucosidase Activity (GO:0015926)","1/7",0.0293775292387814,0.238845670975132,0,0,39.5019841269841,139.344244792858,"LCT"
"6","GPI Anchor Binding (GO:0034235)","1/7",0.0293775292387814,0.238845670975132,0,0,39.5019841269841,139.344244792858,"FCGR3B"
"7","Superoxide-Generating NAD(P)H Oxidase Activity (GO:0016175)","1/8",0.0335041058162561,0.238845670975132,0,0,33.8571428571429,114.981812396816,"NCF1"
"8","Phosphatidylinositol-3,4-Bisphosphate Binding (GO:0043325)","2/25",0.00502566066509636,0.124385101461135,0,0,20.8402304871661,110.311473795803,"OBSCN;NCF1"
"9","Histone H3 Kinase Activity (GO:0140996)","1/9",0.0376133448283414,0.238845670975132,0,0,29.6235119047619,97.1768610940061,"PRKCB"
"10","G-quadruplex DNA Binding (GO:0051880)","1/9",0.0376133448283414,0.238845670975132,0,0,29.6235119047619,97.1768610940061,"DDX11"
"11","Chloride Ion Binding (GO:0031404)","1/10",0.0417053180950638,0.238845670975132,0,0,26.3306878306878,83.6559293891733,"NLGN4X"
"12","Neurexin Family Protein Binding (GO:0042043)","1/11",0.0457800971719973,0.238845670975132,0,0,23.6964285714286,73.0775545029725,"NLGN4X"
"13","Oxidoreductase Activity, Acting On NAD(P)H, Oxygen As Acceptor (GO:0050664)","1/12",0.0498377533507968,0.238845670975132,0,0,21.5411255411255,64.6014581565574,"NCF1"
"14","Titin Binding (GO:0031432)","1/12",0.0498377533507968,0.238845670975132,0,0,21.5411255411255,64.6014581565574,"OBSCN"
"15","Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297)","1/12",0.0498377533507968,0.238845670975132,0,0,21.5411255411255,64.6014581565574,"AREG"
"16","DNA Replication Origin Binding (GO:0003688)","1/13",0.0538783576585866,0.238845670975132,0,0,19.7450396825397,57.6757823667771,"DDX11"
"17","MHC Class I Protein Binding (GO:0042288)","1/13",0.0538783576585866,0.238845670975132,0,0,19.7450396825397,57.6757823667771,"CD8B"
"18","SUMO Ligase Activity (GO:0061665)","1/13",0.0538783576585866,0.238845670975132,0,0,19.7450396825397,57.6757823667771,"RANBP2"
"19","Protein Kinase C Activity (GO:0004697)","1/14",0.0579019808424563,0.238845670975132,0,0,18.2252747252747,51.9238748259637,"PRKCB"
"20","Solute:Inorganic Anion Antiporter Activity (GO:0005452)","1/14",0.0579019808424563,0.238845670975132,0,0,18.2252747252747,51.9238748259637,"SLC4A1"
"21","Amyloid-Beta Binding (GO:0001540)","3/79",0.00464289878961804,0.124385101461135,0,0,9.55022464698331,51.3077832179327,"APOE;LILRB3;FCGR2B"
"22","Phosphatidylinositol-5-Phosphate Binding (GO:0010314)","1/16",0.0658985654115678,0.250126059667298,0,0,15.7936507936508,42.9530224420345,"OBSCN"
"23","Histone Acetyltransferase Binding (GO:0035035)","1/17",0.069871666881434,0.250126059667298,0,0,14.8058035714286,39.3996505923103,"KANSL1"
"24","Microtubule Plus-End Binding (GO:0051010)","1/19",0.0777678363452935,0.250126059667298,0,0,13.1593915343915,33.6094458600607,"KIF18A"
"25","Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen, Incorporation Of Two Atoms Of Oxygen (GO:0016702)","1/21",0.0855977553708387,0.250126059667298,0,0,11.8422619047619,29.1094192063632,"ALOX5"
"26","Bicarbonate Transmembrane Transporter Activity (GO:0015106)","1/22",0.0894880427418255,0.250126059667298,0,0,11.2777777777778,27.2206113025093,"SLC4A1"
"27","Low-Density Lipoprotein Particle Receptor Binding (GO:0050750)","1/22",0.0894880427418255,0.250126059667298,0,0,11.2777777777778,27.2206113025093,"APOE"
"28","Actin Monomer Binding (GO:0003785)","1/23",0.0933619730924318,0.250126059667298,0,0,10.7646103896104,25.5258101331122,"CORO1A"
"29","Cyclosporin A Binding (GO:0016018)","1/23",0.0933619730924318,0.250126059667298,0,0,10.7646103896104,25.5258101331122,"RANBP2"
"30","Monoatomic Anion Transmembrane Transporter Activity (GO:0008509)","1/24",0.0972196143523995,0.250126059667298,0,0,10.296066252588,23.997894068697,"SLC4A1"
"31","SUMO Transferase Activity (GO:0019789)","1/24",0.0972196143523995,0.250126059667298,0,0,10.296066252588,23.997894068697,"RANBP2"
"32","Phosphatidylinositol-4-Phosphate Binding (GO:0070273)","1/25",0.101061034209009,0.250126059667298,0,0,9.86656746031746,22.6144749855026,"OBSCN"
"33","Nuclear Androgen Receptor Binding (GO:0050681)","1/25",0.101061034209009,0.250126059667298,0,0,9.86656746031746,22.6144749855026,"PRKCB"
"34","Epidermal Growth Factor Receptor Binding (GO:0005154)","1/25",0.101061034209009,0.250126059667298,0,0,9.86656746031746,22.6144749855026,"GRAP"
"35","GTPase Activator Activity (GO:0005096)","4/211",0.012542108913162,0.206944797067174,0,0,4.70161627005427,20.5867959430392,"ARHGAP11A;RANBP2;ARHGAP15;RGPD3"
"36","Lipoprotein Particle Receptor Binding (GO:0070325)","1/27",0.108695478928664,0.262459814974091,0,0,9.10668498168498,20.2096015543053,"APOE"
"37","Hydrolase Activity, Hydrolyzing O-glycosyl Compounds (GO:0004553)","1/29",0.116265843112396,0.267681824840167,0,0,8.45535714285714,18.1948797601586,"LCT"
"38","Protein Tyrosine Kinase Activator Activity (GO:0030296)","1/29",0.116265843112396,0.267681824840167,0,0,8.45535714285714,18.1948797601586,"AREG"
"39","GTPase Regulator Activity (GO:0030695)","6/424",0.0093859326425083,0.185841466321664,0,0,3.54254739264733,16.5385356752895,"ARHGAP11A;RANBP2;OBSCN;RAB3IP;ARHGAP15;RGPD3"
"40","Inorganic Anion Transmembrane Transporter Activity (GO:0015103)","1/32",0.127502399729909,0.286880399392295,0,0,7.63594470046083,15.7271451352493,"SLC4A1"
"41","MHC Protein Binding (GO:0042287)","1/34",0.134914878187454,0.290360281316477,0,0,7.17243867243867,14.3671924609838,"CD8B"
"42","Sodium Channel Regulator Activity (GO:0017080)","1/34",0.134914878187454,0.290360281316477,0,0,7.17243867243867,14.3671924609838,"FXYD2"
"43","Phosphatidylinositol-3,4,5-Trisphosphate Binding (GO:0005547)","1/36",0.142265117252577,0.293421804333441,0,0,6.76190476190476,13.1861398745659,"OBSCN"
"44","Protein Kinase C Binding (GO:0005080)","1/36",0.142265117252577,0.293421804333441,0,0,6.76190476190476,13.1861398745659,"PRKCB"
"45","Phosphatidylinositol Binding (GO:0035091)","2/106",0.0748216339575047,0.250126059667298,0,0,4.5901297497683,11.9005916876122,"FCGR3B;NCF1"
"46","Tau Protein Binding (GO:0048156)","1/39",0.153174905471021,0.303286312832622,0,0,6.22713032581454,11.6831852271339,"APOE"
"47","Phosphotyrosine Residue Binding (GO:0001784)","1/39",0.153174905471021,0.303286312832622,0,0,6.22713032581454,11.6831852271339,"GRAP"
"48","Phosphatidylinositol-3-Phosphate Binding (GO:0032266)","1/40",0.156780938600972,0.304339469048945,0,0,6.06715506715507,11.2418664706385,"OBSCN"
"49","Phosphatase Binding (GO:0019902)","2/112",0.0822434436092546,0.250126059667298,0,0,4.33844468784228,10.8377454866066,"NEK2;CD33"
"50","Protein Phosphatase Binding (GO:0019903)","2/115",0.0860364654650585,0.250126059667298,0,0,4.22262501332765,10.3580318303137,"NEK2;CD33"
"51","Single-Stranded RNA Binding (GO:0003727)","1/43",0.167508236233053,0.318909911289851,0,0,5.63293650793651,10.0644958496365,"DDX11"
"52","Protein Homodimerization Activity (GO:0042803)","7/662",0.0225169782524024,0.238845670975132,0,0,2.63887257780388,10.0105252965452,"NLGN4X;DEFA4;GZMA;SLC4A1;APOE;LCT;CORO1A"
"53","Protein Phosphorylated Amino Acid Binding (GO:0045309)","1/45",0.17458472773687,0.326111095206607,0,0,5.37635281385281,9.38359109011441,"GRAP"
"54","Nuclear Receptor Coactivator Activity (GO:0030374)","1/50",0.192016936645131,0.340981854182249,0,0,4.8265306122449,7.96460422141435,"PRKCB"
"55","Antiporter Activity (GO:0015297)","1/53",0.202301098466466,0.340981854182249,0,0,4.54739010989011,7.26672077800259,"SLC4A1"
"56","Myosin Binding (GO:0017022)","1/54",0.205700321840339,0.340981854182249,0,0,4.46136567834681,7.05491332786129,"CORO1A"
"57","Chloride Transmembrane Transporter Activity (GO:0015108)","1/55",0.209085229870636,0.340981854182249,0,0,4.37852733686067,6.85245356791866,"SLC4A1"
