"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Interactions Of Natural Killer Cells In Pancreatic Cancer WP5092","3/28",0.000224752506507636,0.0240485181963171,0,0,29.1073170731707,244.516329460151,"CD96;FCGR3A;TIGIT"
"2","Sebaleic Acid Formation And Metabolism WP5315","1/5",0.0210720750045875,0.332194154591381,0,0,59.2589285714286,228.728002100453,"ALOX5"
"3","Metabolism Of Alpha Linolenic Acid WP4586","1/6",0.02523354305099,0.332194154591381,0,0,47.4047619047619,174.429665770154,"ALOX5"
"4","ApoE And miR 146 In Inflammation And Atherosclerosis WP3926","1/8",0.0335041058162561,0.332194154591381,0,0,33.8571428571429,114.981812396816,"APOE"
"5","Lipid Particles Composition WP3601","1/10",0.0417053180950638,0.332194154591381,0,0,26.3306878306878,83.6559293891733,"APOE"
"6","Disruption Of Postsynaptic Signaling By CNV WP4875","2/33",0.00865286813075371,0.332194154591381,0,0,15.4558880684026,73.4133730812607,"NLGN4X;NRXN3"
"7","Familial Hyperlipidemia Type 3 WP5110","1/13",0.0538783576585866,0.332194154591381,0,0,19.7450396825397,57.6757823667771,"APOE"
"8","Leukotriene Metabolic Pathway WP5171","1/13",0.0538783576585866,0.332194154591381,0,0,19.7450396825397,57.6757823667771,"ALOX5"
"9","Mammary Gland Development Pathway Puberty Stage 2 Of 4 WP2814","1/13",0.0538783576585866,0.332194154591381,0,0,19.7450396825397,57.6757823667771,"AREG"
"10","Microglia Pathogen Phagocytosis Pathway WP3937","2/40",0.0125397246651869,0.332194154591381,0,0,12.6043119847812,55.1924381773525,"NCF1;FCGR1A"
"11","Serotonin And Anxiety Related Events WP3944","1/14",0.0579019808424563,0.332194154591381,0,0,18.2252747252747,51.9238748259637,"PRKCB"
"12","Serotonin And Anxiety WP3947","1/17",0.069871666881434,0.332194154591381,0,0,14.8058035714286,39.3996505923103,"PRKCB"
"13","Metabolic Pathway Of LDL HDL And TG Including Diseases WP4522","1/17",0.069871666881434,0.332194154591381,0,0,14.8058035714286,39.3996505923103,"APOE"
"14","NRXN1 Deletion Syndrome WP5398","1/17",0.069871666881434,0.332194154591381,0,0,14.8058035714286,39.3996505923103,"NLGN4X"
"15","IL 18 Signaling Pathway WP4754","2/56",0.0236994399581873,0.332194154591381,0,0,8.86256135653726,33.1663975880279,"NCF1;PRKCB"
"16","Lipid Metabolism In Senescent Cells WP5149","1/20",0.0816910427282764,0.332194154591381,0,0,12.4661654135338,31.2253872490644,"ALOX5"
"17","Pathogenesis Of SARS CoV 2 Mediated By Nsp9 Nsp10 Complex WP4884","1/21",0.0855977553708387,0.332194154591381,0,0,11.8422619047619,29.1094192063632,"CD8B"
"18","AGE RAGE Pathway WP2324","2/66",0.0321243883224849,0.332194154591381,0,0,7.47402108433735,25.6967291804094,"NCF1;PRKCB"
"19","Eicosanoid Synthesis WP167","1/23",0.0933619730924318,0.332194154591381,0,0,10.7646103896104,25.5258101331122,"ALOX5"
"20","Cancer Immunotherapy By PD 1 Blockade WP4585","1/23",0.0933619730924318,0.332194154591381,0,0,10.7646103896104,25.5258101331122,"CD8B"
"21","Physiological And Pathological Hypertrophy Of The Heart WP1528","1/24",0.0972196143523995,0.332194154591381,0,0,10.296066252588,23.997894068697,"PRKCB"
"22","GPCRs Class B Secretin Like WP334","1/24",0.0972196143523995,0.332194154591381,0,0,10.296066252588,23.997894068697,"VIPR1"
"23","Urotensin II Mediated Signaling Pathway WP5158","2/69",0.0348497960704622,0.332194154591381,0,0,7.13828448120842,23.9611365774453,"NCF1;ALOX5"
"24","Sphingolipid Metabolism In Senescence WP5121","1/28",0.112488637775404,0.332194154591381,0,0,8.7689594356261,19.1593263038296,"PRKCB"
"25","T Cell Receptor And Co Stimulatory Signaling WP2583","1/28",0.112488637775404,0.332194154591381,0,0,8.7689594356261,19.1593263038296,"CD8B"
"26","Nanoparticle Mediated Activation Of Receptor Signaling WP2643","1/28",0.112488637775404,0.332194154591381,0,0,8.7689594356261,19.1593263038296,"AREG"
"27","Eicosanoid Metabolism Via Lipooxygenases LOX WP4721","1/28",0.112488637775404,0.332194154591381,0,0,8.7689594356261,19.1593263038296,"ALOX5"
"28","PDGFR Beta Pathway WP3972","1/29",0.116265843112396,0.332194154591381,0,0,8.45535714285714,18.1948797601586,"PRKCB"
"29","Statin Inhibition Of Cholesterol Production WP430","1/29",0.116265843112396,0.332194154591381,0,0,8.45535714285714,18.1948797601586,"APOE"
"30","GPR143 In Melanocytes And Retinal Pigment Epithelium Cells WP4941","1/30",0.120027161248307,0.332194154591381,0,0,8.16338259441708,17.3066749255587,"PRKCB"
"31","miRNA Regulation Of Prostate Cancer Signaling Pathways WP3981","1/31",0.123772658199863,0.332194154591381,0,0,7.89087301587302,16.4864704138252,"AR"
"32","Prostaglandin And Leukotriene Metabolism In Senescence WP5122","1/31",0.123772658199863,0.332194154591381,0,0,7.89087301587302,16.4864704138252,"ALOX5"
"33","Development And Heterogeneity Of The ILC Family WP3893","1/32",0.127502399729909,0.332194154591381,0,0,7.63594470046083,15.7271451352493,"AREG"
"34","Prion Disease Pathway WP3995","1/32",0.127502399729909,0.332194154591381,0,0,7.63594470046083,15.7271451352493,"EBF1"
"35","White Fat Cell Differentiation WP4149","1/32",0.127502399729909,0.332194154591381,0,0,7.63594470046083,15.7271451352493,"EBF1"
"36","ErbB Signaling Pathway WP673","2/90",0.0562116741980973,0.332194154591381,0,0,5.42907995618839,15.6283168736942,"PRKCB;AREG"
"37","Prostaglandin Signaling WP5088","1/33",0.131216451332974,0.332194154591381,0,0,7.39694940476191,15.0225164658776,"AREG"
"38","Cohesin Complex Cornelia De Lange Syndrome WP5117","1/34",0.134914878187454,0.332194154591381,0,0,7.17243867243867,14.3671924609838,"STAG3"
"39","Prostaglandin And Leukotriene Metabolism In Senescence WP5321","1/34",0.134914878187454,0.332194154591381,0,0,7.17243867243867,14.3671924609838,"ALOX5"
"40","Fatty Acids And Lipoproteins Transport In Hepatocytes WP5323","1/35",0.138597745281035,0.332194154591381,0,0,6.96113445378151,13.7564509270605,"APOE"
"41","Genetic Causes Of Porto Sinusoidal Vascular Disease WP5269","1/37",0.145917058558831,0.332194154591381,0,0,6.57374338624339,12.6525950625127,"NCF1"
