"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1","TRUE","9.96256124720099e-54","1092","1667","251","0.150569886022795","0.22985347985348","GO:0001775","GO:BP","cell activation","21031","445","c(""GO:0009987"", ""GO:0032501"")"
"2","query_1","TRUE","9.96296819390778e-50","946","1667","224","0.134373125374925","0.236786469344609","GO:0045321","GO:BP","leukocyte activation","21031","11749","c(""GO:0001775"", ""GO:0002376"")"
"3","query_1","TRUE","5.81574880981847e-39","783","1667","183","0.109778044391122","0.233716475095785","GO:0046649","GO:BP","lymphocyte activation","21031","12692","GO:0045321"
"4","query_1","TRUE","5.72877983734661e-36","965","2012","227","0.112823061630219","0.235233160621762","GO:0030097","GO:BP","hemopoiesis","21031","6912","GO:0048468"
"5","query_1","TRUE","3.04615533987003e-35","2955","1750","441","0.252","0.149238578680203","GO:0051239","GO:BP","regulation of multicellular organismal process","21031","14037","c(""GO:0032501"", ""GO:0050789"")"
"6","query_1","TRUE","1.19756240422464e-34","2776","1687","409","0.242442205097807","0.147334293948127","GO:0002376","GO:BP","immune system process","21031","913","GO:0008150"
"7","query_1","TRUE","5.51668969658844e-34","627","1919","165","0.0859822824387702","0.263157894736842","GO:0002521","GO:BP","leukocyte differentiation","21031","1050","c(""GO:0030097"", ""GO:0030154"")"
"8","query_1","TRUE","5.74285587400338e-34","1512","1661","265","0.159542444310656","0.17526455026455","GO:0002682","GO:BP","regulation of immune system process","21031","1207","c(""GO:0002376"", ""GO:0050789"")"
"9","query_1","TRUE","3.17397261964219e-33","8976","1487","868","0.583725622057835","0.0967023172905526","GO:0050896","GO:BP","response to stimulus","21031","13774","GO:0008150"
"10","query_1","TRUE","3.83417689304043e-31","7394","1946","934","0.479958890030832","0.126318636732486","GO:0051716","GO:BP","cellular response to stimulus","21031","14364","c(""GO:0009987"", ""GO:0050896"")"
"11","query_1","TRUE","1.04897734182595e-30","616","1661","145","0.0872968091511138","0.23538961038961","GO:0050865","GO:BP","regulation of cell activation","21031","13748","c(""GO:0001775"", ""GO:0050794"", ""GO:0051239"")"
"12","query_1","TRUE","1.59855911485649e-30","3939","1921","568","0.295679333680375","0.144199035288144","GO:0048583","GO:BP","regulation of response to stimulus","21031","13279","c(""GO:0050789"", ""GO:0050896"")"
"13","query_1","TRUE","4.69191838168715e-29","7669","1630","819","0.502453987730061","0.10679358456122","GO:0032501","GO:BP","multicellular organismal process","21031","7883","GO:0008150"
"14","query_1","TRUE","1.17320782623214e-27","484","2027","135","0.0666008880118402","0.278925619834711","GO:1903131","GO:BP","mononuclear cell differentiation","21031","23363","GO:0002521"
"15","query_1","TRUE","1.39353791460878e-27","1054","1671","197","0.117893476959904","0.186907020872865","GO:0002684","GO:BP","positive regulation of immune system process","21031","1209","c(""GO:0002376"", ""GO:0002682"", ""GO:0048518"")"
"16","query_1","TRUE","1.75872310727185e-27","434","2027","126","0.0621608288110508","0.290322580645161","GO:0030098","GO:BP","lymphocyte differentiation","21031","6913","c(""GO:0046649"", ""GO:1903131"")"
"17","query_1","TRUE","2.80743547550867e-27","6447","1475","654","0.443389830508475","0.101442531409958","GO:0023052","GO:BP","signaling","21031","6877","GO:0050789"
"18","query_1","TRUE","9.04956477539798e-27","1637","1772","274","0.154627539503386","0.167379352474038","GO:0051240","GO:BP","positive regulation of multicellular organismal process","21031","14038","c(""GO:0032501"", ""GO:0048518"", ""GO:0051239"")"
"19","query_1","TRUE","3.52616034618124e-26","2819","2016","445","0.220734126984127","0.157857396239801","GO:0048468","GO:BP","cell development","21031","13194","c(""GO:0030154"", ""GO:0048856"", ""GO:0048869"")"
"20","query_1","TRUE","6.26007020069214e-26","6537","1475","656","0.444745762711864","0.10035184335322","GO:0007154","GO:BP","cell communication","21031","2749","GO:0009987"
"21","query_1","TRUE","1.37083611303297e-25","2668","1960","416","0.212244897959184","0.15592203898051","GO:0035556","GO:BP","intracellular signal transduction","21031","9405","GO:0007165"
"22","query_1","TRUE","1.61355702741547e-25","698","1264","125","0.0988924050632911","0.179083094555874","GO:0002252","GO:BP","immune effector process","21031","791","GO:0002376"
"23","query_1","TRUE","5.2180559496684e-25","5959","1475","608","0.412203389830508","0.102030542037255","GO:0007165","GO:BP","signal transduction","21031","2760","c(""GO:0007154"", ""GO:0009987"", ""GO:0023052"", ""GO:0050794"", ""GO:0051716"")"
"24","query_1","TRUE","8.21217970960136e-25","561","1661","127","0.0764599638771824","0.226381461675579","GO:0002694","GO:BP","regulation of leukocyte activation","21031","1219","c(""GO:0002682"", ""GO:0045321"", ""GO:0050865"")"
"25","query_1","TRUE","2.06837963526959e-24","6250","1776","734","0.413288288288288","0.11744","GO:0048518","GO:BP","positive regulation of biological process","21031","13226","c(""GO:0008150"", ""GO:0050789"")"
"26","query_1","TRUE","2.29260831772117e-23","555","1625","122","0.0750769230769231","0.21981981981982","GO:0042110","GO:BP","T cell activation","21031","10315","GO:0046649"
"27","query_1","TRUE","4.00014646412524e-23","300","2036","95","0.0466601178781925","0.316666666666667","GO:0002366","GO:BP","leukocyte activation involved in immune response","21031","905","c(""GO:0002263"", ""GO:0045321"")"
"28","query_1","TRUE","1.2261370163463e-22","304","2036","95","0.0466601178781925","0.3125","GO:0002263","GO:BP","cell activation involved in immune response","21031","802","c(""GO:0001775"", ""GO:0002252"", ""GO:0006955"")"
"29","query_1","TRUE","1.64192763964283e-22","745","2034","167","0.0821042281219272","0.224161073825503","GO:1903047","GO:BP","mitotic cell cycle process","21031","23301","c(""GO:0000278"", ""GO:0022402"")"
"30","query_1","TRUE","1.04066836737337e-21","1988","1727","294","0.170237405906196","0.147887323943662","GO:0006955","GO:BP","immune response","21031","2617","c(""GO:0002376"", ""GO:0050896"")"
"31","query_1","TRUE","1.60744025541924e-21","5717","1897","711","0.374802319451766","0.124365926185062","GO:0048522","GO:BP","positive regulation of cellular process","21031","13230","c(""GO:0009987"", ""GO:0048518"", ""GO:0050794"")"
"32","query_1","TRUE","2.74251363537675e-21","238","1774","75","0.0422773393461105","0.315126050420168","GO:0002274","GO:BP","myeloid leukocyte activation","21031","813","GO:0045321"
"33","query_1","TRUE","8.3679475204093e-21","895","2034","185","0.0909537856440511","0.206703910614525","GO:0000278","GO:BP","mitotic cell cycle","21031","77","GO:0007049"
"34","query_1","TRUE","5.63822050665875e-20","497","1625","108","0.0664615384615385","0.217303822937626","GO:0051249","GO:BP","regulation of lymphocyte activation","21031","14044","c(""GO:0002694"", ""GO:0046649"")"
"35","query_1","TRUE","1.77845667539753e-19","3437","1910","471","0.246596858638743","0.137038114634856","GO:0023051","GO:BP","regulation of signaling","21031","6876","c(""GO:0023052"", ""GO:0050789"")"
"36","query_1","TRUE","2.13802264812842e-19","946","1634","163","0.0997552019583843","0.1723044397463","GO:0098609","GO:BP","cell-cell adhesion","21031","19347","GO:0007155"
"37","query_1","TRUE","2.13809636144915e-19","12287","2026","1387","0.684600197433366","0.112883535443965","GO:0050789","GO:BP","regulation of biological process","21031","13687","c(""GO:0008150"", ""GO:0065007"")"
"38","query_1","TRUE","2.28761956920899e-19","281","1667","77","0.0461907618476305","0.274021352313167","GO:0042113","GO:BP","B cell activation","21031","10316","GO:0046649"
"39","query_1","TRUE","3.5407788254651e-19","371","1492","85","0.056970509383378","0.22911051212938","GO:0050867","GO:BP","positive regulation of cell activation","21031","13750","c(""GO:0001775"", ""GO:0048522"", ""GO:0050865"", ""GO:0051240"")"
"40","query_1","TRUE","4.04890341848252e-19","5899","2008","754","0.375498007968127","0.127818274283777","GO:0048856","GO:BP","anatomical structure development","21031","13525","GO:0032502"
"41","query_1","TRUE","4.61275287899585e-19","3443","1910","470","0.246073298429319","0.136508858553587","GO:0010646","GO:BP","regulation of cell communication","21031","4342","c(""GO:0007154"", ""GO:0050794"")"
"42","query_1","TRUE","1.56682515287778e-18","881","1726","159","0.0921205098493627","0.180476730987514","GO:0050776","GO:BP","regulation of immune response","21031","13679","c(""GO:0002682"", ""GO:0006955"", ""GO:0048583"")"
"43","query_1","TRUE","4.02705048021439e-18","2799","1475","324","0.219661016949153","0.115755627009646","GO:0007166","GO:BP","cell surface receptor signaling pathway","21031","2761","GO:0007165"
"44","query_1","TRUE","5.11486471030306e-18","4366","2043","595","0.291238374938815","0.136280348144755","GO:0030154","GO:BP","cell differentiation","21031","6924","GO:0048869"
"45","query_1","TRUE","5.40981807278891e-18","4367","2043","595","0.291238374938815","0.136249141286925","GO:0048869","GO:BP","cellular developmental process","21031","13537","c(""GO:0009987"", ""GO:0032502"")"
"46","query_1","TRUE","5.82378692925999e-18","12680","2026","1416","0.698914116485686","0.111671924290221","GO:0065007","GO:BP","biological regulation","21031","16384","GO:0008150"
"47","query_1","TRUE","6.60014946035087e-18","11738","2026","1329","0.655972359328727","0.113222013971716","GO:0050794","GO:BP","regulation of cellular process","21031","13691","c(""GO:0009987"", ""GO:0050789"")"
"48","query_1","TRUE","6.7754830345287e-18","1512","1721","230","0.133643230679837","0.152116402116402","GO:0007155","GO:BP","cell adhesion","21031","2750","GO:0009987"
"49","query_1","TRUE","8.60185727426192e-18","2455","1896","355","0.187236286919831","0.144602851323829","GO:0050793","GO:BP","regulation of developmental process","21031","13690","c(""GO:0032502"", ""GO:0050789"")"
"50","query_1","TRUE","1.14672366270419e-17","403","1471","86","0.0584636301835486","0.213399503722084","GO:0007159","GO:BP","leukocyte cell-cell adhesion","21031","2754","GO:0098609"
"51","query_1","TRUE","2.43375548852305e-17","2274","1895","333","0.175725593667546","0.146437994722955","GO:0048584","GO:BP","positive regulation of response to stimulus","21031","13280","c(""GO:0048518"", ""GO:0048583"", ""GO:0050896"")"
"52","query_1","TRUE","3.09337064992111e-17","1276","2043","228","0.111600587371512","0.178683385579937","GO:0022402","GO:BP","cell cycle process","21031","6830","c(""GO:0007049"", ""GO:0009987"")"
"53","query_1","TRUE","3.76859684924403e-17","2723","1487","316","0.212508406186954","0.116048475945648","GO:0009605","GO:BP","response to external stimulus","21031","3570","GO:0050896"
"54","query_1","TRUE","4.1853686067495e-17","327","1726","82","0.0475086906141367","0.250764525993884","GO:0002768","GO:BP","immune response-regulating cell surface receptor signaling pathway","21031","1286","c(""GO:0002764"", ""GO:0007166"")"
"55","query_1","TRUE","4.22137825172933e-17","3855","1917","507","0.264475743348983","0.131517509727626","GO:0006950","GO:BP","response to stress","21031","2613","GO:0050896"
"56","query_1","TRUE","4.72425134873188e-17","354","1657","84","0.0506940253470127","0.23728813559322","GO:0002696","GO:BP","positive regulation of leukocyte activation","21031","1221","c(""GO:0002684"", ""GO:0002694"", ""GO:0045321"", ""GO:0050867"")"
"57","query_1","TRUE","5.24961374497282e-17","718","1723","135","0.0783517121300058","0.188022284122563","GO:0050778","GO:BP","positive regulation of immune response","21031","13681","c(""GO:0002684"", ""GO:0006955"", ""GO:0048584"", ""GO:0050776"")"
"58","query_1","TRUE","5.37893606038573e-17","3010","1921","417","0.217074440395627","0.138538205980066","GO:0009966","GO:BP","regulation of signal transduction","21031","3842","c(""GO:0007165"", ""GO:0010646"", ""GO:0023051"", ""GO:0048583"")"
"59","query_1","TRUE","1.53284484982723e-16","1411","1734","216","0.124567474048443","0.153082919914954","GO:2000026","GO:BP","regulation of multicellular organismal development","21031","26054","c(""GO:0007275"", ""GO:0050793"", ""GO:0051239"")"
"60","query_1","TRUE","1.82032477012808e-16","6453","2008","798","0.397410358565737","0.123663412366341","GO:0032502","GO:BP","developmental process","21031","7884","GO:0008150"
"61","query_1","TRUE","1.9452232834594e-16","477","1471","93","0.0632222977566281","0.19496855345912","GO:0022407","GO:BP","regulation of cell-cell adhesion","21031","6835","c(""GO:0030155"", ""GO:0098609"")"
"62","query_1","TRUE","2.28424030470124e-16","378","1264","74","0.0585443037974684","0.195767195767196","GO:0002697","GO:BP","regulation of immune effector process","21031","1222","c(""GO:0002252"", ""GO:0002682"")"
"63","query_1","TRUE","2.70257083700769e-16","778","1634","136","0.0832313341493268","0.174807197943445","GO:0030155","GO:BP","regulation of cell adhesion","21031","6925","c(""GO:0007155"", ""GO:0050794"")"
"64","query_1","TRUE","3.52863866875282e-16","773","1687","138","0.0818020154119739","0.178525226390686","GO:0001817","GO:BP","regulation of cytokine production","21031","479","c(""GO:0001816"", ""GO:0010468"", ""GO:0051239"")"
"65","query_1","TRUE","4.03682644906678e-16","2006","1900","299","0.157368421052632","0.149052841475573","GO:0008283","GO:BP","cell population proliferation","21031","3185","GO:0009987"
"66","query_1","TRUE","6.60518179587529e-16","4643","1630","509","0.312269938650307","0.109627396080121","GO:0007275","GO:BP","multicellular organism development","21031","2835","c(""GO:0032501"", ""GO:0048856"")"
"67","query_1","TRUE","7.12420852296614e-16","779","1687","138","0.0818020154119739","0.177150192554557","GO:0001816","GO:BP","cytokine production","21031","478","c(""GO:0010467"", ""GO:0032501"")"
"68","query_1","TRUE","7.3769612137182e-16","2637","1475","302","0.204745762711864","0.114524080394388","GO:0010033","GO:BP","response to organic substance","21031","3883","GO:0042221"
"69","query_1","TRUE","9.1956344270321e-16","1819","2043","292","0.1429270680372","0.160527762506872","GO:0007049","GO:BP","cell cycle","21031","2680","GO:0009987"
"70","query_1","TRUE","9.38842565530358e-16","492","1726","103","0.059675550405562","0.209349593495935","GO:0002764","GO:BP","immune response-regulating signaling pathway","21031","1282","c(""GO:0007165"", ""GO:0050776"")"
"71","query_1","TRUE","1.88833208886976e-15","418","1625","89","0.0547692307692308","0.212918660287081","GO:1903706","GO:BP","regulation of hemopoiesis","21031","23819","c(""GO:0002682"", ""GO:0030097"", ""GO:0060284"", ""GO:2000026"")"
"72","query_1","TRUE","2.79488414972773e-15","365","1471","77","0.0523453433038749","0.210958904109589","GO:1903037","GO:BP","regulation of leukocyte cell-cell adhesion","21031","23291","c(""GO:0007159"", ""GO:0022407"")"
"73","query_1","TRUE","3.52340969813425e-15","460","1264","81","0.0640822784810127","0.176086956521739","GO:0002443","GO:BP","leukocyte mediated immunity","21031","973","GO:0002252"
