"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Negative Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002887)","5/5",1.19973092383915e-05,0.000876014053512022,0,0,89620,1015468.82000872,"CX3CR1;CD84;SPI1;CD300A;LGALS9"
"2","CENP-A Containing Chromatin Assembly (GO:0034080)","5/6",6.57717478354573e-05,0.00253464828232568,0,0,43.2713664896185,416.673842383261,"CENPW;NASP;CENPI;HJURP;OIP5"
"3","Cellular Response To Bacterial Lipopeptide (GO:0071221)","5/6",6.57717478354573e-05,0.00253464828232568,0,0,43.2713664896185,416.673842383261,"TLR1;TLR10;CD36;TLR6;TLR2"
"4","Chromatin Remodeling At Centromere (GO:0031055)","5/6",6.57717478354573e-05,0.00253464828232568,0,0,43.2713664896185,416.673842383261,"CENPW;NASP;CENPI;HJURP;OIP5"
"5","Regulation Of Osteoclast Development (GO:2001204)","5/6",6.57717478354573e-05,0.00253464828232568,0,0,43.2713664896185,416.673842383261,"SIGLEC15;TYROBP;FBXW7;LILRB1;LTF"
"6","Double-Strand Break Repair Via Break-Induced Replication (GO:0000727)","8/11",1.64536722088972e-06,0.000236138564598035,0,0,23.1089619600258,307.754686193704,"GINS2;MCM7;GINS4;MCM3;MCM4;CDC7;MCM5;MCM2"
"7","Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043370)","8/11",1.64536722088972e-06,0.000236138564598035,0,0,23.1089619600258,307.754686193704,"IRF4;TNFSF4;HLA-DRA;NCKAP1L;HMGB1;HLA-DRB1;SH3RF1;RUNX1"
"8","Negative Regulation Of Leukocyte Degranulation (GO:0043301)","6/8",2.8898250459783e-05,0.00146898744222628,0,0,25.9739130434783,271.47231324935,"CD84;CEACAM1;SPI1;CD300A;NCKAP1L;LGALS9"
"9","Negative Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002701)","6/8",2.8898250459783e-05,0.00146898744222628,0,0,25.9739130434783,271.47231324935,"IL10;CR1;FCRL3;LILRB1;TNF;CD22"
"10","DNA Replication-Dependent Chromatin Assembly (GO:0006335)","4/5",0.00053093328746446,0.012431834169553,0,0,34.6003861003861,260.917158171958,"CHAF1B;CHAF1A;NASP;ASF1B"
"11","Mitotic DNA Replication (GO:1902969)","7/10",1.16179542361999e-05,0.00086346295591186,0,0,20.2105687127437,229.651861172674,"GINS1;POLA1;LIG1;GINS3;MCM3;MCM4;MCM2"
"12","Mitotic Spindle Elongation (GO:0000022)","7/10",1.16179542361999e-05,0.00086346295591186,0,0,20.2105687127437,229.651861172674,"RACGAP1;INCENP;PRC1;KIF4A;BIRC5;CDCA8;KIF23"
"13","Mitotic Spindle Midzone Assembly (GO:0051256)","7/10",1.16179542361999e-05,0.00086346295591186,0,0,20.2105687127437,229.651861172674,"RACGAP1;INCENP;PRC1;KIF4A;BIRC5;CDCA8;KIF23"
"14","DNA Unwinding Involved In DNA Replication (GO:0006268)","12/20",8.60815313994934e-08,2.98559444737243e-05,0,0,13.0203488372093,211.814656646097,"GINS1;RECQL4;GINS2;CDC45;RAD51;MCM7;GINS3;GINS4;MCM3;MCM4;MCM5;MCM2"
"15","Positive Regulation Of Chromosome Condensation (GO:1905821)","5/7",0.000210386504884898,0.00625449023807817,0,0,21.6344760985031,183.169681241888,"NCAPG2;NCAPG;SMC4;NCAPH;SMC2"
"16","Regulation Of Chromosome Condensation (GO:0060623)","5/7",0.000210386504884898,0.00625449023807817,0,0,21.6344760985031,183.169681241888,"NCAPG2;NCAPG;SMC4;NCAPH;SMC2"
"17","Positive Regulation Of RNA Biosynthetic Process (GO:1902680)","6/9",7.90329364106454e-05,0.00287565143666085,0,0,17.3149758454106,163.551130183648,"TOP2A;GINS2;TOP2B;GINS3;IL1B;GINS4"
"18","Regulation Of Granulocyte Differentiation (GO:0030852)","6/9",7.90329364106454e-05,0.00287565143666085,0,0,17.3149758454106,163.551130183648,"CEACAM1;TESC;LEF1;EVI2B;C1QC;RUNX1"
"19","Gas Transport (GO:0015669)","9/15",3.84188320029628e-06,0.000371858555340305,0,0,13.0029027576197,162.140318708032,"HBG2;HBG1;CA2;HBB;RHAG;HBA1;HBD;IPCEF1;CYGB"
"20","Positive Regulation Of Chromosome Separation (GO:1905820)","8/13",1.05918607295535e-05,0.000831760836913243,0,0,13.863829787234,158.816058285268,"INCENP;NCAPG2;CDCA8;NCAPG;BIRC5;SMC4;NCAPH;SMC2"
"21","Carbon Dioxide Transport (GO:0015670)","7/11",2.90701824402128e-05,0.00146898744222628,0,0,15.1570807153214,158.32779686681,"HBG2;CA2;HBG1;HBB;RHAG;HBA1;HBD"
"22","Regulation Of T Cell Mediated Immunity (GO:0002709)","7/11",2.90701824402128e-05,0.00146898744222628,0,0,15.1570807153214,158.32779686681,"FUT7;IL1B;WAS;CLC;HMGB1;CCR2;TRPM4"
