"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","MHC Class II Receptor Activity (GO:0032395)","6/9",7.90329364106454e-05,0.0056770304508074,0,0,17.3149758454106,163.551130183648,"HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1"
"2","Vascular Endothelial Growth Factor Receptor Activity (GO:0005021)","4/6",0.00146126335546276,0.0431828515735029,0,0,17.2992277992278,112.937211287443,"NELL2;PDGFRA;FLT3;FLT4"
"3","DNA Secondary Structure Binding (GO:0000217)","14/33",1.95426352915427e-06,0.000418700961121302,0,0,6.39823370258819,84.107962882768,"BLM;MEF2C;FANCM;XRCC2;HMGB2;HMGB3;HMGA2;HMGB1;RAD51AP1;RECQL4;MSH6;NEIL3;MSH2;CLSPN"
"4","Toll-like Receptor Binding (GO:0035325)","6/11",0.000361460963922078,0.0147510498133915,0,0,10.3878260869565,82.3272250595268,"TLR1;TLR10;TLR6;S100A9;S100A8;TLR2"
"5","Four-Way Junction DNA Binding (GO:0000400)","8/16",7.94916749237909e-05,0.0056770304508074,0,0,8.66344294003868,81.781673395198,"MSH6;BLM;FANCM;MSH2;XRCC2;HMGB2;HMGB3;HMGB1"
"6","Single-Stranded DNA Helicase Activity (GO:0017116)","10/22",2.83476356696807e-05,0.00242939237689164,0,0,7.22491126169732,75.6518068873712,"POLQ;RAD51;MCM7;MCM8;DSCC1;MCM3;MCM4;MCM5;DNA2;MCM2"
"7","Inhibitory MHC Class I Receptor Activity (GO:0032396)","5/9",0.00105516838020356,0.0322956893512303,0,0,10.8160309029454,74.1336698544138,"LILRB1;LILRA1;LILRB2;LILRA2;LILRB4"
"8","Bubble DNA Binding (GO:0000405)","4/7",0.00312910826582024,0.0730132573825049,0,0,11.532175032175,66.5061366050537,"RECQL4;BLM;NEIL3;HMGB1"
"9","Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715)","14/36",6.70813700599601e-06,0.000702956596668725,0,0,5.52482144431708,65.8127188378411,"BLK;SYK;DYRK1A;MATK;CLK1;FGR;ZAP70;MELK;TEC;FES;LCK;BTK;PTK2B;FRK"
"10","Protein Tyrosine Kinase Activity (GO:0004713)","30/99",3.95971630525436e-08,1.69673843680149e-05,0,0,3.79425389944324,64.6711923141054,"BLK;CSF1R;LTK;FLT1;FLT3;FLT4;TTN;PTK2B;NTRK1;PDGFRA;EPHA7;SYK;INSR;TIE1;DYRK1A;MATK;MERTK;HIPK3;BCR;CLK1;FGR;ZAP70;MELK;TEC;FES;LCK;KIT;BTK;TYRO3;FRK"
"11","RNA-directed DNA Polymerase Activity (GO:0003964)","3/5",0.00950444484901758,0.142900162028212,0,0,12.9681620839363,60.3797070417491,"TERT;PTEN;TERF2"
"12","alpha-N-acetylneuraminate Alpha-2,8-Sialyltransferase Activity (GO:0003828)","3/5",0.00950444484901758,0.142900162028212,0,0,12.9681620839363,60.3797070417491,"ST8SIA4;ST8SIA5;ST8SIA6"
"13","Gap Junction Channel Activity Involved In Cell Communication By Electrical Coupling (GO:1903763)","3/5",0.00950444484901758,0.142900162028212,0,0,12.9681620839363,60.3797070417491,"GJB2;GJC2;GJB6"
"14","Telomerase Activity (GO:0003720)","3/5",0.00950444484901758,0.142900162028212,0,0,12.9681620839363,60.3797070417491,"TERT;PTEN;TERF2"
"15","RAGE Receptor Binding (GO:0050786)","4/8",0.00574535816001966,0.107038520502975,0,0,8.64864864864865,44.6215180688809,"HMGB2;S100A12;S100A9;S100A8"
