"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Retinoblastoma Gene In Cancer WP2446","40/87",2.29807394232464e-17,1.53051724558821e-14,0,0,7.47272499268486,286.294107511776,"TOP2A;DNMT1;PCNA;MCM7;PRIM1;HMGB2;TTK;HMGB1;TYMS;SMC2;CCNB2;CCNB1;CDC45;ORC1;CHEK1;STMN1;E2F1;E2F2;POLE;PLK4;BARD1;CDT1;RRM2;CDC7;CDC25A;SAP30;MSH6;CCNA2;DHFR;ANLN;POLA1;CDK6;CCNE2;TFDP2;KIF4A;POLE2;MCM3;MDM2;CDK1;MCM4"
"2","Hematopoietic Stem Cell Differentiation WP2849","25/54",1.85221465123751e-11,4.11191652574726e-09,0,0,7.52156223204829,185.873251975274,"CIITA;SPI1;NOTCH1;ITGA2B;LEF1;CXCR4;IKZF1;GATA2;GATA1;LYL1;MYB;NCKAP1L;CD34;KCNH2;NFE2;LMO2;RHOH;FOS;CBFA2T3;VAV1;FLI1;RUNX1;KLF1;IL1B;FOSB"
"3","Microglia Pathogen Phagocytosis Pathway WP3937","19/40",2.86715867923556e-09,3.18254613395147e-07,0,0,7.87455147348195,154.891988908598,"C1QB;VAV3;C1QA;ITGAM;FCER1G;SYK;NCF2;NCF4;PIK3R3;CYBB;TREM1;PIK3CG;VAV1;TYROBP;PLCG2;RAC3;NCKAP1L;PTPN6;C1QC"
"4","Gastric Cancer Network 1 WP2361","14/27",8.74735020377803e-08,5.82573523571617e-06,0,0,9.35439826904424,152.027025143148,"TOP2A;NOTCH1;UBE2C;LIN9;KIF15;CCNA1;TPX2;CENPF;MCM4;MYBL2;CEP192;S100P;ECT2;E2F7"
"5","Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218","30/74",1.21160286756824e-11,4.03463754900225e-09,0,0,5.9584110903759,149.773551847963,"CXCR4;CD1D;TNF;BACH2;FOXO1;CD79A;CD19;BLNK;ITGAX;ICOS;ICOSLG;IL10;CR2;CR1;FCRL5;SYK;TNFSF13;SH2D1A;PAX5;BCR;ZEB2;PTPRC;SELL;IRF4;IRF8;TLR7;PDCD1;CD69;MS4A1;CD22"
"6","DNA Replication WP466","19/42",7.95170279350395e-09,7.56547722924804e-07,0,0,7.18900467121811,134.074072592621,"CDT1;PCNA;MCM7;PRIM1;GMNN;MCM10;CDC7;CDC6;POLA1;ORC6;CDC45;ORC1;POLD1;POLE2;MCM3;MCM4;MCM5;POLE;MCM2"
"7","G1 To S Cell Cycle Control WP45","26/64",2.66466147231359e-10,4.43666135140212e-08,0,0,5.96965340179718,131.605629203148,"CDKN1C;PCNA;MCM7;PRIM1;CCNB1;CCND2;CDC45;ORC6;CREB3L3;ORC1;CREB3L4;E2F1;E2F2;POLE;CDC25A;CCNA1;CDK6;TFDP2;CCNE2;POLE2;MCM3;CDK1;MDM2;MCM4;MCM5;MCM2"
"8","TYROBP Causal Network In Microglia WP3945","25/61",4.69191287205481e-10,6.249627945577e-08,0,0,6.05666612492551,130.097252375032,"CD84;RBM47;ITGAM;IGSF6;KCNE3;NCF2;PLEK;GIMAP2;SAMSN1;LYL1;ADAP2;RGS1;HLX;RPS6KA1;ITGAX;NCKAP1L;CYTL1;IL10RA;RNASE6;IL18;TYROBP;BIN2;SFT2D2;C1QC;GAPT"
"9","Pathogenesis Of SARS CoV 2 Mediated By Nsp9 Nsp10 Complex WP4884","11/21",1.92584056798225e-06,0.000106884151523015,0,0,9.54256658595642,125.581588827165,"CD2;ZAP70;HLA-DRB5;IGLL1;CD8A;LCK;HLA-DRA;CD3G;CD247;CD3E;HLA-DRB1"
"10","Hematopoietic Stem Cell Gene Regulation By GABP Alpha Beta Complex WP3657","10/20",9.84719644959445e-06,0.000437215522361994,0,0,8.67086156824782,99.9604995036691,"DNMT1;FLT3;DNMT3A;PTEN;BCL2;DNMT3B;GZMB;TERF2;SMARCA4;ETV6"
"11","Cell Type Dependent Selectivity Of CCK2R Signaling WP3679","7/13",0.000125207588945763,0.00397086924942276,0,0,10.1035927178991,90.7862111155416,"CNR1;GNAQ;ITPR1;CD38;PLCB1;GNAI1;RYR3"
"12","DNA IR Damage And Cellular Response Via ATR WP4016","27/81",1.98982293938035e-08,1.65652759703414e-06,0,0,4.36066373840898,77.3260587988086,"FEN1;PCNA;BRCA1;BRCA2;FOXM1;PPM1D;RECQL4;BRIP1;CDC45;EXO1;CHEK1;RBBP8;E2F1;TOPBP1;CLSPN;FANCI;BARD1;PARP1;FANCA;CDC25C;RAD51;MSH2;FANCD2;RFWD3;MDM2;CDK1;MCM2"
"13","B Cell Receptor Signaling Pathway WP23","29/92",2.50075788464083e-08,1.85056083463422e-06,0,0,4.0164778498926,70.3047773331688,"BLK;PIK3CG;FOXO1;CD79B;CD79A;MAPK8;INPP5D;CD19;RPS6KA1;BLNK;PLCG2;PIP5K1B;MAP2K6;MAP4K1;CR2;SYK;GAB1;GAB2;VAV1;LAT2;PTPRC;TEC;LCK;BTK;REL;PTPN6;PIK3AP1;CARD11;CD22"
"14","Imatinib And Chronic Myeloid Leukemia WP3640","9/20",7.94569714598744e-05,0.00278517594696191,0,0,7.09051326032458,66.936536328123,"BCR;PDGFRA;CSF1R;LYL1;ABCB1;FLT1;KIT;GAB2;ABCG2"
"15","Sebaleic Acid Formation And Metabolism WP5315","3/5",0.00950444484901758,0.106488205725572,0,0,12.9681620839363,60.3797070417491,"FADS2;CYP4F3;FADS1"
"16","IL1 And Megakaryocytes In Obesity WP2865","10/24",7.07447112096884e-05,0.00261755431475847,0,0,6.19208961416125,59.1742881497095,"SELENBP1;TLR1;IL1B;IL18;NLRP3;FCER1A;MMP9;S100A9;HBEGF;TLR2"
"17","Cell Cycle WP179","33/120",1.1426320896982e-07,6.91811792490002e-06,0,0,3.31167822843351,52.93638565023,"CDKN1C;PCNA;MCM7;TTK;PKMYT1;CDC20;CCNB2;CCNB1;CCND2;ORC6;CDC45;ORC1;CHEK1;E2F1;E2F2;BUB1;CDC7;CDC6;CDC25C;CDC25A;SMC1B;CCNA2;CCNA1;CDK6;CCNE2;ESPL1;TFDP2;CDK1;MDM2;MCM3;MCM4;MCM5;MCM2"
"18","Modulators Of TCR Signaling And T Cell Activation WP5072","19/61",7.61512179194446e-06,0.000362262222388215,0,0,3.93265736046485,46.347840080226,"MAP4K1;SH2D1A;RHOH;CD3G;CD3E;CD3D;VAV1;ZAP70;LCK;CD8A;CD5;GRAP2;REL;CD28;LCP2;PTPN6;UBASH3A;CD247;CARD11"
"19","T Cell Receptor Signaling Pathway WP69","22/75",4.52473252566962e-06,0.000231805527853536,0,0,3.61156326358142,44.443724502142,"MAP4K1;VAV3;WAS;ITPR1;CD3G;FOS;GAB2;CD3E;CD3D;VAV1;ZAP70;MAPK8;LCK;CD8A;GRAP2;REL;CD28;PTK2B;LCP2;CD247;ICOS;CARD11"
"20","Genes Associated With The Development Of Rheumatoid Arthritis WP5033","7/18",0.00145411781020382,0.028587719297107,0,0,5.50951272024254,35.9956073171101,"SLC22A4;BLK;CIITA;FCRL3;PADI4;HLA-DRB1;CD244"
"21","Linoleic Acid Metabolism Affected By SARS CoV 2 WP4853","3/6",0.0175476519570027,0.142026155854477,0,0,8.64495899662325,34.9501439258885,"FADS2;ELOVL2;FADS1"
"22","CCL18 Signaling Pathway WP5097","3/6",0.0175476519570027,0.142026155854477,0,0,8.64495899662325,34.9501439258885,"ZEB2;CDH2;PTK2B"
"23","Regulation Of Sister Chromatid Separation At The Metaphase Anaphase Transition WP4240","6/15",0.00271453319631711,0.043044740684457,0,0,5.76972624798712,34.094092901595,"CDC20;CENPE;ESPL1;BUB1B;BUB1;MAD2L1"
"24","PKC Gamma Calcium Signaling Pathway In Ataxia WP4760","8/22",0.00111667322314884,0.0247901455539043,0,0,4.94888090632772,33.6395297554128,"PRKCG;GNA15;GNAQ;ITPR1;CA8;PLCB1;PLCB2;RYR3"
"25","DNA IR Double Strand Breaks And Cellular Response Via ATM WP3959","16/55",9.87983437221752e-05,0.00328998484594843,0,0,3.56186208613393,32.8490227520735,"BLM;DCLRE1C;PCNA;APAF1;PARP1;BRCA1;BRCA2;CDC25C;TERF2;RAD51;EXO1;FANCD2;CHEK1;E2F1;MDM2;TP73"
"26","Allograft Rejection WP2328","23/90",3.3478452836919e-05,0.00131156762290518,0,0,2.98588160027917,30.7683409927948,"CD86;IL10;C1QB;PDGFRA;C1QA;HLA-DRB5;ABCB1;GZMB;TNF;TUBA1B;C5;COL5A1;GNLY;IL1B;CD28;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1;C1QC"
