"","Ens_id","importance","std.error","used","description","Category"
"1","EBF1",3.14792895983547,0.135881949970137,11,"EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]","High"
"2","SNORA12",2.76036146280162,0.200007266498079,11,"small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]","High"
"3","MSI2",2.11343748037424,0.176367771740566,11,"musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]","Medium"
"4","MYO7B",2.0537055797037,0.152079459870987,11,"myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]","Medium"
"5","STAG3",1.96193673399409,0.135175516577205,11,"STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]","Medium"
"6","GRAP",1.83606162065943,0.0958074504029746,11,"GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]","Medium"
"7","ALOX5",1.77120223742995,0.14614925313534,11,"arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]","Medium"
"8","SLC4A1",1.75482556847082,0.112972330170395,11,"solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","Medium"
"9","CELSR2",1.75304524269255,0.0916246747377278,11,"cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]","Medium"
"10","DDX11",1.7326423902256,0.116506827348877,11,"DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]","Medium"
"11","HCP5",1.66767357866006,0.0956705926021484,11,"HLA complex P5 [Source:HGNC Symbol;Acc:HGNC:21659]","Medium"
"12","AGAP1",1.6274323709889,0.137678597277585,11,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]","Medium"
"13","CHRNA7",1.62261895262707,0.0954267146436603,11,"cholinergic receptor nicotinic alpha 7 subunit [Source:HGNC Symbol;Acc:HGNC:1960]","Medium"
"14","ASPM",1.60992631695462,0.118553761921779,11,"assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]","Medium"
"15","RPL23AP53",1.55275428263398,0.100704376250314,11,"ribosomal protein L23a pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:35921]","Small"
"16","FXYD2",1.51424615182452,0.10084121303399,11,"FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]","Small"
"17","SFXN2",1.5001920397865,0.0982727245517424,11,"sideroflexin 2 [Source:HGNC Symbol;Acc:HGNC:16086]","Small"
"18","APOL1",1.4958207391377,0.0686795857065508,11,"apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]","Small"
"19","NRXN3",1.47138674698947,0.0907540938382177,11,"neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]","Small"
"20","PPIP5K1",1.45507329622234,0.0836327821199931,11,"diphosphoinositol pentakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:29023]","Small"
"21","GALNT10",1.42015949433891,0.096777586252999,11,"polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873]","Small"
"22","JAM3",1.40368816108798,0.13276678279236,11,"junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]","Small"
"23","SPAG5",1.39574545236598,0.119548826150909,11,"sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]","Small"
"24","ARHGAP11A",1.3935262232541,0.0870408924000337,11,"Rho GTPase activating protein 11A [Source:HGNC Symbol;Acc:HGNC:15783]","Small"
"25","DDX12P",1.38057494400594,0.100739068058485,11,"DEAD/H-box helicase 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:2737]","Small"
"26","TMEM236",1.37749336328993,0.0968906328017243,11,"transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]","Small"
"27","CSPG4",1.36843338547962,0.152084065291114,11,"chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]","Small"
"28","ZNF492",1.36786593907046,0.0918071047561884,11,"zinc finger protein 492 [Source:HGNC Symbol;Acc:HGNC:23707]","Small"
"29","CD8B",1.36485379414452,0.0664982059844802,11,"CD8 subunit beta [Source:HGNC Symbol;Acc:HGNC:1707]","Small"
"30","NLGN4X",1.35304889988752,0.0977502325735123,11,"neuroligin 4 X-linked [Source:HGNC Symbol;Acc:HGNC:14287]","Small"
"31","ZNF85",1.34408410136584,0.0611602697590365,11,"zinc finger protein 85 [Source:HGNC Symbol;Acc:HGNC:13160]","Small"
"32","HIC2",1.30681482564514,0.0800044390656705,11,"HIC ZBTB transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:18595]","Small"
"33","CD33",1.29855569261028,0.0777263724651681,11,"CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]","Small"
"34","SCG2",1.29723203840263,0.129756291562204,11,"secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]","Small"
"35","GRAPL",1.25520677137494,0.0902839062166955,11,"GRB2 related adaptor protein like [Source:HGNC Symbol;Acc:HGNC:37240]","Small"
"36","BMPR1A",1.2386559880153,0.0605392436887606,11,"bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]","Small"
"37","PRAME",1.23444231979655,0.0949989208830109,11,"PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]","Small"
"38","LEPR",1.23155666183236,0.0878161973763185,11,"leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]","Small"
"39","LRRC37A3",1.2156572618799,0.0833511561435768,11,"leucine rich repeat containing 37 member A3 [Source:HGNC Symbol;Acc:HGNC:32427]","Small"
"40","SEC24D",1.21303059825959,0.0842813679053836,11,"SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]","Small"
"41","ZNF519",1.20196803022621,0.0681025637431863,11,"zinc finger protein 519 [Source:HGNC Symbol;Acc:HGNC:30574]","Small"
"42","ICAM1",1.19846473758377,0.0634667022488311,11,"intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]","Small"
"43","TIGIT",1.19234806983654,0.0829794476046377,11,"T cell immunoreceptor with Ig and ITIM domains [Source:HGNC Symbol;Acc:HGNC:26838]","Small"
"44","FKBP9",1.18681633759387,0.0759216683960891,11,"FKBP prolyl isomerase 9 [Source:HGNC Symbol;Acc:HGNC:3725]","Small"
"45","LILRB3",1.17999454659342,0.0626578609384638,11,"leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607]","Small"
"46","E2F6",1.176935823644,0.103656000494398,11,"E2F transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3120]","Small"
"47","AREG",1.17140706361353,0.0934097912206453,11,"amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]","Small"
"48","HAR1A",1.14340607424984,0.0999815088931258,11,"highly accelerated region 1A [Source:HGNC Symbol;Acc:HGNC:33117]","Small"
"49","LRRC37A",1.13980800624801,0.0336387856654934,11,"leucine rich repeat containing 37A [Source:HGNC Symbol;Acc:HGNC:29069]","Small"
"50","KIF18A",1.13713178126374,0.0849421323330492,11,"kinesin family member 18A [Source:HGNC Symbol;Acc:HGNC:29441]","Small"
"51","ZNF850",1.12770175206598,0.0724301983124766,11,"zinc finger protein 850 [Source:HGNC Symbol;Acc:HGNC:27994]","Small"
"52","GZMA",1.1244040702403,0.0824172631684696,11,"granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]","Small"
"53","RAB3B",1.09596676504879,0.11045125177323,11,"RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]","Small"
"54","FCGR3B",1.09481385317285,0.0559722965870018,11,"Fc gamma receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]","Small"
"55","DDR2",1.07921673500972,0.112088174590973,11,"discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]","Small"
"56","NCF1C",1.07692197502493,0.0551913165951881,11,"neutrophil cytosolic factor 1C pseudogene [Source:HGNC Symbol;Acc:HGNC:32523]","Small"
"57","HR",1.07306758512522,0.0807979608661452,11,"HR lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:5172]","Small"
"58","FAM72A",1.06889980864861,0.0835234802754293,11,"family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]","Small"
"59","AHRR",1.06603880293648,0.0803201889640981,11,"aryl hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346]","Small"
"60","RNASE3",1.04649999441797,0.0626809813225376,11,"ribonuclease A family member 3 [Source:HGNC Symbol;Acc:HGNC:10046]","Small"
"61","PCDHB14",1.03828957667533,0.0502532364253366,11,"protocadherin beta 14 [Source:HGNC Symbol;Acc:HGNC:8685]","Small"
"62","PCDHB13",1.03813777664886,0.0648745522820827,11,"protocadherin beta 13 [Source:HGNC Symbol;Acc:HGNC:8684]","Small"
"63","NEK2",1.0320279152243,0.0602794034273924,11,"NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]","Small"
"64","FAM72B",1.02670581088962,0.0391241837652934,11,"family with sequence similarity 72 member B [Source:HGNC Symbol;Acc:HGNC:24805]","Small"
"65","DIXDC1",0.985265178257485,0.0639465304822247,11,"DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]","Small"
"66","GYPB",0.980751472930954,0.0594667360124939,11,"glycophorin B (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4703]","Small"
"67","CEP170P1",0.963865128436108,0.0576169842356019,11,"centrosomal protein 170 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28364]","Small"
"68","LCT",0.956965325704733,0.0872943217053591,11,"lactase [Source:HGNC Symbol;Acc:HGNC:6530]","Small"
"69","FGF7",0.928398085879358,0.0641815256524746,11,"fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]","Small"
"70","FCGR1A",0.905884091598789,0.0725254264846878,11,"Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]","Small"
"71","RIBC2",0.878706359845398,0.0781223075131645,11,"RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]","Small"
"72","HAR1B",0.830061345328768,0.0727700855697591,11,"highly accelerated region 1B [Source:HGNC Symbol;Acc:HGNC:33118]","Small"
"73","GLUD2",0.820623624924297,0.0800210377079905,11,"glutamate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4336]","Small"
"74","ELN",0.789456186816623,0.0632012903275321,11,"elastin [Source:HGNC Symbol;Acc:HGNC:3327]","Small"
"75","KITLG",0.723153340731648,0.0812574971211774,11,"KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]","Small"
"76","GLI2",0.656999299443825,0.0628786560984726,11,"GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]","Small"
