"","Ens_id","importance","std.error","used","description","Category"
"1","FAM72A",4.31948006117843,0.0627503867732343,11,"family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]","High"
"2","NRXN3",2.29261960705146,0.12822876730407,11,"neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]","Medium"
"3","EBF1",2.21462069081499,0.0738281793003002,11,"EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]","Medium"
"4","CSPG4",2.12356255472152,0.0921700940299115,11,"chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]","Small"
"5","STAG3",2.03279809416713,0.0886127689417167,11,"STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]","Small"
"6","CD44",2.00458013678111,0.0699699844519851,11,"CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]","Small"
"7","JAM3",1.84767752759766,0.0902921327929867,11,"junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]","Small"
"8","ALOX5",1.72642209632067,0.0677641531278561,11,"arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]","Small"
"9","MYO7B",1.67671081964649,0.0691092091706212,11,"myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]","Small"
"10","AGAP1",1.66996749462212,0.121382274754064,11,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]","Small"
"11","HAR1A",1.61969970340486,0.075318530986196,11,"highly accelerated region 1A [Source:HGNC Symbol;Acc:HGNC:33117]","Small"
"12","FAM72B",1.60599962690342,0.0786214054124378,11,"family with sequence similarity 72 member B [Source:HGNC Symbol;Acc:HGNC:24805]","Small"
"13","CD96",1.60037398284384,0.0920927962947139,11,"CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]","Small"
"14","CD33",1.57860314630212,0.0700963595643797,11,"CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]","Small"
"15","BMPR1A",1.57829629303722,0.0664947608779116,11,"bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]","Small"
"16","RGPD2",1.51033194489101,0.079632032759278,11,"RANBP2 like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32415]","Small"
"17","CELSR2",1.49699066821344,0.0436962493419931,11,"cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]","Small"
"18","ELN",1.49290645695308,0.0529873552889455,11,"elastin [Source:HGNC Symbol;Acc:HGNC:3327]","Small"
"19","NLGN4X",1.4570686901399,0.0756551713099103,11,"neuroligin 4 X-linked [Source:HGNC Symbol;Acc:HGNC:14287]","Small"
"20","VNN2",1.38790635859638,0.0465501158526864,11,"vanin 2 [Source:HGNC Symbol;Acc:HGNC:12706]","Small"
"21","TMEM236",1.38656464472987,0.0699563936885433,11,"transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]","Small"
"22","SNORA12",1.37769478445189,0.0794190135517566,11,"small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]","Small"
"23","GRAPL",1.35352903033922,0.0571062222748091,11,"GRB2 related adaptor protein like [Source:HGNC Symbol;Acc:HGNC:37240]","Small"
"24","RPL23AP53",1.33708442300885,0.0894247116207275,11,"ribosomal protein L23a pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:35921]","Small"
"25","AFF3",1.31931087487744,0.0858882006218265,11,"ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]","Small"
"26","OBSCN",1.29259651658051,0.0621612262088663,11,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:HGNC Symbol;Acc:HGNC:15719]","Small"
"27","NCF1",1.27647156709313,0.0526992515400099,11,"neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]","Small"
"28","FCGR3A",1.27552668121544,0.0530985685718388,11,"Fc gamma receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]","Small"
"29","SCML4",1.26617921097825,0.0598235844523927,11,"Scm polycomb group protein like 4 [Source:HGNC Symbol;Acc:HGNC:21397]","Small"
"30","DEFA4",1.26510025561395,0.0686499214055504,11,"defensin alpha 4 [Source:HGNC Symbol;Acc:HGNC:2763]","Small"
"31","ASPM",1.25259592880377,0.0544919136930572,11,"assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]","Small"
"32","ICAM1",1.23559568270517,0.0644047277292159,11,"intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]","Small"
"33","DIXDC1",1.23360155178453,0.0608945509502721,11,"DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]","Small"
"34","NEK2",1.22581406599419,0.0518004145088894,11,"NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]","Small"
"35","RNASE3",1.22513642739579,0.0705327941171325,11,"ribonuclease A family member 3 [Source:HGNC Symbol;Acc:HGNC:10046]","Small"
"36","FMNL1",1.22061965329464,0.0668596601650892,11,"formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]","Small"
"37","AREG",1.1759198802841,0.0951140176112581,11,"amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]","Small"
"38","ARHGEF5",1.1555366890957,0.0974132633802725,11,"Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]","Small"
"39","HCP5",1.14287159367364,0.0638685960489826,11,"HLA complex P5 [Source:HGNC Symbol;Acc:HGNC:21659]","Small"
"40","VIPR1",1.11667378266712,0.0692502537857765,11,"vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]","Small"
"41","FXYD2",1.10686398480379,0.0488549833716147,11,"FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]","Small"
"42","AHRR",1.10421809498471,0.0775901312366166,11,"aryl hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346]","Small"
"43","CD8B",1.09415254171591,0.0538085628981042,11,"CD8 subunit beta [Source:HGNC Symbol;Acc:HGNC:1707]","Small"
"44","ZNF492",1.08645195864783,0.0665921713460496,11,"zinc finger protein 492 [Source:HGNC Symbol;Acc:HGNC:23707]","Small"
"45","LCT",1.07750479435811,0.0566045089280182,11,"lactase [Source:HGNC Symbol;Acc:HGNC:6530]","Small"
"46","NCKAP5",1.07620821425829,0.0584854727186625,11,"NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]","Small"
"47","APOL1",1.06434283939788,0.059446165824219,11,"apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]","Small"
"48","FCGR2B",1.04866195013878,0.0628211382088152,11,"Fc gamma receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]","Small"
"49","NCF1B",1.02377505878837,0.0548418869028907,11,"neutrophil cytosolic factor 1B pseudogene [Source:HGNC Symbol;Acc:HGNC:32522]","Small"
"50","LEPR",1.0147300763273,0.0546801424265236,11,"leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]","Small"
"51","GYPA",0.992741568931752,0.0417610108916183,11,"glycophorin A (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4702]","Small"
"52","KIF18A",0.981216999542739,0.0557317442859281,11,"kinesin family member 18A [Source:HGNC Symbol;Acc:HGNC:29441]","Small"
"53","SLC4A1",0.980484161480315,0.0913701733502145,11,"solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","Small"
"54","KIF26B",0.951345820238915,0.115168619016994,11,"kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]","Small"
"55","APOE",0.936867938376377,0.0459167743694785,11,"apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]","Small"
"56","AR",0.935495452281715,0.0483713173456097,11,"androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]","Small"
"57","FCGR3B",0.933147402263827,0.0537447448801689,11,"Fc gamma receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]","Small"
"58","MSI2",0.931799708503801,0.0638155603123262,11,"musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]","Small"
"59","FCGR1A",0.912088396955131,0.0321341056253907,11,"Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]","Small"
"60","PRKCB",0.896085094617591,0.0539429617165688,11,"protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]","Small"
"61","PRAME",0.88658040474916,0.0602677009976964,11,"PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]","Small"
"62","GZMA",0.885587070599112,0.0452128866529954,11,"granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]","Small"
"63","GLI2",0.866963613759458,0.0632843664931778,11,"GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]","Small"
"64","FCGR2C",0.865498494500396,0.0635156699131113,11,"Fc gamma receptor IIc (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15626]","Small"
"65","CORO1A",0.847573819359631,0.0441462829939167,11,"coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]","Small"
"66","ZNF85",0.828497926661731,0.0784863511678658,11,"zinc finger protein 85 [Source:HGNC Symbol;Acc:HGNC:13160]","Small"
"67","RIBC2",0.822402759725287,0.0568419608183723,11,"RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]","Small"
"68","SEC24D",0.810875184516831,0.0673867636739731,11,"SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]","Small"
"69","ARHGAP15",0.783132612444487,0.0448745030264844,11,"Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]","Small"
"70","MICA",0.775514502608093,0.0608562857381165,11,"MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090]","Small"
"71","LILRB3",0.759649225876067,0.0446836375240973,11,"leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607]","Small"
"72","GKAP1",0.75323931009718,0.0335685099597937,11,"G kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:17496]","Small"
"73","DDX12P",0.753003918370454,0.0580161280300164,11,"DEAD/H-box helicase 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:2737]","Small"
"74","GALNT10",0.736568324579411,0.0491421723201208,11,"polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873]","Small"
"75","GRAP",0.735303884972577,0.0614493172549243,11,"GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]","Small"
"76","PCDHB13",0.715234636688609,0.0254016883504908,11,"protocadherin beta 13 [Source:HGNC Symbol;Acc:HGNC:8684]","Small"
"77","ZNF850",0.711247298946645,0.0462666997859509,11,"zinc finger protein 850 [Source:HGNC Symbol;Acc:HGNC:27994]","Small"
"78","ARHGAP11A",0.710845129690343,0.046680830951063,11,"Rho GTPase activating protein 11A [Source:HGNC Symbol;Acc:HGNC:15783]","Small"
"79","TIGIT",0.670961507695372,0.0475543724692051,11,"T cell immunoreceptor with Ig and ITIM domains [Source:HGNC Symbol;Acc:HGNC:26838]","Small"
"80","HIC2",0.643422396882848,0.040684651765261,11,"HIC ZBTB transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:18595]","Small"
"81","SPAG5",0.635913560812352,0.0522794115218957,11,"sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]","Small"
"82","DDR2",0.52499116224186,0.0287381778171324,11,"discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]","Small"
"83","GTF2H2C",0.515549039661782,0.0300256758641131,11,"GTF2H2 family member C [Source:HGNC Symbol;Acc:HGNC:31394]","Small"
"84","KITLG",0.242222959173103,0.0160678187157183,11,"KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]","Small"
