"Gene Name","Ensembl ID","Chromosome","Gene Type","General Gene Type","Mechanism of Origin","General Mechanism of Origin","Reference(s)"
"ACVR1C","ENSG00000123612","2","protein_coding","protein-coding","human-specific inactivation by retrotransposon insertion","gene loss","10"
"AFF3","ENSG00000144218","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"AGAP1","ENSG00000157985","2","protein_coding","protein-coding","flanking human accelerated region","regulatory region alteration","14"
"ALOX5","ENSG00000012779","10","protein_coding","protein-coding","human-specific isoform","gene structure alteration","18"
"APOE","ENSG00000130203","19","protein_coding","protein-coding","human-specific derived allele","human-specific gene (undefined feature)","15"
"AR","ENSG00000169083","X","protein_coding","protein-coding","human-specific deletion in enhancer","regulatory region alteration","19,27"
"AREG","ENSG00000109321","4","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"ARHGAP11A","ENSG00000198826","15","protein_coding","protein-coding","human-specific gene duplication or copy number variation","gene amplification","9,19,5,23"
"ARHGAP15","ENSG00000075884","2","protein_coding","protein-coding","human-specific gene duplication or expansion","gene amplification","5"
"ARHGAP42","ENSG00000165895","11","protein_coding","protein-coding","human-specific gene duplication or expansion","gene amplification","5"
"ARL17A","ENSG00000185829","17","protein_coding","protein-coding","human-specific gene","human-specific gene (undefined feature)","6,29"
"ASPM","ENSG00000066279","1","protein_coding","protein-coding","human-specific accelerated evolution","gene sequence alteration","30,31,16,29,34,17"
"BMPR1A","ENSG00000107779","10","protein_coding","protein-coding","human-specific gene duplication or loss","gene amplification","3"
"CATSPER2","ENSG00000166762","15","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"CCZ1B","ENSG00000146574","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"CD24","ENSG00000272398","6","protein_coding","protein-coding","lost in chimpanzee","lost in chimpanzee","26"
"CD33","ENSG00000105383","19","protein_coding","protein-coding","human-specific derived allele","human-specific gene (undefined feature)","15"
"CD44","ENSG00000026508","11","protein_coding","protein-coding","high human-specific amino acid substitutions in membrane protein","gene sequence alteration","34"
"CD8B","ENSG00000172116","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"CD96","ENSG00000153283","3","protein_coding","protein-coding","human-specific inactivation by retrotransposon insertion","gene loss","18"
"CDK5RAP2","ENSG00000136861","9","protein_coding","protein-coding","increased positive selection","gene sequence alteration","16"
"CELSR2","ENSG00000143126","1","protein_coding","protein-coding","human-specific gene duplication or loss","gene amplification","3"
"CEP170","ENSG00000143702","1","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"CLTCL1","ENSG00000070371","22","protein_coding","protein-coding","modern human-specific frameshift","gene structure alteration","4"
"CROCC","ENSG00000058453","1","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"CSPG4","ENSG00000173546","15","protein_coding","protein-coding","human-specific gene expansion","gene amplification","39"
