"","Gene.Name","Ensembl.ID","Chromosome","Gene.Type","General.Gene.Type","Mechanism.of.Origin","General.Mechanism.of.Origin","Reference.s."
"1","ACVR1C","ENSG00000123612","2","protein_coding","protein-coding","human-specific inactivation by retrotransposon insertion","gene loss","10"
"2","AFF3","ENSG00000144218","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"7","AREG","ENSG00000109321","4","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"9","ARHGAP15","ENSG00000075884","2","protein_coding","protein-coding","human-specific gene duplication or expansion","gene amplification","5"
"10","ARHGAP42","ENSG00000165895","11","protein_coding","protein-coding","human-specific gene duplication or expansion","gene amplification","5"
"13","BMPR1A","ENSG00000107779","10","protein_coding","protein-coding","human-specific gene duplication or loss","gene amplification","3"
"14","CATSPER2","ENSG00000166762","15","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"16","CD24","ENSG00000272398","6","protein_coding","protein-coding","lost in chimpanzee","lost in chimpanzee","26"
"18","CD44","ENSG00000026508","11","protein_coding","protein-coding","high human-specific amino acid substitutions in membrane protein","gene sequence alteration","34"
"19","CD8B","ENSG00000172116","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"20","CD96","ENSG00000153283","3","protein_coding","protein-coding","human-specific inactivation by retrotransposon insertion","gene loss","18"
"23","CEP170","ENSG00000143702","1","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"24","CLTCL1","ENSG00000070371","22","protein_coding","protein-coding","modern human-specific frameshift","gene structure alteration","4"
"28","DDX12P","ENSG00000214826","12","unprocessed_pseudogene","pseudogene","human-specific gene amplification from similar ncRNA","gene amplification","2"
"29","DEFA4","ENSG00000164821","8","protein_coding","protein-coding","human-specific gene","human-specific gene (undefined feature)","25"
"30","DPY19L2","ENSG00000177990","12","protein_coding","protein-coding","human-specific gene duplication","gene amplification","22"
"31","E2F6","ENSG00000169016","2","protein_coding","protein-coding","human-specific gene amplification","gene amplification","2,3,5"
"32","EBF1","ENSG00000164330","5","protein_coding","protein-coding","human-specific derived allele","human-specific gene (undefined feature)","15"
"33","ECHDC3","ENSG00000134463","10","protein_coding","protein-coding","modern human-specific coding change","gene sequence alteration","4"
"34","ERCC5","ENSG00000134899","13","protein_coding","protein-coding","modern human-specific coding change","gene sequence alteration","4"
"35","FAM153A","ENSG00000170074","5","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9,6"
"36","FAM156A","ENSG00000268350","X","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"40","FCGR1A","ENSG00000150337","1","protein_coding","protein-coding","human-specific gene expansion","gene amplification","9,2,26,3,5,23"
"41","FCGR2C","ENSG00000244682","1","polymorphic_pseudogene","protein-coding","human-specific gene duplication","gene amplification","9"
"42","FCGR3A","ENSG00000203747","1","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"44","FKBP9","ENSG00000122642","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"45","FMNL1","ENSG00000184922","17","protein_coding","protein-coding","modern human-specific frameshift","gene structure alteration","4"
"46","FXYD2","ENSG00000137731","11","protein_coding","protein-coding","human-specific gene duplication or expansion","gene amplification","5"
"47","FZD8","ENSG00000177283","10","protein_coding","protein-coding","flanking human accelerated region","regulatory region alteration","19,14,22"
"48","GADD45G","ENSG00000130222","9","protein_coding","protein-coding","human-specific loss of enhancer","regulatory region alteration","19,16,27"
"49","GRAPL","ENSG00000189152","17","protein_coding","protein-coding","human-specific gene","human-specific gene (undefined feature)","6"
"50","GTF2H2C","ENSG00000183474","5","protein_coding","protein-coding","human-specific gene or paralog","gene amplification","54"
"51","GTF2I","ENSG00000263001","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"53","GYPA","ENSG00000170180","4","protein_coding","protein-coding","human-specific accelerated evolution","gene sequence alteration","31"
"55","GZMA","ENSG00000145649","5","protein_coding","protein-coding","human-specific exaptation of transposable element","gene structure alteration","11"
"58","HR","ENSG00000168453","8","protein_coding","protein-coding","modern human-specific nucleotide substitutions","gene sequence alteration","4"
"61","LCT","ENSG00000115850","2","protein_coding","protein-coding","increased positive selection","gene sequence alteration","21"
"63","LRRC37A3","ENSG00000176809","17","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"64","MRC1","ENSG00000260314","10","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7,26"
"66","MST1","ENSG00000173531","3","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9,26,3,5"
"67","MYO7B","ENSG00000169994","2","protein_coding","protein-coding","modern human-specific coding change","gene sequence alteration","4"
"68","NBEA","ENSG00000172915","13","protein_coding","protein-coding","lost in chimpanzee","lost in chimpanzee","26,5"
"69","NBPF1","ENSG00000219481","1","protein_coding","protein-coding","human-specific gene expansion","gene amplification","43,47"
"71","NBPF14","ENSG00000270629","1","protein_coding","protein-coding","human-specific gene duplication or expansion","gene amplification","5,23"
"72","NCF1","ENSG00000158517","7","protein_coding","protein-coding","human-specific gene expansion","gene amplification","9,26,5,23"
"74","NEK2","ENSG00000117650","1","protein_coding","protein-coding","human-specific gene amplification","gene amplification","2,3,5,24"
"75","NLGN4X","ENSG00000146938","X","protein_coding","protein-coding","human-specific gene","human-specific gene (undefined feature)","25"
"76","NOMO3","ENSG00000103226","16","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"77","NRXN3","ENSG00000021645","14","protein_coding","protein-coding","human-specific inactivation by retrotransposon insertion","gene loss","18"
"78","NUDT4","ENSG00000173598","12","protein_coding","protein-coding","human-specific gene duplication or loss","gene amplification","3"
"80","OPHN1","ENSG00000079482","X","protein_coding","protein-coding","human-specific retrotransposon insertion","gene structure alteration","18"
"83","PCDHB14","ENSG00000120327","5","protein_coding","protein-coding","high human-specific amino acid substitutions in membrane protein","gene sequence alteration","34"
"84","PDCD4","ENSG00000150593","10","protein_coding","protein-coding","modern human-specific substitution in flanking region","regulatory region alteration","4"
"85","PDGFD","ENSG00000170962","11","protein_coding","protein-coding","human-specific gene duplication or loss","gene amplification","3"
"88","PI4KAP2","ENSG00000183506","22","transcribed_unprocessed_pseudogene","pseudogene","human-specific gene duplication","gene amplification","9"
"89","PKD1","ENSG00000008710","16","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"92","PRKCH","ENSG00000027075","14","protein_coding","protein-coding","modern human-specific nucleotide substitutions","gene sequence alteration","4"
"94","RANBP2","ENSG00000153201","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","22"
"96","RGPD3","ENSG00000153165","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7,6"
"97","RIBC2","ENSG00000128408","22","protein_coding","protein-coding","modern human-specific frameshift","gene structure alteration","4"
"98","RNASE3","ENSG00000169397","14","protein_coding","protein-coding","lost in chimpanzee","lost in chimpanzee","26"
"99","SCML4","ENSG00000146285","6","protein_coding","protein-coding","modern human-specific coding change","gene sequence alteration","4"
"102","SLC29A4","ENSG00000164638","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"103","SLC4A1","ENSG00000004939","17","protein_coding","protein-coding","modern human-specific nucleotide substitutions","gene sequence alteration","4"
"104","SNORA12","ENSG00000212464","10","snoRNA","small non-coding","modern human-specific substitution in flanking region","regulatory region alteration","4"
"105","SPAG5","ENSG00000076382","17","protein_coding","protein-coding","modern human-specific amino acid substitutions","gene sequence alteration","16"
"107","STAG3","ENSG00000066923","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"108","STAG3L1","ENSG00000205583","7","transcribed_unprocessed_pseudogene","pseudogene","human-specific gene duplication or expansion","gene amplification","5,6,23"
"109","TBC1D8B","ENSG00000133138","X","protein_coding","protein-coding","human-specific retrotransposon insertion","gene structure alteration","18"
"110","TCF7L2","ENSG00000148737","10","protein_coding","protein-coding","human-specific derived allele","human-specific gene (undefined feature)","15"
"114","TMEM183A","ENSG00000163444","1","protein_coding","protein-coding","human-specific de novo originated protein-coding gene with increased positive selection","de novo origin","43"
"116","TNFRSF1B","ENSG00000028137","1","protein_coding","protein-coding","human-specific exon gain from retrotransposon","gene structure alteration","51,11,18"
"119","VNN2","ENSG00000112303","6","protein_coding","protein-coding","human-specific pseudogene","new non-coding gene","37"
"120","WASH2P","ENSG00000146556","2","transcribed_unprocessed_pseudogene","pseudogene","human-specific gene duplication or copy number variation","gene amplification","7,5,6,23"
"121","ZNF492","ENSG00000229676","19","protein_coding","protein-coding","human-specific gene or paralog","gene amplification","54"
"122","ZNF850","ENSG00000267041","19","protein_coding","protein-coding","human-specific gene loss or pseudogene","gene loss","36"
