"","importance","Ens_id","description","Category"
"ENSG00000259112",164.920213282765,"NDUFC2-KCTD14","NDUFC2-KCTD14 readthrough [Source:HGNC Symbol;Acc:HGNC:42956]","High"
"ENSG00000128510",117.612152072132,"CPA4","carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]","High"
"ENSG00000249884",71.1434870595266,"RNF103-CHMP3","RNF103-CHMP3 readthrough [Source:HGNC Symbol;Acc:HGNC:38847]","Medium"
"ENSG00000255152",55.2174196966539,"MSH5-SAPCD1","MSH5-SAPCD1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41994]","Medium"
"ENSG00000026036",38.1252925673884,"RTEL1-TNFRSF6B","RTEL1-TNFRSF6B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44095]","Medium"
"ENSG00000255072",25.7366164561604,"PIGY","phosphatidylinositol glycan anchor biosynthesis class Y [Source:HGNC Symbol;Acc:HGNC:28213]","Small"
"ENSG00000152049",21.141788777098,"KCNE4","potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:6244]","Small"
"ENSG00000207067",15.8335440683039,"SNORA72","small nucleolar RNA, H/ACA box 72 [Source:HGNC Symbol;Acc:HGNC:10234]","Small"
"ENSG00000207304",11.9339255444822,"SNORA8","small nucleolar RNA, H/ACA box 8 [Source:HGNC Symbol;Acc:HGNC:32596]","Small"
"ENSG00000204308",10.1921847082893,"RNF5","ring finger protein 5 [Source:HGNC Symbol;Acc:HGNC:10068]","Small"
"ENSG00000185070",7.95002911035688,"FLRT2","fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]","Small"
"ENSG00000164294",6.14107542702128,"GPX8","glutathione peroxidase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33100]","Small"
"ENSG00000105509",5.80640715352017,"HAS1","hyaluronan synthase 1 [Source:HGNC Symbol;Acc:HGNC:4818]","Small"
"ENSG00000133878",5.46871457135445,"DUSP26","dual specificity phosphatase 26 [Source:HGNC Symbol;Acc:HGNC:28161]","Small"
