"","Gene.Name","Ensembl.ID","Chromosome","Gene.Type","General.Gene.Type","Mechanism.of.Origin","General.Mechanism.of.Origin","Reference.s."
"2","BMPR1A","ENSG00000107779","10","protein_coding","protein-coding","human-specific gene duplication or loss","gene amplification","3"
"6","DPY19L2","ENSG00000177990","12","protein_coding","protein-coding","human-specific gene duplication","gene amplification","22"
"8","FXYD2","ENSG00000137731","11","protein_coding","protein-coding","human-specific gene duplication or expansion","gene amplification","5"
"9","FZD8","ENSG00000177283","10","protein_coding","protein-coding","flanking human accelerated region","regulatory region alteration","19,14,22"
"13","LCT","ENSG00000115850","2","protein_coding","protein-coding","increased positive selection","gene sequence alteration","21"
"15","MYO7B","ENSG00000169994","2","protein_coding","protein-coding","modern human-specific coding change","gene sequence alteration","4"
"16","NRXN3","ENSG00000021645","14","protein_coding","protein-coding","human-specific inactivation by retrotransposon insertion","gene loss","18"
"19","RGPD2","ENSG00000185304","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"20","RGPD3","ENSG00000153165","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7,6"
"24","SLC29A4","ENSG00000164638","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"26","STAG3","ENSG00000066923","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
