"","importance","Ens_id","description","Category"
"ENSG00000164330",0.147878090947552,"EBF1","EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]","High"
"ENSG00000222014",0.0661491676101682,"RAB6C","RAB6C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16525]","Medium"
"ENSG00000169994",0.0457013110504044,"MYO7B","myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]","Medium"
"ENSG00000066923",0.0442580515326666,"STAG3","STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]","Medium"
"ENSG00000166086",0.0367402340877991,"JAM3","junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]","Medium"
"ENSG00000185304",0.0323111782702567,"RGPD2","RANBP2 like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32415]","Medium"
"ENSG00000153283",0.0262333086923247,"CD96","CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]","Small"
"ENSG00000176771",0.022337048192094,"NCKAP5","NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]","Small"
"ENSG00000012779",0.0211620304431907,"ALOX5","arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]","Small"
"ENSG00000107779",0.019684522553944,"BMPR1A","bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]","Small"
"ENSG00000153165",0.0190000987323141,"RGPD3","RANBP2 like and GRIP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:32416]","Small"
"ENSG00000150961",0.0187376763533648,"SEC24D","SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]","Small"
"ENSG00000137731",0.0181534246825662,"FXYD2","FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]","Small"
"ENSG00000196550",0.0170878953631248,"FAM72A","family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]","Small"
"ENSG00000148483",0.0167085583344007,"TMEM236","transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]","Small"
"ENSG00000212464",0.0157522203265084,"SNORA12","small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]","Small"
"ENSG00000102879",0.015717973530394,"CORO1A","coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]","Small"
"ENSG00000021645",0.0119064108385528,"NRXN3","neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]","Small"
"ENSG00000158517",0.0118196553320621,"NCF1","neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]","Small"
"ENSG00000150764",0.0110272624986685,"DIXDC1","DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]","Small"
"ENSG00000154016",0.0104030507898812,"GRAP","GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]","Small"
"ENSG00000143126",0.00886450247162686,"CELSR2","cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]","Small"
"ENSG00000196275",0.0087078543589842,"GTF2IRD2","GTF2I repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30775]","Small"
"ENSG00000165178",0.00841709286055445,"NCF1C","neutrophil cytosolic factor 1C pseudogene [Source:HGNC Symbol;Acc:HGNC:32523]","Small"
"ENSG00000184922",0.00687499650337135,"FMNL1","formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]","Small"
"ENSG00000146938",0.00666349140732124,"NLGN4X","neuroligin 4 X-linked [Source:HGNC Symbol;Acc:HGNC:14287]","Small"
"ENSG00000106133",0.00632604008039154,"NSUN5P2","NSUN5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16609]","Small"
"ENSG00000114796",0.00631984771728911,"KLHL24","kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]","Small"
"ENSG00000144218",0.00618579513390841,"AFF3","ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]","Small"
