"","importance","Ens_id","description","Category"
"ENSG00000196092",41.1180302806328,"PAX5","paired box 5 [Source:HGNC Symbol;Acc:HGNC:8619]","High"
"ENSG00000164100",26.7668273884543,"NDST3","N-deacetylase and N-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:7682]","High"
"ENSG00000122012",16.8167652496686,"SV2C","synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:HGNC:30670]","Medium"
"ENSG00000240694",13.5866364002577,"PNMA2","PNMA family member 2 [Source:HGNC Symbol;Acc:HGNC:9159]","Medium"
"ENSG00000178217",10.2435790184554,"SH2D4B","SH2 domain containing 4B [Source:HGNC Symbol;Acc:HGNC:31440]","Medium"
"ENSG00000177455",9.71617576268873,"CD19","CD19 molecule [Source:HGNC Symbol;Acc:HGNC:1633]","Medium"
"ENSG00000092853",8.71724475156419,"CLSPN","claspin [Source:HGNC Symbol;Acc:HGNC:19715]","Medium"
"ENSG00000128218",8.62006605822135,"VPREB3","V-set pre-B cell surrogate light chain 3 [Source:HGNC Symbol;Acc:HGNC:12710]","Medium"
"ENSG00000100721",7.4503431140619,"TCL1A","TCL1 family AKT coactivator A [Source:HGNC Symbol;Acc:HGNC:11648]","Small"
"ENSG00000139618",7.41553324057371,"BRCA2","BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]","Small"
"ENSG00000155629",5.31636997428512,"PIK3AP1","phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]","Small"
"ENSG00000252010",5.12972604390061,"SCARNA5","small Cajal body-specific RNA 5 [Source:HGNC Symbol;Acc:HGNC:32561]","Small"
"ENSG00000101773",4.15340072376854,"RBBP8","RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]","Small"
"ENSG00000079263",4.14016164597824,"SP140","SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]","Small"
"ENSG00000117143",3.88790711347853,"UAP1","UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]","Small"
"ENSG00000007312",3.34928461252422,"CD79B","CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]","Small"
"ENSG00000163864",3.15757938554393,"NMNAT3","nicotinamide nucleotide adenylyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:20989]","Small"
"ENSG00000162458",3.03388956883114,"FBLIM1","filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]","Small"
"ENSG00000201772",2.90734962798932,"SNORA5C","small nucleolar RNA, H/ACA box 5C [Source:HGNC Symbol;Acc:HGNC:32590]","Small"
"ENSG00000264229",2.80618418734649,"RNU4ATAC","RNA, U4atac small nuclear [Source:HGNC Symbol;Acc:HGNC:34016]","Small"
"ENSG00000189057",2.76836202276977,"FAM111B","FAM111 trypsin like peptidase B [Source:HGNC Symbol;Acc:HGNC:24200]","Small"
"ENSG00000197119",2.49456020225906,"SLC25A29","solute carrier family 25 member 29 [Source:HGNC Symbol;Acc:HGNC:20116]","Small"
"ENSG00000238795",2.44009238981631,"SCARNA12","small Cajal body-specific RNA 12 [Source:HGNC Symbol;Acc:HGNC:32569]","Small"
"ENSG00000102312",2.30725489293736,"PORCN","porcupine O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:17652]","Small"
"ENSG00000156011",2.18187855347088,"PSD3","pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]","Small"
"ENSG00000242125",2.10960731112266,"SNHG3","small nucleolar RNA host gene 3 [Source:HGNC Symbol;Acc:HGNC:10118]","Small"
"ENSG00000004468",2.10027491597945,"CD38","CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]","Small"
"ENSG00000262664",2.09890401855533,"OVCA2","OVCA2 serine hydrolase domain containing [Source:HGNC Symbol;Acc:HGNC:24203]","Small"
"ENSG00000135862",2.01720068402084,"LAMC1","laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]","Small"
"ENSG00000196689",1.77745683812107,"TRPV1","transient receptor potential cation channel subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:12716]","Small"
"ENSG00000170365",1.77383139890494,"SMAD1","SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]","Small"
"ENSG00000175471",1.46976893248928,"MCTP1","multiple C2 and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26183]","Small"
"ENSG00000103995",1.35900781158083,"CEP152","centrosomal protein 152 [Source:HGNC Symbol;Acc:HGNC:29298]","Small"
"ENSG00000219200",1.31209920780871,"RNASEK","ribonuclease K [Source:HGNC Symbol;Acc:HGNC:33911]","Small"
"ENSG00000010327",1.30302522331799,"STAB1","stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]","Small"
"ENSG00000172264",1.29308299843029,"MACROD2","mono-ADP ribosylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:16126]","Small"
"ENSG00000114757",1.26706365756477,"PEX5L","peroxisomal biogenesis factor 5 like [Source:HGNC Symbol;Acc:HGNC:30024]","Small"
"ENSG00000206838",1.19815911904499,"SNORA5A","small nucleolar RNA, H/ACA box 5A [Source:HGNC Symbol;Acc:HGNC:32588]","Small"
"ENSG00000221829",1.19298114641325,"FANCG","FA complementation group G [Source:HGNC Symbol;Acc:HGNC:3588]","Small"
"ENSG00000140488",1.09229569666228,"CELF6","CUGBP Elav-like family member 6 [Source:HGNC Symbol;Acc:HGNC:14059]","Small"
"ENSG00000173599",1.03732587728174,"PC","pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]","Small"
"ENSG00000242852",0.935746089630437,"ZNF709","zinc finger protein 709 [Source:HGNC Symbol;Acc:HGNC:20629]","Small"
"ENSG00000188536",0.817416995019503,"HBA2","hemoglobin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:4824]","Small"
