"","Feature","Gain","Cover","Frequency","description","Importance"
"1","FAM72A",0.319148401737946,0.138748512027896,0.0731225296442688,"family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]",0.319148401737946
"2","ELN",0.0755010264334402,0.0352945129848918,0.0138339920948617,"elastin [Source:HGNC Symbol;Acc:HGNC:3327]",0.0755010264334402
"3","AR",0.0715298562506814,0.0438858347733058,0.0217391304347826,"androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]",0.0715298562506814
"4","TMEM236",0.0549433036557171,0.0607606987035286,0.0375494071146245,"transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]",0.0549433036557171
"5","NRXN3",0.0460807355773562,0.0520503176038539,0.0375494071146245,"neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]",0.0460807355773562
"6","KITLG",0.0396692422149511,0.0375061749862336,0.0256916996047431,"KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]",0.0396692422149511
"7","GLI2",0.0286491379476305,0.0253240932760841,0.0217391304347826,"GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]",0.0286491379476305
"8","EBF1",0.0264516566552734,0.0363505697050529,0.0256916996047431,"EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]",0.0264516566552734
"9","SPAG5",0.0205818322138007,0.0148671869642407,0.00790513833992095,"sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]",0.0205818322138007
"10","AFF3",0.0198704373637384,0.0140346716523023,0.0118577075098814,"ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]",0.0198704373637384
"11","CD8B",0.0151405651118834,0.0205487734401902,0.00988142292490119,"CD8 subunit beta [Source:HGNC Symbol;Acc:HGNC:1707]",0.0151405651118834
"12","RGPD2",0.0149317540644794,0.0238564670176541,0.0256916996047431,"RANBP2 like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32415]",0.0149317540644794
"13","SEC24D",0.0147690584276203,0.0241283353680362,0.0237154150197628,"SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]",0.0147690584276203
"14","APOL1",0.014196186628564,0.0075712723293012,0.0118577075098814,"apolipoprotein L1 [Source:HGNC Symbol;Acc:HGNC:618]",0.014196186628564
"15","CD44",0.0125986511662523,0.0109801757605,0.00988142292490119,"CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]",0.0125986511662523
"16","FAM72B",0.0119946189716483,0.0260875658291257,0.0375494071146245,"family with sequence similarity 72 member B [Source:HGNC Symbol;Acc:HGNC:24805]",0.0119946189716483
"17","CSPG4",0.0114074546561478,0.0115668803185424,0.0118577075098814,"chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]",0.0114074546561478
"18","NCKAP5",0.0107484454152407,0.0106420436981734,0.0158102766798419,"NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]",0.0107484454152407
