"","Feature","Gain","Cover","Frequency","description","Importance"
"1","EBF1",0.175526990392361,0.105236464046872,0.0438079191238416,"EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]",0.175526990392361
"2","RAB6C",0.0955445738370051,0.0690612628545021,0.0391743892165122,"RAB6C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16525]",0.0955445738370051
"3","RGPD3",0.0300403877855947,0.0273828234996929,0.0185341196293176,"RANBP2 like and GRIP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:32416]",0.0300403877855947
"4","MYO7B",0.0297659656733499,0.0341098295727735,0.0219039595619208,"myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]",0.0297659656733499
"5","AREG",0.0296681012667521,0.0300013712163869,0.025273799494524,"amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]",0.0296681012667521
"6","RGPD2",0.0249971276363737,0.0254548029812274,0.0155855096882898,"RANBP2 like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32415]",0.0249971276363737
"7","NCKAP5",0.024959760223355,0.0353126476548242,0.0202190395956192,"NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]",0.024959760223355
"8","TMEM236",0.024145048439035,0.0367420040497371,0.027379949452401,"transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]",0.024145048439035
"9","SNORA12",0.022899030672488,0.0140256849919357,0.0193765796124684,"small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]",0.022899030672488
"10","BMPR1A",0.0210197491865436,0.0321552937595602,0.0235888795282224,"bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]",0.0210197491865436
"11","FAM72D",0.020733398521398,0.0136783464686588,0.012636899747262,"family with sequence similarity 72 member D [Source:HGNC Symbol;Acc:HGNC:33593]",0.020733398521398
"12","FAM72A",0.0206609137102215,0.0279263385394372,0.0383319292333614,"family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]",0.0206609137102215
"13","NCF1",0.0201646352280162,0.0190809516312855,0.0139005897219882,"neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]",0.0201646352280162
"14","LRRC37A",0.0193576646392398,0.0215871969549459,0.0139005897219882,"leucine rich repeat containing 37A [Source:HGNC Symbol;Acc:HGNC:29069]",0.0193576646392398
"15","DDX11",0.0164226898726962,0.0157619460175179,0.014743049705139,"DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]",0.0164226898726962
"16","AR",0.013649855141641,0.0169112764348613,0.0155855096882898,"androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]",0.013649855141641
"17","NRXN3",0.0133996518542081,0.0134237440666262,0.016849199663016,"neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]",0.0133996518542081
