"","Feature","Gain","Cover","Frequency","description","Importance"
"1","EBF1",0.353567119163059,0.273007305547821,0.149019607843137,"EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]",0.353567119163059
"2","MSI2",0.0710126070509027,0.118923449467037,0.0450980392156863,"musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]",0.0710126070509027
"3","DDX11",0.0573550342399131,0.0288558966683268,0.0196078431372549,"DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]",0.0573550342399131
"4","GRAP",0.0561583512519986,0.0279188197295714,0.0470588235294118,"GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]",0.0561583512519986
"5","GLUD2",0.055254323641206,0.0414477700256843,0.0333333333333333,"glutamate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4336]",0.055254323641206
"6","SNORA12",0.0503535183777671,0.023803689461074,0.0509803921568627,"small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]",0.0503535183777671
"7","AGAP1",0.0416815771330919,0.0211852808557606,0.0333333333333333,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]",0.0416815771330919
"8","SPAG5",0.0391830459256798,0.00742918053544725,0.00980392156862745,"sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]",0.0391830459256798
"9","CEP170P1",0.0352621758060149,0.0406487657366484,0.0196078431372549,"centrosomal protein 170 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28364]",0.0352621758060149
"10","PRAME",0.0314666138688762,0.0217575566080712,0.0431372549019608,"PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]",0.0314666138688762
"11","DDR2",0.0236705008163194,0.0185007092918154,0.0431372549019608,"discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]",0.0236705008163194
"12","GRAPL",0.0221283660415666,0.0085640423602652,0.0156862745098039,"GRB2 related adaptor protein like [Source:HGNC Symbol;Acc:HGNC:37240]",0.0221283660415666
"13","ARHGAP11A",0.0156106587046589,0.0412841633927976,0.00980392156862745,"Rho GTPase activating protein 11A [Source:HGNC Symbol;Acc:HGNC:15783]",0.0156106587046589
"14","ALOX5",0.0117390235442471,0.0131520468295147,0.0215686274509804,"arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]",0.0117390235442471
"15","RAB3B",0.0109042607110325,0.00487780354574834,0.00980392156862745,"RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]",0.0109042607110325
"16","STAG3",0.00954464626387632,0.0218605899011712,0.00588235294117647,"STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]",0.00954464626387632
"17","JAM3",0.00805671448470307,0.0250536762841908,0.00784313725490196,"junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]",0.00805671448470307
"18","HIC2",0.00800408643770254,0.0447064392555421,0.00980392156862745,"HIC ZBTB transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:18595]",0.00800408643770254
"19","FXYD2",0.00770079303120837,0.00412744971289651,0.00784313725490196,"FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]",0.00770079303120837
"20","ZNF85",0.00718805551552782,0.00571854491441713,0.0137254901960784,"zinc finger protein 85 [Source:HGNC Symbol;Acc:HGNC:13160]",0.00718805551552782
"21","SCG2",0.00685312818003927,0.0140413446128073,0.0411764705882353,"secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]",0.00685312818003927
"22","RIBC2",0.00595325797027502,0.00111317438695688,0.00588235294117647,"RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]",0.00595325797027502
"23","ZNF492",0.00590253447082078,0.00460188485247879,0.0156862745098039,"zinc finger protein 492 [Source:HGNC Symbol;Acc:HGNC:23707]",0.00590253447082078
"24","TIGIT",0.00412572077729734,0.00974546268864681,0.0176470588235294,"T cell immunoreceptor with Ig and ITIM domains [Source:HGNC Symbol;Acc:HGNC:26838]",0.00412572077729734
"25","MYO7B",0.00398543543953452,0.00963310606238406,0.00588235294117647,"myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]",0.00398543543953452
"26","GYPA",0.00376458586986689,0.00862592397300327,0.00980392156862745,"glycophorin A (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4702]",0.00376458586986689
"27","CELSR2",0.00375987884029038,0.0138467548737332,0.0235294117647059,"cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]",0.00375987884029038
"28","AHRR",0.00347891175519593,0.00379273880433163,0.00588235294117647,"aryl hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346]",0.00347891175519593
"29","TMEM236",0.00337999242404358,0.0018438585210476,0.00784313725490196,"transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]",0.00337999242404358
"30","CD8B",0.00336310181318055,0.00236805807497504,0.00392156862745098,"CD8 subunit beta [Source:HGNC Symbol;Acc:HGNC:1707]",0.00336310181318055
"31","LCT",0.00312443207448125,0.013442182793852,0.00392156862745098,"lactase [Source:HGNC Symbol;Acc:HGNC:6530]",0.00312443207448125
"32","SLC4A1",0.00244244905231486,0.00606444450259584,0.0215686274509804,"solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]",0.00244244905231486
"33","PCDHB13",0.00225707591203493,0.00430359408745889,0.0117647058823529,"protocadherin beta 13 [Source:HGNC Symbol;Acc:HGNC:8684]",0.00225707591203493
"34","NCF1C",0.00217466503510512,0.00661898794447444,0.00588235294117647,"neutrophil cytosolic factor 1C pseudogene [Source:HGNC Symbol;Acc:HGNC:32523]",0.00217466503510512
