"","importance","Ens_id","description","Category"
"ENSG00000066230",0.0897337177279744,"SLC9A3","solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073]","High"
"ENSG00000100197",0.0592740810040519,"CYP2D6","cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]","High"
"ENSG00000095585",0.0569991717924364,"BLNK","B cell linker [Source:HGNC Symbol;Acc:HGNC:14211]","High"
"ENSG00000012124",0.0475647793134948,"CD22","CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]","High"
"ENSG00000026036",0.0384923690392733,"RTEL1-TNFRSF6B","RTEL1-TNFRSF6B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44095]","Medium"
"ENSG00000007312",0.0378809267637928,"CD79B","CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]","Medium"
"ENSG00000010438",0.0373977751114716,"PRSS3","serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]","Medium"
"ENSG00000013293",0.0359272167963376,"SLC7A14","solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]","Medium"
"ENSG00000050405",0.0258922008946363,"LIMA1","LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]","Medium"
"ENSG00000104848",0.0234732523017341,"KCNA7","potassium voltage-gated channel subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:6226]","Medium"
"ENSG00000100721",0.0230292989055318,"TCL1A","TCL1 family AKT coactivator A [Source:HGNC Symbol;Acc:HGNC:11648]","Medium"
"ENSG00000101680",0.0191727579994557,"LAMA1","laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]","Medium"
"ENSG00000101144",0.0180694186358513,"BMP7","bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]","Medium"
"ENSG00000101082",0.0174837907468134,"SLA2","Src like adaptor 2 [Source:HGNC Symbol;Acc:HGNC:17329]","Small"
"ENSG00000105612",0.016760466492195,"DNASE2","deoxyribonuclease 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:2960]","Small"
"ENSG00000082126",0.0153754942719939,"MPP4","MAGUK p55 scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:13680]","Small"
"ENSG00000109458",0.0150708256073289,"GAB1","GRB2 associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]","Small"
"ENSG00000084453",0.0145020894596793,"SLCO1A2","solute carrier organic anion transporter family member 1A2 [Source:HGNC Symbol;Acc:HGNC:10956]","Small"
"ENSG00000053702",0.0124172479239666,"NRIP2","nuclear receptor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23078]","Small"
"ENSG00000108179",0.0116805649248413,"PPIF","peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]","Small"
"ENSG00000099194",0.0111395391431786,"SCD","stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]","Small"
"ENSG00000072682",0.0110290126881395,"P4HA2","prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]","Small"
"ENSG00000065675",0.00930330222855651,"PRKCQ","protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]","Small"
"ENSG00000086967",0.00900791324001673,"MYBPC2","myosin binding protein C2 [Source:HGNC Symbol;Acc:HGNC:7550]","Small"
"ENSG00000086300",0.00839327600695575,"SNX10","sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]","Small"
"ENSG00000019582",0.00695003642912182,"CD74","CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]","Small"
"ENSG00000100351",0.00657202505272254,"GRAP2","GRB2 related adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:4563]","Small"
"ENSG00000105392",0.00645917999335832,"CRX","cone-rod homeobox [Source:HGNC Symbol;Acc:HGNC:2383]","Small"
"ENSG00000058091",0.00625165630746362,"CDK14","cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883]","Small"
"ENSG00000099256",0.00584075191937377,"PRTFDC1","phosphoribosyl transferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23333]","Small"
"ENSG00000107147",0.00569891609942301,"KCNT1","potassium sodium-activated channel subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:18865]","Small"
"ENSG00000078053",0.0053892480582084,"AMPH","amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]","Small"
"ENSG00000001561",0.00525409239505717,"ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]","Small"
"ENSG00000103647",0.00516258579340054,"CORO2B","coronin 2B [Source:HGNC Symbol;Acc:HGNC:2256]","Small"
"ENSG00000083123",0.00503067167237769,"BCKDHB","branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]","Small"
"ENSG00000101421",0.00494776879563148,"CHMP4B","charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]","Small"
"ENSG00000106809",0.00461379432793922,"OGN","osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]","Small"
"ENSG00000013297",0.00436547589451934,"CLDN11","claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]","Small"
"ENSG00000099977",0.00432910611481993,"DDT","D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]","Small"
"ENSG00000058085",0.00417044272550902,"LAMC2","laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]","Small"
"ENSG00000083807",0.00407143207798191,"SLC27A5","solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]","Small"
"ENSG00000105851",0.00401869721269135,"PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]","Small"
"ENSG00000076662",0.00396131703342573,"ICAM3","intercellular adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:5346]","Small"
"ENSG00000100344",0.003421786187015,"PNPLA3","patatin like phospholipase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18590]","Small"
"ENSG00000073598",0.00295388270187797,"FNDC8","fibronectin type III domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25286]","Small"
"ENSG00000107438",0.00286455632785983,"PDLIM1","PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]","Small"
"ENSG00000046651",0.00278977284911701,"OFD1","OFD1 centriole and centriolar satellite protein [Source:HGNC Symbol;Acc:HGNC:2567]","Small"
"ENSG00000007171",0.00272924365432758,"NOS2","nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]","Small"
"ENSG00000048028",0.00263676732329717,"USP28","ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625]","Small"
"ENSG00000106537",0.00262522281773231,"TSPAN13","tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]","Small"
"ENSG00000008323",0.00251813592779041,"PLEKHG6","pleckstrin homology and RhoGEF domain containing G6 [Source:HGNC Symbol;Acc:HGNC:25562]","Small"
"ENSG00000103365",0.00249117240334093,"GGA2","golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]","Small"
"ENSG00000108219",0.00248275158018744,"TSPAN14","tetraspanin 14 [Source:HGNC Symbol;Acc:HGNC:23303]","Small"
"ENSG00000104177",0.002369350622328,"MYEF2","myelin expression factor 2 [Source:HGNC Symbol;Acc:HGNC:17940]","Small"
"ENSG00000039560",0.00220210628479034,"RAI14","retinoic acid induced 14 [Source:HGNC Symbol;Acc:HGNC:14873]","Small"
"ENSG00000021826",0.00219759629444166,"CPS1","carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]","Small"
"ENSG00000082153",0.00219297928441232,"BZW1","basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:HGNC:18380]","Small"
"ENSG00000003987",0.00215372844834644,"MTMR7","myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]","Small"
"ENSG00000075643",0.00214989601704783,"MOCOS","molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234]","Small"
"ENSG00000008256",0.00212514360635632,"CYTH3","cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]","Small"
"ENSG00000018625",0.00210764467211841,"ATP1A2","ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]","Small"
"ENSG00000089123",0.0018476335081983,"TASP1","taspase 1 [Source:HGNC Symbol;Acc:HGNC:15859]","Small"
"ENSG00000105650",0.00176435133405378,"PDE4C","phosphodiesterase 4C [Source:HGNC Symbol;Acc:HGNC:8782]","Small"
"ENSG00000076641",0.00172948562577288,"PAG1","phosphoprotein membrane anchor with glycosphingolipid microdomains 1 [Source:HGNC Symbol;Acc:HGNC:30043]","Small"
"ENSG00000079950",0.00172371629628048,"STX7","syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]","Small"
"ENSG00000105369",0.00172052984835648,"CD79A","CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]","Small"
"ENSG00000006638",0.00170171457737866,"TBXA2R","thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]","Small"
"ENSG00000010278",0.00167566038923027,"CD9","CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]","Small"
"ENSG00000107338",0.00165738978179175,"SHB","SH2 domain containing adaptor protein B [Source:HGNC Symbol;Acc:HGNC:10838]","Small"
"ENSG00000107447",0.0016356010384999,"DNTT","DNA nucleotidylexotransferase [Source:HGNC Symbol;Acc:HGNC:2983]","Small"
"ENSG00000060558",0.00163136859829587,"GNA15","G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]","Small"
"ENSG00000075945",0.00159995666398805,"KIFAP3","kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]","Small"
"ENSG00000047579",0.00158819707580709,"DTNBP1","dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]","Small"
"ENSG00000075303",0.00156384337886859,"SLC25A40","solute carrier family 25 member 40 [Source:HGNC Symbol;Acc:HGNC:29680]","Small"
"ENSG00000002919",0.00153386521484055,"SNX11","sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]","Small"
"ENSG00000101544",0.00152942373563946,"ADNP2","ADNP homeobox 2 [Source:HGNC Symbol;Acc:HGNC:23803]","Small"
"ENSG00000086159",0.00143950918775827,"AQP6","aquaporin 6 [Source:HGNC Symbol;Acc:HGNC:639]","Small"
"ENSG00000101452",0.00143446768130903,"DHX35","DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861]","Small"
"ENSG00000060566",0.00143228872469857,"CREB3L3","cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]","Small"
"ENSG00000100410",0.00142617096143583,"PHF5A","PHD finger protein 5A [Source:HGNC Symbol;Acc:HGNC:18000]","Small"
"ENSG00000059573",0.00139954842528332,"ALDH18A1","aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]","Small"
"ENSG00000018510",0.00139167282393057,"AGPS","alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]","Small"
