"","B_importance","PreB_importance","T_importance","PreT_importance","ID","description","ensembl_id","logFC","logCPM","F","PValue","FDR","class"
"SLC4A1",-4.7562821677263e-06,0.00036485725308642,-9.37928153717628e-05,-9.12912912912916e-06,"SLC4A1","solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","ENSG00000004939",9.83842759566337,7.72861664790002,340.026473906674,1.74212150025899e-63,2.23377159954156e-62,"+"
"ALOX5",0.000635204359673025,0.00231595679012346,0.00110642857142857,0.00224492492492492,"ALOX5","arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]","ENSG00000012779",4.01480824525807,7.08109906009134,155.61236035019,9.5688790650008e-33,4.24643552487861e-32,"+"
"DDX11",0.00656933696639419,0.00144521604938272,0.000132903091060986,0.000973993993993994,"DDX11","DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]","ENSG00000013573",2.12319274966678,6.5200222749581,231.539415504309,4.42749293277287e-46,3.1291475106569e-45,"+"
"NRXN3",0.000168351498637602,0.000443425925925926,0.000584511278195489,0.000292402402402402,"NRXN3","neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]","ENSG00000021645",6.01118738012026,4.5804502238895,213.099815442151,6.15725284920864e-43,3.91074463883168e-42,"+"
"CD44",0.000574542839842567,0.000296118827160494,-9.65747702589807e-06,9.31081081081081e-05,"CD44","CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]","ENSG00000026508",-1.50049337683987,8.60936847729528,128.283896350982,1.12631551938655e-27,4.13556032245609e-27,"-"
"THOC3",0.000106627308507417,0.000244027777777778,0.000204010025062657,0.000569444444444444,"THOC3","THO complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:19072]","ENSG00000051596",1.80439763245719,5.17230628949572,365.76627871438,2.28438269489897e-67,3.35318437205984e-66,"+"
"AHRR",0.000141880108991826,0.00089389274691358,0.00035906015037594,0.00184358858858859,"AHRR","aryl hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346]","ENSG00000063438",-1.80357913047059,1.38332531036298,67.1270822314209,1.01380127746531e-15,2.35711975925279e-15,"-"
"ASPM",0.000483814713896458,-1.50578703703704e-05,7.05012531328321e-05,-3.41591591591592e-05,"ASPM","assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]","ENSG00000066279",3.55000960212031,6.88728729135639,386.255615863547,2.13769502861798e-70,3.48476516222951e-69,"+"
"STAG3",0.000252889797154102,0.000699243827160494,0.000132355889724311,0.0187951501501501,"STAG3","STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]","ENSG00000066923",3.606006177237,6.83733000975008,161.975042321451,6.63825504988143e-34,3.06868534119207e-33,"+"
"FCGR2B",0.000274957614290039,0.000102249228395062,0.000175789473684211,-0.000341756756756757,"FCGR2B","Fc gamma receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]","ENSG00000072694",1.7212843041914,2.02972333061964,37.6506599112814,1.33368479780078e-09,2.39064704189292e-09,"+"
"ARHGAP15",0.000658228882833787,0.000252368827160494,-1.60985797827903e-05,0.00453019519519519,"ARHGAP15","Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]","ENSG00000075884",4.11475561316263,6.71516274174456,805.696808467898,5.97080258208847e-123,5.09717988849868e-121,"+"
"SPAG5",0.000125065092340297,0.000135528549382716,0.000131946532999165,-0.000133948948948949,"SPAG5","sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]","ENSG00000076382",2.93858257766855,6.22332704898427,678.90010426817,1.10524620808253e-108,5.90192378439459e-107,"+"
"ICAM1",0.00035869663941871,0.000339243827160494,0.000592685881370092,-7.04054054054054e-05,"ICAM1","intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]","ENSG00000090339",-2.41342058847767,5.39185191345618,270.131017182879,1.77722506155404e-52,1.57630023231204e-51,"-"
