"Gene Name","Ensembl ID","Chromosome","Gene Type","General Gene Type","Mechanism of Origin","General Mechanism of Origin","Reference(s)"
"ACVR1C","ENSG00000123612","2","protein_coding","protein-coding","human-specific inactivation by retrotransposon insertion","gene loss","10"
"AGAP1","ENSG00000157985","2","protein_coding","protein-coding","flanking human accelerated region","regulatory region alteration","14"
"ALOX5","ENSG00000012779","10","protein_coding","protein-coding","human-specific isoform","gene structure alteration","18"
"BMPR1A","ENSG00000107779","10","protein_coding","protein-coding","human-specific gene duplication or loss","gene amplification","3"
"CD96","ENSG00000153283","3","protein_coding","protein-coding","human-specific inactivation by retrotransposon insertion","gene loss","18"
"CMAHP","ENSG00000168405","6","unitary_pseudogene","pseudogene","human-specific loss os function for gene","gene loss","19,31,27,36,37,38,12,18"
"CSPG4","ENSG00000173546","15","protein_coding","protein-coding","human-specific gene expansion","gene amplification","39"
"DEFA4","ENSG00000164821","8","protein_coding","protein-coding","human-specific gene","human-specific gene (undefined feature)","25"
"DIXDC1","ENSG00000150764","11","protein_coding","protein-coding","modern human-specific nucleotide substitution","gene sequence alteration","4"
"DPY19L2","ENSG00000177990","12","protein_coding","protein-coding","human-specific gene duplication","gene amplification","22"
"EBF1","ENSG00000164330","5","protein_coding","protein-coding","human-specific derived allele","human-specific gene (undefined feature)","15"
"FAM153A","ENSG00000170074","5","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9,6"
"FKBP9","ENSG00000122642","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"FZD8","ENSG00000177283","10","protein_coding","protein-coding","flanking human accelerated region","regulatory region alteration","19,14,22"
"GADD45G","ENSG00000130222","9","protein_coding","protein-coding","human-specific loss of enhancer","regulatory region alteration","19,16,27"
"HAR1A","ENSG00000225978","20","lincRNA","long non-coding","human accelerated region","human accelerated region","43,16,14,44,38,18"
"HAR1B","ENSG00000231133","20","lincRNA","long non-coding","human accelerated region","human accelerated region","14,44"
"HCP5","ENSG00000206337","6","sense_overlapping","long non-coding","lost in chimpanzee","lost in chimpanzee","26"
"JAM3","ENSG00000166086","11","protein_coding","protein-coding","modern human-specific coding change","gene sequence alteration","4"
"KIF26B","ENSG00000162849","1","protein_coding","protein-coding","modern human-specific coding change","gene sequence alteration","4"
"LCT","ENSG00000115850","2","protein_coding","protein-coding","increased positive selection","gene sequence alteration","21"
"MUC19","ENSG00000205592","12","processed_transcript","long non-coding","modern human-specific splice site mutation","gene structure alteration","4"
"MYO7B","ENSG00000169994","2","protein_coding","protein-coding","modern human-specific coding change","gene sequence alteration","4"
"NCF1","ENSG00000158517","7","protein_coding","protein-coding","human-specific gene expansion","gene amplification","9,26,5,23"
"NCF1C","ENSG00000165178","7","unprocessed_pseudogene","pseudogene","human-specific gene duplication","gene amplification","7,6"
"NCKAP5","ENSG00000176771","2","protein_coding","protein-coding","flanking human accelerated region","regulatory region alteration","14"
"NRXN3","ENSG00000021645","14","protein_coding","protein-coding","human-specific inactivation by retrotransposon insertion","gene loss","18"
"PRAME","ENSG00000185686","22","protein_coding","protein-coding","human-specific copy number variation","gene amplification","31"
"RGPD2","ENSG00000185304","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"RGPD3","ENSG00000153165","2","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7,6"
"SCML4","ENSG00000146285","6","protein_coding","protein-coding","modern human-specific coding change","gene sequence alteration","4"
"SEMA5B","ENSG00000082684","3","protein_coding","protein-coding","high human-specific amino acid substitutions in membrane protein","gene sequence alteration","34"
"SLC29A4","ENSG00000164638","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"SRGAP2C","ENSG00000171943","1","protein_coding","protein-coding","human-specific gene duplication","gene amplification","19,16,40,6,50,22"
"STAG3","ENSG00000066923","7","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"TBC1D8B","ENSG00000133138","X","protein_coding","protein-coding","human-specific retrotransposon insertion","gene structure alteration","18"
"TENM1","ENSG00000009694","X","protein_coding","protein-coding","flanking human accelerated region","regulatory region alteration","14"
"TMEM236","ENSG00000148483","10","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"VIPR1","ENSG00000114812","3","protein_coding","protein-coding","high human-specific amino acid substitutions in membrane protein","gene sequence alteration","34"
